# 2025-02-03 全池(1091 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|74 78 37|91 92 -1 -8|1.0 261|18 -14 6 -2 9
1102 亞泥|水泥工業|12 5 8|85 85 -13 -2|0.5 210|20 4 -36 -23 -39
1104 環泥|水泥工業|2 -4 -7|77 85 -6 -14|0.7 10|15 -13 0 -10 5
1210 大成|食品工業|-1 -3 3|91 95 3 -5|0.6 52|8 -30 33 -17 32
1215 卜蜂|食品工業|1 2 6|82 92 -3 -8|0.7 35|39 -5 -13 -8 -8
1216 統一|食品工業|5 7 -6|88 88 -11 -2|0.9 514|39 11 -20 15 -58
1217 愛之味|食品工業|7 12 7|89 94 0 -6|1.0 6|9 -16 0 -23 1
1218 泰山|食品工業|-3 -8 -4|82 90 -3 -8|0.5 8|3 -11 0 -12 3
1220 台榮|食品工業|2 14 7|85 85 4 8|0.3 7|10 2 0 -17 -2
1225 福懋油|食品工業|1 -6 5|26 26 -50 -67|2.1 90|4 12 -0 -18 154
1227 佳格|食品工業|13 6 2|82 87 -7 -12|0.7 16|7 -21 0 -9 53
1229 聯華|食品工業|-36 -24 -24|73 81 -15 -18|1.4 103|10 -13 -2 12 20
1231 聯華食|食品工業|20 21 8|100 100 34 27|1.2 45|4 23 0 31 2
1232 大統益|食品工業|-3 -3 3|93 93 -5 2|0.7 5|2 -7 -4 -100 -2
1268 漢來美食|觀光餐旅|15 15 -7|93 95 -1 -3|0.7 7|1 6 -37 -6 -27
1301 台塑|塑膠工業|9 6 4|45 59 -28 -41|1.6 1009|28 -5 0 21 6
1303 南亞|塑膠工業|15 8 8|49 63 -25 -38|1.2 408|28 -2 0 -11 -13
1304 台聚|塑膠工業|-5 -2 0|60 69 -20 -29|1.6 38|30 -9 0 5 20
