# 2026-02-02 全池(1231 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-14 -16 -22|76 98 20 6|1.2 1099|18 -2 -0 6 20
1102 亞泥|水泥工業|-13 -14 -8|77 86 -4 -14|1.0 333|17 -18 -14 25 87
1103 嘉泥|水泥工業|-3 0 -1|84 98 7 1|1.3 5|5 14 0 -1 3
1104 環泥|水泥工業|3 3 3|90 90 -5 10|1.1 16|16 4 0 -14 6
1110 東泥|水泥工業|-9 -11 -14|77 87 -3 -13|0.8 5|6 -0 0 -1 2
1210 大成|食品工業|5 0 1|80 89 -6 -13|1.5 63|10 1 -8 -14 -12
1215 卜蜂|食品工業|13 3 2|95 95 5 24|0.4 141|42 13 8 -40 -5
1216 統一|食品工業|2 -0 -2|85 89 -8 -9|0.8 739|33 -12 -17 37 18
1217 愛之味|食品工業|-5 -5 -4|87 94 1 -3|1.4 6|8 9 0 13 -2
1218 泰山|食品工業|14 -0 4|85 93 -1 -5|1.3 10|3 11 0 -13 -9
1227 佳格|食品工業|-17 -6 -4|79 85 -9 -9|1.7 25|6 -24 0 -33 27
1229 聯華|食品工業|11 16 12|88 90 -9 -1|1.3 77|10 -6 0 17 27
1231 聯華食|食品工業|-7 -2 -8|53 62 -15 -39|0.9 32|3 -4 0 -5 5
1232 大統益|食品工業|2 -0 2|92 97 0 -3|1.1 8|2 10 0 125 -16
1256 鮮活果汁-KY|食品工業|75 37 31|86 86 7 28|1.1 12|4 4 0 9 -11
1268 漢來美食|觀光餐旅|-3 8 2|96 96 -4 9|0.9 5|2 -1 0 0 0
1295 生合|食品工業|8 17 8|na 51 -26 -30|0.9 7|2 7 0 137 -8
1301 台塑|塑膠工業|-13 -18 -6|86 86 19 16|2.6 2038|29 14 0 -12 -20
1303 南亞|塑膠工業|-6 -5 -6|86 86 70 90|0.7 10152|31 9 0 -14 -87
1304 台聚|塑膠工業|-18 -21 -8|88 88 6 7|1.7 69|29 5 0 -3 -10
1305 華夏|塑膠工業|-12 -27 -11|84 91 4 5|2.4 51|5 6 0 13 -1
1307 三芳|塑膠工業|-1 -0 -2|62 90 -4 -8|0.8 26|7 13 -1 -22 -3
1308 亞聚|塑膠工業|-11 -9 -6|88 90 5 10|1.4 31|6 8 0 -21 18
1309 台達化|塑膠工業|-33 -36 -16|76 90 10 3|1.7 18|2 3 0 9 -1
1312 國喬|塑膠工業|65 80 33|92 92 21 32|1.2 135|7 3 0 22 -4
1313 聯成|塑膠工業|-21 -19 -4|90 90 -3 5|1.8 47|8 6 0 -9 -13
1316 上曜|建材營造|208 209 -1|70 83 -11 -1|0.8 41|4 -6 -2 -1 0
1319 東陽|汽車工業|-7 -6 -5|81 94 9 4|1.5 397|13 -1 1 -5 -9
1325 恆大|塑膠工業|-14 -13 -7|75 86 2 5|4.8 17|1 -4 0 12 6
1326 台化|塑膠工業|-20 -20 -3|88 88 37 45|2.9 877|35 12 3 -23 -35
1342 八貫|其他|28 13 -1|87 97 11 10|1.1 21|28 21 0 -2 -40
1402 遠東新|紡織纖維|-5 -4 3|83 96 3 -4|1.3 220|19 22 -14 -21 -14
1409 新纖|紡織纖維|-34 -21 -7|86 86 7 20|0.7 64|12 8 1 -3 -12
1414 東和|紡織纖維|-1 -8 3|74 97 6 4|1.3 6|1 -7 -5 29 na
1419 新紡|紡織纖維|3 13 -1|84 84 12 28|0.7 27|1 10 0 -16 -13
1434 福懋|紡織纖維|-6 -11 -7|89 95 12 5|1.8 68|7 15 -3 12 -32
1436 華友聯|建材營造|13 -55 -840|44 73 -8 -22|1.3 13|4 10 1 1 -17
1440 南紡|紡織纖維|-5 -17 -2|91 91 2 2|1.0 19|8 12 0 -11 -6
1442 名軒|建材營造|50 -22 22|37 46 -14 -54|0.4 21|12 -4 -1 -8 -5
1449 佳和|紡織纖維|141 45 45|56 87 5 -13|0.8 11|6 -1 0 -17 -2
1464 得力|紡織纖維|-3 -7 -16|60 91 1 -9|1.0 5|2 3 0 5 -16
1471 首利|電子零組|-55 -55 -26|81 81 32 12|6.3 11|1 1 0 na na
1476 儒鴻|紡織纖維|-4 -3 -8|73 88 -3 4|0.5 335|33 19 -1 -37 -3
1477 聚陽|紡織纖維|-9 -9 -7|84 91 11 17|0.6 420|18 -11 -6 -40 30
1503 士電|電機機械|18 8 2|88 88 16 16|2.4 1674|33 8 -0 -15 -48
1504 東元|電機機械|16 11 5|66 66 -30 41|0.7 2030|12 -8 -1 28 57
1513 中興電|電機機械|9 2 -5|88 88 8 -0|1.6 2452|19 6 -1 42 -31
1514 亞力|電機機械|11 22 1|85 85 10 14|1.6 1602|19 5 -0 7 -38
1515 力山|電機機械|98 84 81|73 80 -6 -15|1.5 11|5 -5 0 -2 2
1519 華城|電機機械|11 14 -13|87 87 23 41|0.7 5676|22 5 1 -34 -41
1522 堤維西|汽車工業|71 65 42|77 91 -1 13|1.0 85|6 6 -1 -14 -17
1524 耿鼎|汽車工業|-23 -23 -11|79 93 6 15|2.4 130|2 1 0 -5 -3
1526 日馳|電機機械|15 -5 -15|75 83 12 1|1.6 6|2 -2 0 0 82
1527 鑽全|電機機械|-7 -18 -11|82 92 4 -5|0.9 12|10 1 0 41 8
1528 恩德|電機機械|-26 -29 -6|81 81 82 51|0.3 93|4 0 0 -22 -20
1529 樂事綠能|電機機械|145 37 -34|79 85 14 -6|1.3 66|2 -1 0 -7 25
1532 勤美|電機機械|-7 7 9|77 85 -8 -5|1.0 18|8 -19 -4 -6 -10
1536 和大|汽車工業|8 2 17|68 81 1 -3|1.6 221|8 2 0 -3 -6
1537 廣隆|電機機械|-17 -22 -5|84 91 0 -9|1.2 7|15 15 -0 -8 -12
1540 喬福|電機機械|55 30 20|62 86 7 -14|0.7 15|1 -7 0 6 77
1560 中砂|電機機械|17 18 2|96 96 34 36|0.8 1208|29 4 -0 -33 37
1563 巧新|汽車工業|-15 -15 -8|68 90 2 -8|1.0 27|2 -4 0 -22 29
1565 精華|生技醫療|-23 -23 -15|59 74 -15 -24|1.4 20|10 7 0 -4 -16
1568 倉佑|汽車工業|37 8 6|85 87 5 0|0.8 6|1 -2 0 -5 27
1569 濱川|電腦及週|-19 -12 -20|62 75 -23 -14|0.7 58|3 -1 0 -3 -3
1580 新麥|電機機械|-20 -10 -14|87 90 -5 -9|2.4 7|5 -7 -4 -4 -39
1582 信錦|電子零組|-21 -5 1|67 91 -4 -5|2.9 69|5 -18 -0 15 153
1584 精剛|其他|-5 -0 6|83 91 6 7|3.2 27|7 13 0 6 -20
1586 和勤|電機機械|-10 -3 8|76 81 -6 -17|0.6 19|1 -1 0 -11 -2
1587 吉茂|汽車工業|26 32 9|78 78 10 34|0.5 68|20 -3 0 25 22
1589 永冠-KY|電機機械|-13 -5 -20|41 70 -10 -25|1.3 26|3 -2 0 8 23
1590 亞德客-KY|電機機械|19 18 4|100 100 19 49|2.0 655|79 15 1 5 -37
1591 駿吉-KY|電機機械|-26 -9 28|83 87 -2 -1|1.2 8|4 2 0 -5 3
1595 川寶|半導體業|-12 -10 2|81 88 18 8|0.7 6|3 4 0 1 -35
1597 直得|電機機械|47 33 21|68 84 2 -10|1.6 53|4 6 0 -3 -9
1598 岱宇|運動休閒|-21 -29 -15|62 83 -10 -6|1.1 6|2 -8 0 -2 6
1603 華電|電器電纜|52 20 -9|95 95 5 6|1.3 36|6 18 -2 9 0
1604 聲寶|電器電纜|-19 -9 -4|87 96 -2 -4|0.9 5|8 -8 0 -2 23
1605 華新|電器電纜|14 -8 -7|88 88 29 80|1.9 7469|13 1 1 19 -22
1608 華榮|電器電纜|-2 1 1|86 86 -10 28|1.7 423|5 4 -0 -21 -28
1609 大亞|電器電纜|0 4 -0|84 84 -6 -7|1.2 431|13 4 -0 -2 -34
1611 中電|電器電纜|-16 -16 -9|81 91 4 -3|0.6 14|11 17 0 -11 -11
1612 宏泰|電器電纜|16 -4 -21|87 87 -10 -6|1.1 47|18 1 0 14 -20
1615 大山|電器電纜|-16 13 12|81 91 3 -7|1.1 7|1 8 -1 -10 -20
1616 億泰|電器電纜|-11 -8 -23|67 69 -21 -28|1.2 45|4 -5 0 -2 7
1617 榮星|電器電纜|20 4 2|81 91 5 0|1.4 8|19 1 0 -30 -7
1618 合機|電器電纜|-60 -5 -30|87 88 1 -12|1.4 101|2 0 0 -12 10
1702 南僑|食品工業|-12 -6 -4|76 92 -6 -8|0.8 13|8 -5 -2 -16 -1
1707 葡萄王|生技醫療|-30 -2 4|84 94 -1 -4|0.9 13|14 -13 -0 8 2
1708 東鹼|化學工業|-4 -3 -1|82 97 11 5|1.3 37|11 14 0 3 -11
1709 和益|化學工業|-8 -7 4|80 94 -1 -2|1.1 6|3 11 0 -19 -29
1710 東聯|化學工業|-23 -10 -6|73 91 5 4|3.7 29|5 -2 0 7 1
1711 永光|化學工業|-9 -10 -3|84 84 9 20|0.8 222|6 4 0 -9 -4
1712 興農|化學工業|4 1 2|97 97 5 9|1.3 26|15 6 -1 -19 3
1713 國化|化學工業|-5 -11 -0|90 90 6 2|0.8 42|1 -6 0 -12 159
1717 長興|化學工業|-6 -10 -3|81 81 42 104|1.5 4168|13 -0 0 44 32
1720 生達|生技醫療|5 7 3|94 94 6 10|0.6 13|5 9 -0 -51 -4
1721 三晃|化學工業|15 -19 3|77 77 45 38|0.5 45|1 -1 0 -40 -69
1722 台肥|化學工業|-8 1 -1|81 88 -5 -11|1.1 107|9 -14 -0 -0 32
1723 中碳|化學工業|-17 -25 -4|76 81 -10 -15|0.8 30|6 13 0 -21 0
1727 中華化|化學工業|25 1 2|80 80 14 26|0.4 270|4 -1 0 -32 10
1732 毛寶|化學工業|-3 16 1|84 84 -1 -0|8.1 6|2 -5 0 15 26
1733 五鼎|生技醫療|-16 -2 -9|77 77 -10 -3|1.1 5|5 -5 -7 -4 -14
1734 杏輝|生技醫療|11 3 -6|95 95 -3 -3|1.4 6|5 6 0 -22 4
1736 喬山|運動休閒|16 11 -5|69 80 -8 -9|1.3 111|4 2 0 -15 -14
1760 寶齡富錦|生技醫療|15 5 4|73 87 -1 -11|2.2 11|12 11 0 1 -12
1773 勝一|化學工業|1 3 -2|82 82 -3 4|0.8 275|6 -2 0 -7 43
1783 和康生|生技醫療|33 9 -12|87 96 9 6|1.3 7|7 4 0 5 8
1784 訊聯|生技醫療|14 3 2|82 82 -4 27|0.7 46|4 2 0 -6 -5
