# 2025-10-01 全池(1139 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-6 -13 -47|70 79 -5 -13|1.3 759|19 14 -14 31 -6
1102 亞泥|水泥工業|-16 -14 -13|83 86 -6 -12|0.7 216|21 10 -17 -2 3
1103 嘉泥|水泥工業|-11 -6 -7|77 87 -5 -6|1.2 6|4 3 0 0 -13
1104 環泥|水泥工業|-8 -7 -3|96 96 10 15|0.7 42|16 0 0 11 2
1210 大成|食品工業|-5 -5 -2|81 81 -17 -4|0.8 83|12 -10 -25 -0 2
1215 卜蜂|食品工業|-3 1 1|99 99 9 46|1.3 99|46 10 1 -18 -7
1216 統一|食品工業|-1 -1 -6|90 93 -2 4|0.9 543|36 -6 8 4 32
1217 愛之味|食品工業|-15 -5 -8|87 91 0 -6|0.9 6|8 -15 0 -13 13
1218 泰山|食品工業|-0 -3 3|90 90 -3 3|0.8 10|3 4 0 6 -14
1225 福懋油|食品工業|-13 -5 -0|17 61 2 -31|1.9 6|2 -1 0 -23 na
1227 佳格|食品工業|-9 -6 -6|80 83 -6 -9|0.8 12|6 -18 -0 4 13
1229 聯華|食品工業|11 12 21|80 97 8 8|0.6 46|9 5 -0 -5 -12
1231 聯華食|食品工業|2 5 -7|73 84 -8 -3|0.8 28|3 -26 -0 -3 20
1232 大統益|食品工業|-2 -4 -0|93 93 -3 1|1.0 7|2 -12 0 18 0
1256 鮮活果汁-KY|食品工業|23 9 15|98 98 56 64|1.0 18|4 2 0 80 -30
1268 漢來美食|觀光餐旅|5 2 -8|100 100 12 28|0.6 8|2 13 0 167 -9
1295 生合|食品工業|-36 -15 na|na na -1 na|0.2 106|0 -3 0 na 20
1301 台塑|塑膠工業|-19 -17 -13|73 90 10 11|0.4 391|27 2 -1 4 -2
1303 南亞|塑膠工業|-7 -6 -10|85 85 42 37|0.6 1527|26 -8 1 7 -9
1304 台聚|塑膠工業|-20 -19 -11|63 89 8 5|0.9 13|29 -13 0 4 4
1305 華夏|塑膠工業|19 -5 8|65 90 16 12|0.5 7|4 2 0 2 -7
1307 三芳|塑膠工業|-14 -7 -11|61 81 -14 -8|0.5 18|7 -11 -0 5 6
1308 亞聚|塑膠工業|-2 -13 -4|60 91 4 1|0.4 8|5 -9 0 -2 9
1309 台達化|塑膠工業|-43 -32 -29|51 87 8 0|0.6 5|2 -3 0 -0 6
