# 2023-11-01 全池(994 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-16 -13 -19|82 84 -14 -16|0.8 593|21 -26 3 10 -29
1102 亞泥|水泥工業|-4 -9 -1|94 94 -1 -5|1.0 191|16 -11 -0 -6 -33
1104 環泥|水泥工業|4 5 -9|87 87 -12 -6|0.8 11|15 -17 0 -1 4
1210 大成|食品工業|-4 -3 -8|83 83 -8 1|0.5 57|11 -11 -1 -41 -7
1215 卜蜂|食品工業|1 1 -5|93 93 3 -1|0.3 27|41 -5 -7 -10 3
1216 統一|食品工業|16 16 7|90 90 -4 -5|1.6 559|38 -14 2 -18 6
1217 愛之味|食品工業|4 1 -3|80 80 -17 6|0.2 25|8 -2 0 -3 9
1218 泰山|食品工業|1 5 3|44 64 -23 -35|0.8 20|2 5 0 -5 -5
1219 福壽|食品工業|-12 -2 -3|87 91 -8 -10|0.7 6|6 14 0 -7 0
1227 佳格|食品工業|10 3 7|91 92 -5 -4|0.6 16|6 -1 0 1 14
1229 聯華|食品工業|-5 5 4|94 94 -2 9|0.8 44|11 14 2 -2 -10
1231 聯華食|食品工業|-4 0 -7|95 95 -3 4|0.3 7|2 -3 0 -17 -2
1232 大統益|食品工業|-9 -4 -10|94 95 -3 -3|1.0 5|1 -9 0 25 8
1268 漢來美食|觀光餐旅|6 16 -26|80 80 -13 1|0.6 19|2 -9 0 -2 14
1301 台塑|塑膠工業|-9 -8 17|85 85 -9 -14|0.9 478|32 -26 -6 9 28
1303 南亞|塑膠工業|-18 -19 10|80 80 -11 -18|1.4 428|29 -28 4 28 54
1304 台聚|塑膠工業|-16 -17 6|73 78 -21 -16|0.5 17|33 -29 0 8 11
1305 華夏|塑膠工業|-22 -13 12|75 81 -15 -8|0.3 33|8 -33 1 -4 88
1307 三芳|塑膠工業|-18 -9 -7|87 87 1 9|0.2 8|12 -2 0 -33 0
1308 亞聚|塑膠工業|-26 -35 -10|81 87 -13 -6|0.4 9|7 6 1 -11 -3
1310 台苯|塑膠工業|-8 -20 7|88 90 -7 -5|1.0 9|6 2 0 -4 1
1312 國喬|塑膠工業|-3 -8 11|76 82 -16 -17|0.5 15|12 -13 0 -1 -1
1313 聯成|塑膠工業|39 23 30|85 85 -13 3|0.6 11|11 1 0 1 -5
1314 中石化|塑膠工業|24 6 33|99 100 6 4|1.3 142|12 9 0 16 -17
1316 上曜|建材營造|-63 -73 -49|76 83 -6 -17|0.3 15|2 -2 0 17 -17
1319 東陽|汽車工業|13 11 3|85 85 27 61|0.6 630|26 6 -2 -17 -42
1324 地球|塑膠工業|6 7 13|92 92 62 63|1.6 95|2 1 0 13 71
1326 台化|塑膠工業|1 -4 10|81 88 -9 -11|0.7 207|33 -1 2 9 -13
1339 昭輝|汽車工業|8 8 5|90 90 42 47|0.6 56|4 1 0 -14 9
1342 八貫|其他|4 -1 -3|68 84 -3 -17|1.4 45|44 -1 0 26 35
1402 遠東新|紡織纖維|0 -3 2|91 91 -0 -5|0.9 182|16 3 6 -10 -2
1409 新纖|紡織纖維|-1 -10 9|86 91 -7 -8|0.6 13|12 6 0 -3 -5
1434 福懋|紡織纖維|-14 -18 -3|94 94 -4 -4|0.7 17|7 -12 0 -25 12
1437 勤益控|其他|104 36 29|97 100 6 7|1.5 7|8 9 0 91 -14
1440 南紡|紡織纖維|-16 -11 -6|80 88 -9 -13|0.8 9|6 -4 0 -24 -6
1442 名軒|建材營造|2462 811 159|94 94 2 17|0.4 17|4 2 0 3 7
1444 力麗|紡織纖維|-35 -37 -7|94 94 -4 1|0.3 11|5 -14 0 0 13
1449 佳和|紡織纖維|-2 22 23|66 66 -19 4|1.8 6|2 -1 -0 30 22
1471 首利|電子零組|39 54 46|75 75 26 92|0.3 57|1 0 0 -10 -100
1473 台南|紡織纖維|3 -8 1|97 97 26 34|2.7 13|11 7 0 28 40
1476 儒鴻|紡織纖維|-18 -25 3|94 94 -5 11|0.6 255|40 5 2 -6 -19
1477 聚陽|紡織纖維|15 1 2|99 99 16 61|0.5 589|39 6 1 -44 -40
1503 士電|電機機械|-4 4 -6|58 58 -31 -20|0.6 205|32 9 -0 -20 -17
1504 東元|電機機械|9 3 -2|77 77 -14 -1|0.5 330|16 -14 7 3 -1
1513 中興電|電機機械|4 20 6|67 67 -19 -6|0.5 484|10 -1 -6 -13 -11
1514 亞力|電機機械|12 12 -14|76 76 -14 6|0.6 189|7 -5 -0 0 24
1515 力山|電機機械|156 118 122|88 88 4 34|0.2 41|7 -10 1 -10 8
1519 華城|電機機械|84 141 94|75 75 5 120|0.8 2257|14 1 -2 -20 13
1522 堤維西|汽車工業|1 6 1|85 85 18 37|0.3 197|13 -3 -0 -26 7
1524 耿鼎|汽車工業|25 22 10|100 100 38 34|2.5 362|3 -0 0 21 -2
1525 江申|汽車工業|-14 -14 -41|61 61 -22 5|1.7 7|1 -16 -0 6 8
1528 恩德|電機機械|-2 8 -0|62 62 -19 -8|0.5 6|4 -3 -1 -2 4
1529 樂事綠能|電機機械|186 164 -19|62 62 -24 -21|0.4 26|0 -6 0 -4 17
1532 勤美|電機機械|4 56 51|90 90 -9 6|0.4 18|13 -15 0 -5 4
