# 2024-09-02 全池(1221 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|61 54 46|92 94 0 3|0.5 357|18 4 4 19 -22
1102 亞泥|水泥工業|-1 -3 7|100 100 15 17|0.5 263|17 44 7 -7 -50
1104 環泥|水泥工業|-3 6 -0|83 83 -10 -2|0.4 16|15 -10 0 -4 9
1108 幸福|水泥工業|-22 -17 -23|93 93 -5 3|1.7 8|2 -8 0 -26 -10
1110 東泥|水泥工業|63 21 11|91 91 -7 26|0.5 14|7 3 0 49 -6
1201 味全|食品工業|8 11 0|95 97 -1 -1|0.5 9|7 -28 0 -7 15
1210 大成|食品工業|-4 -8 -1|91 91 -4 -8|0.9 47|10 -5 0 11 17
1215 卜蜂|食品工業|-2 -6 -2|87 87 -8 -0|0.2 26|38 0 2 -4 -1
1216 統一|食品工業|10 15 -2|97 97 7 13|1.0 701|39 27 7 88 -65
1217 愛之味|食品工業|7 5 3|94 94 3 8|1.0 10|10 7 0 -3 6
1218 泰山|食品工業|-9 -9 -9|84 88 -9 -3|0.5 13|3 11 0 -0 -34
1220 台榮|食品工業|-2 -1 -4|99 99 12 24|1.5 10|9 15 0 26 -2
1225 福懋油|食品工業|-12 -16 -5|98 98 76 196|0.3 10|1 6 0 -11 -15
1227 佳格|食品工業|-1 0 -1|92 92 -4 7|0.3 15|8 13 0 9 -14
1229 聯華|食品工業|-7 -1 -15|89 89 -5 -3|0.5 53|11 -13 0 -14 16
1231 聯華食|食品工業|17 13 8|90 90 8 25|0.5 23|3 1 0 -68 8
1232 大統益|食品工業|6 -4 4|100 100 7 8|0.8 11|2 45 0 -53 -6
1268 漢來美食|觀光餐旅|13 20 0|93 93 -5 6|0.5 7|2 -10 8 -17 -3
1301 台塑|塑膠工業|6 7 9|62 71 -18 -25|0.6 529|29 -8 0 24 -1
1303 南亞|塑膠工業|5 5 13|65 77 -12 -19|1.0 475|28 -1 2 14 -0
1304 台聚|塑膠工業|14 10 14|69 86 -2 -11|0.3 22|32 14 0 -10 -16
1305 華夏|塑膠工業|-2 -1 9|64 88 -2 -11|0.4 14|5 8 0 -6 -22
1307 三芳|塑膠工業|21 9 6|99 99 9 33|1.3 39|15 4 0 -4 -25
1308 亞聚|塑膠工業|2 -9 6|70 87 1 -13|0.3 14|5 14 0 -5 -13
1309 台達化|塑膠工業|48 45 29|92 92 19 17|0.7 25|2 10 0 28 -23
1310 台苯|塑膠工業|50 69 48|79 92 2 -3|0.4 8|7 6 0 -9 -9
1312 國喬|塑膠工業|31 35 32|76 84 -5 -4|0.4 33|11 -2 0 -8 -3
1313 聯成|塑膠工業|-1 9 -10|72 83 -7 -13|0.5 13|10 7 0 -7 3
1316 上曜|建材營造|133 203 167|76 88 6 -12|0.7 222|7 5 0 -19 -21
1319 東陽|汽車工業|5 7 -8|75 75 -14 3|0.7 197|18 -16 4 10 -14
1321 大洋|塑膠工業|-6 12 17|90 90 2 11|0.7 64|8 -1 0 18 6
1325 恆大|塑膠工業|-24 -27 -8|61 80 5 -7|0.6 7|1 1 0 6 2
1326 台化|塑膠工業|12 24 15|65 75 -17 -22|0.8 364|33 -0 1 5 11
1336 台翰|電子零組|14 13 19|100 100 23 16|1.7 7|4 14 0 -0 0
1339 昭輝|汽車工業|-15 -10 -13|75 75 -12 -10|0.5 7|2 -17 0 9 -13
1342 八貫|其他|-11 7 6|68 68 -19 -24|0.3 10|27 3 0 -2 -3
1402 遠東新|紡織纖維|5 5 1|97 97 11 16|1.1 300|18 40 5 -5 -45
1409 新纖|紡織纖維|19 18 6|92 92 1 4|0.5 56|13 -3 0 20 -16
1414 東和|紡織纖維|1 -4 -8|87 87 5 26|0.5 9|2 -0 0 -9 -4
1416 廣豐|其他|27 24 -4|94 94 4 3|1.1 10|12 6 0 11 4
1434 福懋|紡織纖維|1 4 10|83 89 -5 -6|1.0 20|7 20 0 6 -1
1436 華友聯|建材營造|3121 3040 2117|82 82 6 72|0.7 179|4 1 0 2 -4
1438 三地開發|建材營造|na na na|85 85 30 75|0.8 73|1 -1 0 16 29
1440 南紡|紡織纖維|13 -5 9|80 80 -11 8|0.3 18|7 12 0 -12 -17
1442 名軒|建材營造|1327 897 -19492|92 92 11 76|0.6 116|12 0 -0 32 -6
1445 大宇|紡織纖維|-6 -14 11|79 80 -7 -14|0.5 6|2 8 0 54 6
1446 宏和|紡織纖維|6291 3555 1697|82 82 -16 40|0.7 77|7 4 0 -27 -6
1449 佳和|紡織纖維|-10 0 -30|75 89 4 -8|0.4 26|8 2 0 10 -0
1453 大將|建材營造|102 101 -29647|68 68 -27 40|0.2 12|1 -0 0 0 -41
1454 台富|紡織纖維|2 2 1|94 94 14 19|0.5 8|1 3 0 -11 123
1455 集盛|紡織纖維|42 58 26|74 74 -24 -16|0.3 10|4 0 0 -4 -2
1457 宜進|紡織纖維|30 13 9|81 81 -6 15|0.6 5|2 7 0 -11 -4
1463 強盛新|紡織纖維|-3 -2 6|96 96 29 42|0.7 11|8 0 0 9 -37
1471 首利|電子零組|-3 19 -1|60 81 -15 -15|0.6 6|2 10 0 0 na
1473 台南|紡織纖維|9 17 4|68 68 -23 33|0.2 20|8 -6 0 -2 -3
1475 業旺|紡織纖維|113 84 50|84 84 6 19|0.3 15|3 -11 0 3 13
1476 儒鴻|紡織纖維|9 21 11|92 94 7 -4|0.6 320|37 -7 -1 -0 -2
1477 聚陽|紡織纖維|3 6 -3|83 83 -2 10|0.7 678|32 -22 -4 -45 40
1503 士電|電機機械|5 5 2|66 66 -2 38|0.3 1262|32 0 -0 9 -47
1504 東元|電機機械|-4 -6 -4|83 83 -12 2|0.3 183|11 -4 13 2 -16
1513 中興電|電機機械|6 16 0|73 73 4 7|0.3 2848|17 -7 -0 33 37
1514 亞力|電機機械|12 7 -8|75 75 25 27|0.3 1585|13 -2 -0 46 -19
1515 力山|電機機械|-22 21 -137|65 74 -14 -17|0.8 23|8 -6 0 -8 -6
1519 華城|電機機械|61 67 -35|65 65 -5 31|0.7 4892|20 -5 -1 37 36
1522 堤維西|汽車工業|14 7 0|93 93 3 54|0.4 244|15 -2 0 6 5
1524 耿鼎|汽車工業|7 -4 -21|81 81 -16 -2|0.3 20|4 2 0 -5 -11
1527 鑽全|電機機械|54 35 30|99 99 16 22|2.3 64|12 6 0 291 -4
1528 恩德|電機機械|-2 -0 2|89 89 16 10|1.7 15|3 1 0 16 -25
1529 樂事綠能|電機機械|-66 69 -27|78 78 -4 -6|0.2 31|1 -1 0 2 -0
1530 亞崴|電機機械|14 -21 7|97 97 14 15|7.1 6|1 -0 0 161 92
1532 勤美|電機機械|-53 24 -24|72 72 -23 2|0.5 82|18 -4 0 4 3
1535 中宇|電機機械|21 6 -11|67 67 -13 -11|0.3 6|1 4 0 -0 15
1536 和大|汽車工業|-4 3 15|90 90 19 29|0.5 441|9 -1 0 7 10
1537 廣隆|電機機械|41 30 12|99 99 3 12|0.6 40|20 7 5 8 -21
1539 巨庭|電機機械|24 -10 -28|98 98 24 16|7.4 6|1 1 0 97 -42
1540 喬福|電機機械|-51 106 61|88 88 108 139|2.4 238|2 -1 0 -21 16
1558 伸興|電機機械|25 12 -4|100 100 14 15|1.3 12|7 17 0 -1 -9
1560 中砂|電機機械|21 15 11|93 93 18 38|0.7 791|21 3 1 -11 -1
1563 巧新|汽車工業|-4 -7 na|na na -20 na|0.3 31|2 1 0 na na
1565 精華|生技醫療|13 2 6|90 96 -1 -4|0.6 24|9 9 0 2 -37
1568 倉佑|汽車工業|-19 -35 -10|76 82 -4 -3|0.4 9|2 -7 0 -6 6
1569 濱川|電腦及週|-17 -21 -2|90 90 18 18|0.8 47|4 3 0 -6 14
1570 力肯|電機機械|235 247 204|77 77 11 23|0.9 68|7 2 0 30 1
1580 新麥|電機機械|17 11 -3|98 98 3 2|0.9 11|7 21 0 -25 -23
1582 信錦|電子零組|23 17 -4|99 99 3 45|0.5 166|19 12 -1 -2 -34
1584 精剛|其他|36 32 -2|90 90 19 22|1.1 263|7 7 0 15 -59
1586 和勤|電機機械|26 19 -3|89 89 3 -1|1.0 7|2 -1 0 0 -0
1587 吉茂|汽車工業|21 -0 8|64 64 -19 107|0.6 35|24 3 0 -0 -20
1589 永冠-KY|電機機械|-4 -13 9|65 71 -7 -28|0.6 10|6 20 0 -0 -9
1590 亞德客-KY|電機機械|2 1 -14|71 72 -15 -19|0.7 469|73 1 0 -7 16
1591 駿吉-KY|電機機械|214 493 279|62 62 -27 -21|0.6 19|3 10 0 -23 -26
1597 直得|電機機械|6 1 23|91 91 49 65|1.1 741|4 0 -0 -6 -5
1603 華電|電器電纜|84 43 18|78 78 -9 15|0.3 38|2 2 0 -3 -19
1604 聲寶|電器電纜|1 -2 -3|94 94 -2 3|0.4 6|9 12 0 -11 -21
1605 華新|電器電纜|-1 0 3|90 90 1 4|0.6 193|17 23 3 -11 -9
1608 華榮|電器電纜|22 35 22|76 76 -7 50|0.2 134|3 8 0 -9 -30
1609 大亞|電器電纜|27 23 11|83 83 11 49|0.3 868|11 7 0 -8 -33
1611 中電|電器電纜|-24 -13 -4|83 83 3 13|0.1 23|11 -3 0 4 -5
1612 宏泰|電器電纜|12 12 1|82 82 -4 38|0.2 43|15 21 0 -2 -31
1615 大山|電器電纜|7 20 -6|89 89 -5 41|0.7 27|2 17 0 7 -24
1616 億泰|電器電纜|2 5 -8|72 72 -9 47|0.1 19|2 10 0 -14 -25
1617 榮星|電器電纜|27 35 24|81 81 8 46|0.4 24|21 1 0 5 2
1618 合機|電器電纜|151 71 21|78 78 1 60|0.2 111|5 0 0 3 19
1702 南僑|食品工業|5 3 -4|86 86 -5 3|0.3 35|15 -6 2 -8 7
