# 2023-02-01 全池(872 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|16 11 5|83 92 19 -6|0.9 537|21 -1 3 -26 -31
1102 亞泥|水泥工業|-11 -13 -15|95 95 14 3|0.8 162|19 8 3 -4 -60
1104 環泥|水泥工業|27 16 -1|100 100 18 8|1.5 8|13 3 0 60 -4
1210 大成|食品工業|11 16 4|86 93 13 1|1.6 48|10 6 0 -0 -1
1215 卜蜂|食品工業|13 14 -3|97 97 4 10|1.1 28|39 11 -15 19 -18
1216 統一|食品工業|20 11 0|99 99 2 3|1.1 442|41 -1 -1 -17 -40
1217 愛之味|食品工業|7 3 1|87 99 18 5|0.5 12|8 2 0 -15 -44
1218 泰山|食品工業|7 4 -7|66 66 -30 -3|0.6 69|3 2 0 -14 14
1219 福壽|食品工業|8 10 -6|74 90 3 -4|2.7 11|5 -4 0 -40 -19
1227 佳格|食品工業|0 -15 -0|84 100 9 0|2.2 16|6 14 0 -0 -18
1229 聯華|食品工業|5 -6 -14|78 91 11 -6|1.5 41|11 -8 0 18 1
1231 聯華食|食品工業|20 17 4|98 100 23 4|2.0 12|2 7 0 -3 -2
1232 大統益|食品工業|42 20 -1|89 89 -3 -5|0.7 10|1 0 -30 -47 1
1234 黑松|食品工業|-3 7 4|96 98 1 -1|1.8 13|6 9 0 -5 19
1268 漢來美食|觀光餐旅|16 17 -64|95 95 25 26|0.7 13|1 5 4 19 19
1301 台塑|塑膠工業|-34 -31 -25|88 94 8 -3|1.2 470|34 1 3 -17 3
1303 南亞|塑膠工業|-31 -30 -18|89 97 10 11|0.9 323|30 11 2 -29 -13
1304 台聚|塑膠工業|-7 -21 -15|83 99 15 7|1.2 68|34 3 -2 -29 -31
1305 華夏|塑膠工業|3 -28 -17|88 100 46 16|1.1 133|10 1 10 -40 5
1308 亞聚|塑膠工業|-10 -14 -18|81 99 17 13|1.2 35|10 17 -2 -6 -28
1309 台達化|塑膠工業|-13 -27 -15|77 100 15 1|1.0 21|3 5 2 12 -4
1312 國喬|塑膠工業|-28 -31 -12|77 97 14 3|0.9 61|13 4 0 -15 -13
1313 聯成|塑膠工業|-29 -25 -14|71 100 21 0|2.0 21|10 10 0 -5 -3
1314 中石化|塑膠工業|-57 -57 -30|76 92 8 0|1.0 47|12 20 0 -15 -9
1316 上曜|建材營造|33 50 -123|43 71 -3 -26|1.0 6|2 -2 0 -1 50
1319 東陽|汽車工業|2 8 -8|81 81 -2 -9|0.7 168|27 3 0 -12 21
1325 恆大|塑膠工業|-27 -22 20|47 86 14 3|0.4 12|4 -1 0 -15 19
1326 台化|塑膠工業|-8 -9 -13|94 95 5 5|1.5 160|34 12 -0 -20 -7
1336 台翰|電子零組|15 28 -3|97 97 34 43|3.0 6|5 -4 0 24 -25
1342 八貫|其他|7 11 -18|93 93 57 97|0.7 286|52 -5 0 53 82
1402 遠東新|紡織纖維|-8 -3 -14|98 98 2 9|0.7 185|18 12 -1 -22 12
1409 新纖|紡織纖維|-19 -21 -26|91 98 12 7|0.8 22|13 25 6 -17 -11
1417 嘉裕|紡織纖維|-11 -10 -30|93 93 37 47|0.4 54|3 0 0 -13 18
1434 福懋|紡織纖維|-11 -8 -14|97 98 5 5|1.1 18|8 9 0 -6 -3
1440 南紡|紡織纖維|-4 7 -4|71 91 5 -1|1.0 10|7 1 0 -11 -11
1442 名軒|建材營造|5046 1621 1262|83 83 8 42|0.9 36|4 -2 -2 -11 13
1443 立益物流|其他|-19 -35 -43|100 100 64 101|6.6 6|0 -0 0 922 479
1444 力麗|紡織纖維|-48 -19 -36|87 87 0 5|0.4 16|6 -5 0 -3 20
1451 年興|紡織纖維|-42 -11 -22|78 78 -0 -7|0.7 5|7 -8 0 -34 -3
1467 南緯|紡織纖維|-33 -31 -25|77 91 1 -5|0.9 33|21 1 0 -16 2
1475 業旺|紡織纖維|20 30 -325|94 100 42 22|0.8 8|1 4 0 -12 4
1476 儒鴻|紡織纖維|-37 -20 -34|81 97 15 21|1.6 405|41 5 6 -6 -7
1477 聚陽|紡織纖維|-22 -2 -15|88 88 7 51|1.8 404|38 17 -10 50 -25
1503 士電|電機機械|4 17 6|94 94 15 3|1.4 42|32 1 0 101 5
1504 東元|電機機械|1 7 -4|90 96 -1 0|1.2 56|20 5 1 -1 -23
1513 中興電|電機機械|-20 -4 -11|99 99 58 36|1.3 1513|19 0 2 -3 18
1514 亞力|電機機械|63 52 16|95 98 34 5|1.9 128|11 5 1 24 -25
1515 力山|電機機械|-77 -82 -7|64 85 9 -8|0.6 11|9 -2 0 -18 -7
1517 利奇|電機機械|-35 -33 -39|77 81 -6 -6|0.3 7|2 10 0 -19 -9
1519 華城|電機機械|-22 -9 4|98 98 48 52|1.4 485|10 -1 2 19 32
1522 堤維西|汽車工業|10 14 -2|88 88 12 -8|0.4 50|6 6 0 -10 -6
1524 耿鼎|汽車工業|27 16 -10|88 88 20 -4|0.8 71|3 0 0 7 11
1526 日馳|電機機械|-34 -16 -38|73 73 -2 2|0.3 6|4 -15 0 -5 -15
1527 鑽全|電機機械|-34 -29 -16|94 98 9 6|1.5 5|10 11 0 -7 -15
1529 樂事綠能|電機機械|7 44 -6|74 99 43 59|1.6 142|1 -0 -0 16 25
1532 勤美|電機機械|-55 -47 -32|89 98 12 4|1.9 5|11 18 -9 14 -12
1533 車王電|汽車工業|-36 21 -1|73 81 7 -15|0.8 6|6 4 -2 -1 -16
1536 和大|汽車工業|15 7 -3|77 77 -6 -11|0.9 99|15 12 -22 6 -10
1539 巨庭|電機機械|-74 -69 -55|60 60 7 -5|0.2 9|3 7 0 -8 -1
1558 伸興|電機機械|3 49 45|87 91 11 -8|0.4 5|7 -4 0 -0 -5
1560 中砂|電機機械|-2 4 -11|71 71 16 -21|0.7 319|10 -0 -2 -1 0
1565 精華|生技醫療|-10 -13 -6|92 97 23 5|0.9 22|27 8 -6 -9 -17
1580 新麥|電機機械|-11 -13 -7|93 94 12 2|1.3 10|6 -3 -4 2 -23
1584 精剛|其他|101 50 -16|97 97 60 20|0.8 147|2 -0 0 31 22
1589 永冠-KY|電機機械|16 21 16|95 100 35 23|2.4 23|7 16 8 11 -26
1590 亞德客-KY|電機機械|-8 10 7|100 100 49 30|1.6 551|80 13 4 -54 -44
