# 2022-09-01 全池(1035 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|21 3 0|85 87 6 -8|1.0 506|22 -6 9 -15 17
1102 亞泥|水泥工業|15 9 -3|94 94 3 -2|0.8 202|17 19 6 -21 -34
1104 環泥|水泥工業|18 20 6|99 99 5 10|1.0 10|13 13 0 -19 2
1201 味全|食品工業|6 3 -0|86 90 -1 -4|0.5 5|11 -16 0 -5 11
1210 大成|食品工業|0 3 -10|92 92 4 -2|1.4 39|10 1 0 -10 -14
1215 卜蜂|食品工業|12 13 -3|99 99 11 9|1.0 33|39 10 5 -2 5
1216 統一|食品工業|13 11 3|97 97 5 3|0.9 338|40 -18 4 -11 -33
1218 泰山|食品工業|14 11 -5|94 94 15 29|0.4 16|2 -8 0 124 -1
1219 福壽|食品工業|5 20 3|81 81 1 13|0.9 25|7 7 0 -30 -35
1220 台榮|食品工業|14 12 -1|69 69 -5 4|1.2 5|8 5 0 19 6
1227 佳格|食品工業|-16 -21 -9|79 84 -10 -11|0.6 20|6 -3 1 -6 4
1229 聯華|食品工業|-6 12 -6|85 91 3 -4|1.2 48|11 -1 0 -8 -1
1231 聯華食|食品工業|19 14 5|91 91 -1 -0|0.6 12|2 -26 0 21 16
1232 大統益|食品工業|16 29 11|99 100 8 7|1.0 8|1 -5 22 -28 5
1236 宏亞|食品工業|43 40 26|80 86 -5 -3|0.3 8|0 -6 0 0 50
1258 其祥-KY|食品工業|-1 14 9|100 100 38 52|1.1 35|75 1 0 -15 31
1301 台塑|塑膠工業|-11 -1 -23|83 89 -10 -9|0.8 502|35 -10 2 25 26
1303 南亞|塑膠工業|-24 -12 -30|80 80 -12 -17|0.8 390|30 -12 6 -32 1
1304 台聚|塑膠工業|-6 1 -15|62 84 -3 -10|0.5 60|33 23 3 -3 -36
1305 華夏|塑膠工業|-15 -3 -20|55 71 -22 -25|0.7 26|10 3 -0 -5 -7
1308 亞聚|塑膠工業|18 16 -23|60 78 1 -21|1.0 36|7 14 1 2 -18
1309 台達化|塑膠工業|-6 -7 -13|62 73 -17 -25|0.6 12|2 -2 0 5 1
1310 台苯|塑膠工業|17 12 -23|64 83 -12 -17|0.5 7|7 15 0 -6 -2
1312 國喬|塑膠工業|-27 -14 -14|67 74 -16 -21|0.4 40|15 -13 0 2 14
1313 聯成|塑膠工業|-19 -4 -22|55 72 -22 -24|0.5 15|10 13 0 -6 -5
1314 中石化|塑膠工業|-27 -20 -67|77 77 -5 -10|1.1 83|11 -3 0 1 3
1316 上曜|建材營造|337 452 267|57 72 -21 -22|0.7 16|2 14 0 -4 -12
1319 東陽|汽車工業|26 23 11|100 100 35 82|0.7 452|27 9 -3 -20 -24
1321 大洋|塑膠工業|-5 13 -4|96 96 17 12|3.0 16|5 4 0 -12 -6
1325 恆大|塑膠工業|-32 -53 19|48 66 -7 -22|1.9 8|4 4 0 -2 -12
