# 2022-10-03 全池(961 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|19 16 12|74 80 -7 -21|2.1 1228|20 -21 5 27 28
1102 亞泥|水泥工業|-2 8 -3|87 87 -4 -11|1.3 458|17 -5 13 17 68
1104 環泥|水泥工業|40 33 17|91 91 -4 1|1.1 8|13 -8 0 10 8
1201 味全|食品工業|5 4 1|84 88 -1 -6|1.0 6|11 2 0 -5 -6
1210 大成|食品工業|34 13 -1|83 83 -2 -13|1.5 27|10 -20 0 -11 15
1215 卜蜂|食品工業|17 15 -2|97 97 13 12|0.7 17|39 -8 11 -9 9
1216 統一|食品工業|16 14 4|98 98 0 5|1.3 448|40 0 4 -5 80
1218 泰山|食品工業|10 11 -4|94 94 -3 24|0.6 16|2 -1 0 3 -4
1219 福壽|食品工業|16 17 1|72 72 1 -6|0.6 14|6 -22 0 -1 3
1227 佳格|食品工業|-5 -17 -5|74 78 -14 -20|1.9 18|6 -9 2 -12 7
1229 聯華|食品工業|5 10 -7|74 80 -5 -19|1.3 58|11 -12 0 3 2
1231 聯華食|食品工業|10 13 4|85 85 -12 -6|1.7 15|2 -17 0 -27 48
1232 大統益|食品工業|34 33 13|94 95 1 2|1.0 8|1 -1 16 -61 16
1258 其祥-KY|食品工業|14 16 9|75 75 3 2|0.1 5|77 11 0 -31 16
1301 台塑|塑膠工業|-25 -10 -25|79 86 2 -11|0.9 683|35 -14 -6 13 34
1303 南亞|塑膠工業|-26 -19 -30|80 83 4 -17|1.1 388|30 -11 5 -20 29
1304 台聚|塑膠工業|-14 -6 -17|54 75 -8 -22|0.6 31|33 2 3 -12 -4
1305 華夏|塑膠工業|-32 -19 -28|48 66 -20 -34|1.3 24|10 -9 0 -16 -1
1308 亞聚|塑膠工業|37 23 -12|63 84 12 -15|0.9 69|9 14 -0 -6 -15
1309 台達化|塑膠工業|-17 -9 -11|60 74 -11 -26|1.3 12|3 6 0 -13 -10
1310 台苯|塑膠工業|-25 -1 -28|65 78 -2 -22|1.1 5|7 -5 0 -8 -3
1312 國喬|塑膠工業|-25 -19 -15|63 73 -10 -26|1.0 41|15 2 0 -4 -0
1313 聯成|塑膠工業|-34 -18 -28|50 70 -17 -30|1.2 10|10 -6 -0 -9 8
1316 上曜|建材營造|51 436 264|47 62 -19 -38|3.1 15|2 2 0 -30 -21
1319 東陽|汽車工業|19 22 9|87 87 -2 53|0.5 317|27 -1 0 -2 54
1321 大洋|塑膠工業|1 11 -4|89 89 11 2|0.7 6|5 2 0 3 3
1325 恆大|塑膠工業|1 -32 32|43 55 -12 -41|0.9 7|4 -0 0 -7 10
1326 台化|塑膠工業|-6 5 -12|87 89 -2 -8|1.1 191|34 -16 1 -26 72
1336 台翰|電子零組|32 25 4|83 83 33 32|0.4 12|3 8 0 -8 47
1338 廣華-KY|汽車工業|11 17 7|92 92 -3 5|0.5 14|11 -6 0 17 -16
1339 昭輝|汽車工業|4 8 13|90 90 3 21|0.3 7|3 -13 0 -4 12
1342 八貫|其他|16 16 -26|85 85 12 16|1.4 41|52 2 0 -31 13
1402 遠東新|紡織纖維|14 17 0|97 97 8 9|1.1 302|18 2 17 -15 53
1409 新纖|紡織纖維|4 8 -13|84 88 1 -13|0.9 28|12 -2 0 -1 14
1410 南染|紡織纖維|-32 -25 -12|89 89 21 14|1.2 38|22 0 0 -31 407
1432 大魯閣|運動休閒|101 276 200|63 87 2 -5|1.3 7|0 -10 0 -2 na
1434 福懋|紡織纖維|21 15 3|91 97 7 0|1.4 31|8 -10 0 -1 29
1440 南紡|紡織纖維|14 5 0|63 74 -9 -27|0.8 17|6 2 0 -5 -2
1442 名軒|建材營造|-48 -76 -27|94 94 35 28|1.3 38|3 3 0 59 24
1444 力麗|紡織纖維|9 10 -21|85 87 7 -3|0.9 42|7 -2 0 -11 16
1446 宏和|紡織纖維|-34 8 27|85 85 0 -1|3.0 8|1 -2 0 1 42
1449 佳和|紡織纖維|21 -14 -26|87 91 55 1|1.7 10|1 1 0 -43 12
1451 年興|紡織纖維|1 10 -6|82 82 8 17|0.6 9|8 -7 0 34 16
1453 大將|建材營造|104187 61283 11785|45 45 -13 9|0.2 12|1 7 0 -22 46
1464 得力|紡織纖維|32 26 6|88 91 11 -5|0.6 5|2 4 0 -7 6
1467 南緯|紡織纖維|5 4 12|77 82 -15 -15|0.5 16|20 0 0 4 -1
1476 儒鴻|紡織纖維|54 31 16|61 78 -8 -16|1.3 380|40 -11 3 42 47
1477 聚陽|紡織纖維|18 20 -1|75 87 24 0|0.7 509|29 16 1 -37 -29
1503 士電|電機機械|10 12 8|89 89 -5 13|0.8 20|32 1 0 2 32
1504 東元|電機機械|7 17 4|87 87 -1 -10|0.9 71|20 -5 0 3 56
1506 正道|電機機械|12 6 -17|84 84 7 -8|0.9 8|1 8 0 na na
1513 中興電|電機機械|1 11 -2|84 84 9 12|0.5 622|25 1 -0 13 18
1514 亞力|電機機械|31 27 2|78 78 -2 6|0.3 69|13 -23 0 24 102
1515 力山|電機機械|-74 -76 -32|44 73 2 -26|0.5 27|9 -3 0 -6 3
1516 川飛|其他|31519 10494 7803|75 81 16 -22|1.8 7|2 -9 0 -19 10
1517 利奇|電機機械|15 28 7|77 87 6 -2|1.0 69|2 -13 -0 17 50
1519 華城|電機機械|-28 -26 -15|89 89 17 -2|1.8 163|6 -4 3 18 40
1522 堤維西|汽車工業|15 16 -0|81 81 -16 44|0.2 96|6 6 0 -20 -8
1524 耿鼎|汽車工業|8 22 1|85 85 20 131|0.3 347|3 1 0 -22 4
1526 日馳|電機機械|15 19 -20|82 82 23 9|0.4 40|13 8 0 2 16
1527 鑽全|電機機械|-17 -22 -20|90 90 -1 1|0.9 12|10 -3 0 -4 -1
1529 樂事綠能|電機機械|-35 -10 -111|68 100 32 1|6.6 48|1 -1 0 10 122
1532 勤美|電機機械|-28 -17 -32|88 93 4 -7|1.9 6|12 5 11 -3 21
1533 車王電|汽車工業|3 32 22|72 76 -11 -23|0.4 26|5 -16 0 -2 52
1536 和大|汽車工業|12 24 15|94 95 45 18|1.6 480|14 0 7 -5 21
1537 廣隆|電機機械|267 114 98|96 96 6 4|0.6 10|18 12 0 -23 10
1539 巨庭|電機機械|-11 -5 -21|65 65 18 67|0.2 75|8 -2 0 -26 213
1558 伸興|電機機械|6 -12 13|80 90 -6 -8|2.0 12|8 -1 0 1 12
1560 中砂|電機機械|20 25 6|72 72 -7 -5|0.5 666|20 4 -4 -10 5
1565 精華|生技醫療|-15 -10 -8|69 83 -6 -15|1.7 26|27 -4 -16 -10 16
1568 倉佑|汽車工業|-17 -3 -2|76 76 -10 14|0.1 28|3 -7 0 -18 11
1569 濱川|電腦及週|-14 5 -19|84 84 0 -14|0.6 11|6 -7 0 -8 94
1582 信錦|電子零組|-19 9 0|91 91 5 -3|0.7 6|11 -15 0 -2 -4
1584 精剛|其他|15 60 -25|71 71 3 -7|0.5 21|2 1 0 1 16
1587 吉茂|汽車工業|17 18 3|83 83 -6 -1|0.6 5|23 -9 0 -11 9
1589 永冠-KY|電機機械|14 10 13|85 85 10 -1|5.4 20|6 6 15 -9 -11
