# 2023-04-06 全池(1123 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|34 16 8|82 92 7 7|0.8 602|21 -8 1 14 11
1102 亞泥|水泥工業|52 2 0|97 97 4 8|0.8 169|18 -18 3 23 4
1104 環泥|水泥工業|70 27 7|99 99 18 27|1.6 34|14 14 0 -44 1
1108 幸福|水泥工業|72 31 9|98 98 32 39|0.8 20|2 8 0 -5 8
1201 味全|食品工業|15 0 -1|90 95 6 2|0.7 7|11 -8 0 -15 14
1210 大成|食品工業|10 4 -4|98 100 14 14|0.9 68|10 3 -0 -4 -12
1215 卜蜂|食品工業|10 4 -8|100 100 8 7|0.7 52|39 13 0 -43 7
1216 統一|食品工業|19 11 1|100 100 10 8|1.4 481|41 7 2 5 3
1217 愛之味|食品工業|-1 2 0|94 100 8 27|0.9 20|9 15 0 -21 -28
1218 泰山|食品工業|12 6 -3|65 65 -6 -14|1.3 35|3 3 -0 5 7
1219 福壽|食品工業|14 5 -10|82 96 16 13|0.7 24|4 3 0 11 -11
1220 台榮|食品工業|-14 -21 -23|75 95 12 20|1.7 15|7 1 0 -57 -2
1227 佳格|食品工業|8 -5 6|83 95 3 9|0.8 24|7 7 -12 -2 9
1229 聯華|食品工業|26 8 0|93 100 17 13|1.2 55|11 14 -0 7 -10
1231 聯華食|食品工業|7 9 -4|100 100 24 27|1.1 18|3 12 0 -58 -28
1232 大統益|食品工業|41 27 5|93 96 6 -3|0.8 6|1 3 0 17 6
1234 黑松|食品工業|71 26 16|99 99 9 8|0.6 8|6 8 0 -14 8
1256 鮮活果汁-KY|食品工業|58 3 13|92 92 22 33|0.9 10|4 5 0 5 6
1268 漢來美食|觀光餐旅|17 25 -61|89 89 8 24|0.4 36|1 -4 0 17 54
1301 台塑|塑膠工業|-14 -29 -14|90 99 5 7|0.9 436|34 -9 12 10 20
1303 南亞|塑膠工業|-27 -33 -12|91 99 10 18|1.0 347|30 3 8 -22 12
1304 台聚|塑膠工業|-14 -19 -6|96 99 20 32|1.1 52|35 11 10 -2 0
1305 華夏|塑膠工業|-15 -15 1|82 91 1 32|0.3 70|11 16 -20 -6 -19
1308 亞聚|塑膠工業|-15 -22 -18|86 99 5 6|1.5 35|10 6 -3 -0 1
1309 台達化|塑膠工業|-15 -20 -3|70 91 -4 1|0.5 17|3 -14 -1 5 -5
1310 台苯|塑膠工業|-49 -31 -28|82 97 3 5|0.8 5|7 5 0 -23 -5
1312 國喬|塑膠工業|11 -13 5|80 97 6 18|1.2 43|13 1 0 12 -6
1313 聯成|塑膠工業|19 -16 -2|77 93 7 21|0.5 16|10 10 1 -9 -21
1316 上曜|建材營造|127 35 -135|58 83 11 -18|0.8 27|1 -4 0 -11 61
1319 東陽|汽車工業|39 9 -7|82 93 11 -8|0.9 232|25 -5 -0 4 -2
1321 大洋|塑膠工業|-12 -19 -13|98 100 14 8|1.1 8|5 9 0 4 0
1326 台化|塑膠工業|-2 -9 -9|89 90 -1 0|0.8 167|34 -11 1 -0 4
1336 台翰|電子零組|35 15 -11|84 84 5 4|0.4 13|6 -3 0 -5 4
1339 昭輝|汽車工業|41 3 -2|93 93 11 12|0.6 14|2 0 0 21 16
1342 八貫|其他|-21 1 -19|95 95 23 123|1.0 233|51 -1 -0 10 29
1402 遠東新|紡織纖維|1 -5 -13|94 94 -1 -4|0.8 178|17 -29 7 -4 49
1409 新纖|紡織纖維|-14 -22 -18|90 96 -0 9|0.7 35|13 -5 7 -14 2
1417 嘉裕|紡織纖維|31 2 -17|84 84 -6 28|0.1 9|2 -7 0 -12 -9
1432 大魯閣|運動休閒|-0 24 -64|74 74 37 37|0.4 28|1 -1 0 na na
1434 福懋|紡織纖維|-8 -11 -13|100 100 7 2|0.8 36|8 6 -1 -16 11
1437 勤益控|其他|2 -10 -23|92 92 14 18|0.8 17|6 -6 0 -16 153
1438 三地開發|建材營造|na na na|86 86 5 2|1.2 7|1 3 0 -22 8
1440 南紡|紡織纖維|3 -8 -14|73 92 -3 1|1.1 19|7 -19 1 -6 26
1442 名軒|建材營造|362 1778 1384|88 88 -10 16|0.9 36|4 3 -0 -18 -18
1444 力麗|紡織纖維|-15 -32 -38|86 95 0 -3|0.3 13|6 -8 0 -8 2
1451 年興|紡織纖維|-38 -32 -34|83 96 9 0|0.7 10|7 -6 0 -9 7
1453 大將|建材營造|-100 -50 -38440|46 89 8 0|0.7 5|1 -3 0 4 -7
1455 集盛|紡織纖維|-24 -41 -19|66 92 1 14|0.9 7|2 -7 0 -12 9
1467 南緯|紡織纖維|-26 -31 -20|82 92 5 -1|0.5 27|21 1 0 4 -22
1473 台南|紡織纖維|-33 -10 -41|87 87 17 25|0.7 7|10 -4 0 9 25
1475 業旺|紡織纖維|47 28 -238|75 78 -16 17|0.4 5|0 -8 0 6 31
1476 儒鴻|紡織纖維|-28 -36 -39|94 94 -2 15|1.2 380|41 7 -2 -39 -15
1477 聚陽|紡織纖維|4 -12 -19|94 94 -4 20|1.6 425|36 -6 4 8 66
1503 士電|電機機械|30 14 1|94 94 36 38|0.4 178|31 -2 0 -20 -6
1504 東元|電機機械|14 4 -7|97 97 56 53|2.2 1408|18 0 1 20 305
1506 正道|電機機械|2 -6 -11|95 95 26 38|0.5 9|1 -0 0 na na
1513 中興電|電機機械|38 17 7|95 95 45 68|0.4 1799|18 -0 1 -9 -18
1514 亞力|電機機械|25 37 -0|90 90 30 36|0.3 189|12 -0 -1 -14 -7
1515 力山|電機機械|-63 -71 5|66 87 -6 -2|0.6 12|6 -22 -1 -2 12
1516 川飛|其他|23 na na|69 85 2 -1|0.4 5|2 5 0 -35 -16
1517 利奇|電機機械|-28 -41 -37|79 83 -1 -11|0.9 11|2 -12 0 -14 10
1519 華城|電機機械|-42 -34 -16|97 97 50 76|0.5 635|10 -0 -1 24 5
1522 堤維西|汽車工業|9 7 -8|92 98 13 11|0.5 75|8 13 0 -21 -39
1524 耿鼎|汽車工業|74 24 -3|88 94 12 1|0.6 151|4 3 0 9 -27
1526 日馳|電機機械|-13 -26 -35|74 87 3 -13|0.8 11|2 -11 0 -5 -1
1527 鑽全|電機機械|-16 -29 -11|94 94 4 5|0.6 11|11 -3 0 -11 6
1528 恩德|電機機械|22 14 4|98 98 10 15|1.1 8|2 5 0 -3 26
1529 樂事綠能|電機機械|236 140 76|93 93 47 37|0.6 100|4 3 -0 -9 -18
1532 勤美|電機機械|-21 -42 -14|99 99 24 20|1.0 28|12 2 1 12 5
1533 車王電|汽車工業|18 -10 -25|72 94 2 -2|0.5 11|6 -6 0 1 20
1535 中宇|電機機械|3 -5 -9|99 99 14 18|0.5 11|1 4 1 -51 27
1536 和大|汽車工業|33 14 1|76 78 2 -21|0.4 57|12 -13 1 -3 -3
1537 廣隆|電機機械|-9 -12 -63|100 100 5 4|0.8 7|18 0 0 -27 -1
1539 巨庭|電機機械|-76 -74 -41|66 94 8 0|0.9 24|1 0 0 -9 -38
1540 喬福|電機機械|29 50 -39|90 90 10 8|0.8 8|2 2 0 -12 -2
1558 伸興|電機機械|13 -5 -13|86 89 -6 -7|0.9 12|7 -14 -2 3 -1
