# 2023-06-01 全池(1114 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|9 20 10|94 95 0 14|1.2 907|21 -8 -8 -30 41
1102 亞泥|水泥工業|-18 11 14|98 98 -1 7|1.1 187|18 -15 1 226 7
1103 嘉泥|水泥工業|31 34 19|97 97 4 17|2.3 8|6 -1 0 -6 -6
1104 環泥|水泥工業|1 32 12|92 92 14 29|0.4 58|15 -1 0 -44 -1
1108 幸福|水泥工業|18 39 13|89 89 11 44|0.4 19|3 -2 0 -28 9
1110 東泥|水泥工業|92 64 49|91 92 3 3|1.7 10|6 0 0 62 -7
1201 味全|食品工業|13 12 9|97 97 -3 6|1.1 8|11 -7 0 4 -14
1210 大成|食品工業|-3 7 -2|98 98 5 21|0.6 101|11 8 1 79 -20
1215 卜蜂|食品工業|13 9 -2|92 92 9 16|0.6 104|39 -8 1 -38 2
1216 統一|食品工業|3 9 -0|98 98 9 14|1.3 390|41 -12 0 -35 -40
1217 愛之味|食品工業|14 7 4|98 98 -0 14|0.6 9|9 3 -3 -0 -47
1218 泰山|食品工業|-10 -2 -8|66 66 2 -24|1.5 77|2 -4 0 -9 -7
1219 福壽|食品工業|-12 0 -10|92 92 -6 10|0.3 12|4 -4 0 -23 3
1227 佳格|食品工業|-4 -3 10|89 96 -2 2|1.3 58|7 2 -1 6 -12
1229 聯華|食品工業|-4 13 7|99 99 16 25|0.7 66|11 3 1 -16 -24
1231 聯華食|食品工業|-0 10 -3|95 95 6 25|0.7 18|3 -11 0 14 -17
1232 大統益|食品工業|-7 10 -9|94 98 4 3|0.9 6|1 5 0 -70 -33
1234 黑松|食品工業|8 30 16|99 99 6 13|0.7 11|6 5 0 -15 -24
1268 漢來美食|觀光餐旅|80 36 -59|99 99 7 44|1.0 56|5 11 0 14 39
1301 台塑|塑膠工業|-36 -25 -4|92 99 3 4|2.0 549|33 -6 3 -15 54
1303 南亞|塑膠工業|-28 -30 -5|96 96 3 1|1.5 432|30 11 7 -33 -4
1304 台聚|塑膠工業|-25 -19 -4|84 84 -7 11|0.7 27|35 -8 0 -1 -15
1305 華夏|塑膠工業|-33 -28 -5|79 81 -14 13|0.6 29|11 -10 -6 10 -16
1307 三芳|塑膠工業|-25 -5 -33|96 96 11 10|1.2 20|11 4 0 6 -15
1308 亞聚|塑膠工業|-10 -16 -12|86 86 -10 -3|0.6 27|8 -22 -1 -4 6
1309 台達化|塑膠工業|-23 -18 1|75 85 -13 1|0.7 7|2 13 0 -5 -7
1310 台苯|塑膠工業|-26 -28 -14|96 96 21 26|0.6 44|6 1 0 -29 14
1312 國喬|塑膠工業|-22 -6 13|86 90 -4 7|0.6 30|13 -9 -2 -8 5
1313 聯成|塑膠工業|-3 -1 15|82 91 -5 11|0.9 10|11 -7 -4 -10 -11
1316 上曜|建材營造|-65 1 -130|58 90 6 2|0.7 13|1 -13 0 -8 26
1319 東陽|汽車工業|-2 17 3|89 97 14 9|0.5 180|23 -6 -0 16 -36
1325 恆大|塑膠工業|-44 -21 8|85 89 9 15|1.5 6|4 2 0 -1 -12
1326 台化|塑膠工業|-30 -17 -11|88 90 -3 -8|1.4 164|34 0 -3 4 -17
1336 台翰|電子零組|-12 9 -11|80 80 -17 -7|0.7 7|5 -7 0 -11 14
1340 勝悅-KY|塑膠工業|134 53 63|97 97 19 30|0.8 6|28 1 0 7 -4
1342 八貫|其他|-4 -5 -19|76 76 -18 48|0.2 93|44 -1 0 -5 3
1402 遠東新|紡織纖維|-9 -3 -8|95 95 -2 -0|1.8 160|16 -12 4 -10 31
1409 新纖|紡織纖維|-28 -24 -13|92 92 -7 -2|0.8 30|13 -16 7 -4 17
1417 嘉裕|紡織纖維|10 17 -0|86 86 -1 15|0.7 7|3 -3 0 -7 2
1423 利華|紡織纖維|-41 -35 -16|97 97 14 15|1.0 6|1 3 0 5 -12
1432 大魯閣|運動休閒|44 15 -74|76 76 -6 36|0.6 10|0 -2 0 na na
1434 福懋|紡織纖維|-25 -17 -15|99 99 2 6|0.9 22|8 -1 -2 8 -13
