# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1569 濱川|電腦及週|-3 -8 11|68 68 23 82|0.4 198|5 -4 0 3 12
1570 力肯|電機機械|129 133 22|66 81 -6 -9|1.9 6|7 -6 0 -1 -2
1580 新麥|電機機械|16 7 -2|94 94 -1 -4|0.5 5|6 -27 0 13 -6
1582 信錦|電子零組|-2 -13 -23|76 76 -13 -14|0.4 38|14 -10 5 -2 -38
1584 精剛|其他|-22 -17 -24|67 67 -25 -12|1.0 35|2 -6 0 -19 -1
1587 吉茂|汽車工業|3 15 15|44 61 -19 -41|0.2 22|22 4 0 7 -1
1589 永冠-KY|電機機械|1 -2 14|55 76 -19 -22|1.0 13|6 -2 0 -6 -2
1590 亞德客-KY|電機機械|2 -2 -8|70 84 -16 -17|0.4 478|74 13 -13 15 -28
1591 駿吉-KY|電機機械|-36 34 -231|68 81 18 -18|0.7 29|3 2 0 -8 9
1595 川寶|半導體業|30 -9 25|63 63 -2 20|0.2 113|0 -2 0 1 79
1597 直得|電機機械|37 14 16|100 100 29 39|3.0 574|12 4 0 3 9
1603 華電|電器電纜|35 -1 -19|70 81 -6 -17|0.2 8|3 1 0 3 -17
1605 華新|電器電纜|25 3 8|61 66 -30 -33|1.7 591|19 21 -29 12 -41
1608 華榮|電器電纜|-19 -1 -17|58 60 -20 -33|0.6 22|4 7 0 -16 -16
1609 大亞|電器電纜|23 17 0|71 77 -10 -16|0.8 115|13 9 0 -6 -12
1611 中電|電器電纜|-25 -21 -9|74 74 -7 -17|0.2 11|11 -6 0 -18 -1
1612 宏泰|電器電纜|43 23 9|76 87 -2 -9|0.6 21|15 -10 0 -4 1
1616 億泰|電器電纜|-0 24 10|69 76 -14 -17|0.5 7|3 -9 0 -15 27
1618 合機|電器電纜|-60 -29 -50|72 74 2 -20|1.0 34|3 5 0 -3 -7
1702 南僑|食品工業|3 5 0|78 82 -18 -14|0.6 24|14 -22 -10 -31 33
1707 葡萄王|生技醫療|-8 20 13|93 93 1 -3|0.4 23|16 3 -0 -2 -8
1708 東鹼|化學工業|17 24 13|85 85 -9 7|0.2 35|17 -19 0 -16 14
1709 和益|化學工業|5 -1 -15|79 79 -15 -12|0.4 7|3 -7 0 -12 -10
1710 東聯|化學工業|11 9 -6|69 74 -25 -20|0.7 16|9 -17 0 17 4
1711 永光|化學工業|8 -2 -6|73 73 -21 0|0.3 37|8 7 0 4 -10
1712 興農|化學工業|-13 -8 -7|90 90 -1 -3|0.4 12|16 -17 1 2 -1
1717 長興|化學工業|3 -1 -6|79 79 -17 -14|0.4 30|15 -27 0 -7 55
1720 生達|生技醫療|2 8 -0|81 81 -6 -12|0.9 10|4 -31 -0 -17 -4
1721 三晃|化學工業|-37 -9 -15|61 61 -39 7|0.2 26|9 2 0 -7 9
1722 台肥|化學工業|3 4 17|77 81 -11 -18|1.1 82|10 -16 -8 -11 -6
1723 中碳|化學工業|12 -2 3|74 86 -10 -15|0.6 15|8 -16 -1 -6 7
1727 中華化|化學工業|3 30 11|68 68 -29 -11|0.2 16|6 -4 0 -10 -5
1734 杏輝|生技醫療|4 1 -5|82 83 -5 -17|1.6 9|4 -34 0 -8 2
1736 喬山|運動休閒|39 34 12|93 93 12 95|0.7 175|10 -3 7 -27 11
1760 寶齡富錦|生技醫療|-6 -0 -11|74 82 -7 -17|1.7 9|12 -6 0 -7 1
1773 勝一|化學工業|15 14 1|81 84 -15 -3|0.6 24|7 -18 2 21 10
1783 和康生|生技醫療|33 37 32|99 100 13 7|1.5 6|7 1 0 21 -9
1784 訊聯|生技醫療|21 9 -0|54 54 -19 -41|0.5 29|3 -8 0 -14 1
1785 光洋科|其他電子|48 31 1|82 82 -7 -16|0.5 545|14 2 -1 0 -26
1786 科妍|生技醫療|31 24 -9|77 77 -19 -16|2.3 44|5 -0 0 26 20
1789 神隆|生技醫療|-28 -15 -28|74 76 -13 -25|0.9 7|5 -15 0 -10 26
1795 美時|生技醫療|-7 36 24|79 90 2 -12|0.7 315|58 -10 0 -6 -8
1799 易威|生技醫療|452 204 9|28 28 -45 -54|1.4 33|15 -6 -2 na na
1802 台玻|玻璃陶瓷|-3 -12 -6|76 76 -15 -15|0.5 194|6 -8 -0 0 2
1808 潤隆|建材營造|-99 -96 -606|29 29 -28 -66|0.4 67|8 -9 0 -5 -14
1809 中釉|玻璃陶瓷|2 -5 -9|55 73 -19 -25|0.3 10|3 -3 0 -3 -5
1810 和成|玻璃陶瓷|-6 -1 -2|80 89 -9 -8|1.6 10|4 -8 16 -1 -6
1815 富喬|電子零組|80 55 31|85 85 9 3|0.3 1032|6 -4 -0 7 9
1904 正隆|造紙工業|-0 14 8|63 66 -23 -35|0.5 25|9 7 0 -6 -7
1905 華紙|造紙工業|-8 -11 -12|65 75 -22 -25|0.5 11|4 1 0 -8 -4
1907 永豐餘|造紙工業|5 2 -4|89 89 -10 -7|0.6 16|13 -18 -2 -1 -3
1909 榮成|造紙工業|7 4 1|71 76 -24 -19|0.5 10|11 -18 0 2 7
2002 中鋼|鋼鐵工業|-3 -5 -4|72 81 -19 -17|0.9 382|14 -36 0 12 18
2006 東和鋼鐵|鋼鐵工業|-12 -13 -14|83 83 -17 -6|0.9 61|16 -4 -16 -12 -3
2009 第一銅|鋼鐵工業|7 10 -10|61 72 -19 -28|0.4 19|2 -6 0 -3 3
2010 春源|鋼鐵工業|26 21 7|78 93 -7 -8|0.4 8|7 -14 0 -13 5
2014 中鴻|鋼鐵工業|-26 -32 -18|62 76 -21 -19|0.3 44|4 2 -7 -11 -1
2015 豐興|鋼鐵工業|0 -6 -5|79 79 -21 -13|1.3 27|12 22 -34 29 -15
2020 美亞|鋼鐵工業|-19 -16 1|71 77 -7 -21|0.9 9|3 -19 0 -2 10
2023 燁輝|鋼鐵工業|-8 -10 -12|81 90 -10 -4|1.1 24|6 -26 0 -4 24
2027 大成鋼|鋼鐵工業|-4 -8 4|78 79 -15 -15|0.4 132|17 -8 -22 -9 -23
