# 2023-03-01 全池(1039 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-3 4 -3|85 95 16 -5|1.5 626|21 -2 3 8 -5
1102 亞泥|水泥工業|-35 -18 -17|98 98 8 3|0.8 175|19 -2 -0 -36 -10
1103 嘉泥|水泥工業|21 22 17|93 93 15 9|5.2 7|5 6 0 71 14
1104 環泥|水泥工業|-15 6 -8|99 99 12 10|1.1 15|14 17 0 25 3
1108 幸福|水泥工業|-9 22 8|96 96 33 26|7.4 5|1 -1 0 220 67
1201 味全|食品工業|-5 -6 -5|92 99 9 1|1.5 11|11 11 0 24 -20
1210 大成|食品工業|-8 6 -4|97 100 18 6|4.4 64|10 -2 0 104 16
1215 卜蜂|食品工業|-11 5 -8|100 100 8 5|4.4 38|39 -7 1 123 9
1216 統一|食品工業|-4 6 -4|99 99 5 1|0.8 349|41 -17 -3 11 33
1217 愛之味|食品工業|1 2 1|91 99 11 13|1.6 16|8 8 0 -1 -15
1218 泰山|食品工業|-1 3 -7|64 64 -21 -15|0.5 61|3 2 0 51 1
1219 福壽|食品工業|-7 1 -13|81 99 15 -1|3.8 18|5 -2 0 20 36
1227 佳格|食品工業|-22 -15 -2|85 99 5 0|0.9 20|7 16 -0 -5 -7
1229 聯華|食品工業|-7 -6 -13|81 94 9 -5|0.9 47|11 3 -0 -11 13
1231 聯華食|食品工業|1 12 -0|99 99 21 13|1.1 17|3 13 0 2 3
1232 大統益|食品工業|-1 16 -3|91 91 1 -6|0.5 8|1 -2 0 -25 7
1234 黑松|食品工業|11 8 6|100 100 7 4|0.9 11|6 4 0 -36 35
1256 鮮活果汁-KY|食品工業|-53 -19 -4|100 100 39 30|3.1 9|4 2 0 21 -8
1268 漢來美食|觀光餐旅|41 23 -59|98 98 35 39|3.1 71|2 3 -1 97 66
1301 台塑|塑膠工業|-40 -34 -22|89 98 2 -3|0.9 446|34 -7 1 5 -4
1303 南亞|塑膠工業|-42 -34 -17|88 96 -1 6|0.7 288|30 -4 9 -7 -11
1304 台聚|塑膠工業|-36 -25 -14|86 98 21 2|0.5 41|34 2 -3 -6 5
1305 華夏|塑膠工業|-32 -23 -8|84 95 34 14|0.5 63|9 -4 1 13 -16
1308 亞聚|塑膠工業|-40 -25 -25|80 97 8 2|0.5 35|10 15 -7 -7 -17
1309 台達化|塑膠工業|-33 -28 -13|74 97 14 -2|0.5 22|3 5 1 -16 -16
1310 台苯|塑膠工業|-47 -25 -31|79 97 6 -3|0.8 5|7 10 0 -7 0
1312 國喬|塑膠工業|-21 -28 -7|76 95 14 3|0.4 45|13 5 0 -9 -8
1313 聯成|塑膠工業|-40 -30 -16|72 96 19 8|0.7 23|11 8 0 0 1
1314 中石化|塑膠工業|-55 -58 -26|75 97 3 -5|1.0 75|12 17 0 -4 -10
1316 上曜|建材營造|-54 -1 -170|45 69 -1 -27|1.2 10|2 2 0 2 29
1319 東陽|汽車工業|-14 -2 -15|75 75 -7 -20|0.6 104|26 4 -1 -2 -5
1326 台化|塑膠工業|-16 -13 -15|91 93 -3 1|0.9 156|34 -19 -0 60 9
1336 台翰|電子零組|-5 11 -19|96 96 12 8|1.0 30|6 3 0 58 -4
1339 昭輝|汽車工業|-39 -8 -8|96 96 4 -4|0.8 6|2 6 0 -19 -7
1342 八貫|其他|17 20 -9|97 97 68 114|2.1 865|52 -0 0 13 38
1402 遠東新|紡織纖維|-8 -7 -17|96 96 4 1|0.6 216|18 -0 -3 2 -7
1409 新纖|紡織纖維|-33 -27 -27|91 97 4 -0|0.6 33|13 15 1 -8 -5
1417 嘉裕|紡織纖維|-14 -15 -34|87 87 16 29|0.2 30|3 -1 0 2 15
1432 大魯閣|運動休閒|57 27 -61|95 96 54 41|2.0 35|1 0 0 na na
1434 福懋|紡織纖維|-15 -12 -16|99 99 5 -1|1.1 25|8 12 0 -11 9
1437 勤益控|其他|-22 -2 -19|96 96 20 18|3.2 36|6 -0 0 309 125
1438 三地開發|建材營造|879117 886119 31635|98 99 14 -2|1.9 5|0 1 0 -3 -3
1440 南紡|紡織纖維|-22 -8 -16|77 94 6 -6|1.3 19|7 12 0 -3 4
1442 名軒|建材營造|-73 1625 1267|83 83 -9 19|0.8 24|4 -4 -2 -10 4
1443 立益物流|其他|-34 -32 -34|94 94 40 52|0.5 15|0 1 0 25 -14
1444 力麗|紡織纖維|-32 -29 -39|88 88 1 -11|2.8 16|6 -2 0 4 11
1451 年興|紡織纖維|-17 -19 -26|84 85 7 -15|1.0 9|7 -5 0 -15 39
1453 大將|建材營造|50 0 -54399|46 71 8 -31|0.5 7|1 -2 0 31 26
1455 集盛|紡織纖維|-52 -47 -27|69 99 7 -0|0.9 6|2 9 0 4 -6
1467 南緯|紡織纖維|-33 -32 -22|77 90 -6 -3|0.4 18|21 -4 0 -4 -0
