# 2022-11-01 全池(843 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|8 16 12|69 77 -21 -15|0.6 1000|21 -24 -1 14 -53
1102 亞泥|水泥工業|-11 1 -8|84 84 -8 -8|0.5 200|16 -20 -5 -23 41
1104 環泥|水泥工業|13 24 8|90 90 -7 2|0.5 6|13 -17 -3 -19 -14
1201 味全|食品工業|1 4 1|78 89 -7 -9|0.6 6|11 -29 0 -16 -6
1210 大成|食品工業|2 12 0|77 82 -10 -10|1.3 36|10 -9 0 -10 -5
1215 卜蜂|食品工業|18 16 -2|94 94 7 11|0.4 21|39 -12 1 -33 -7
1216 統一|食品工業|11 13 3|97 97 0 5|0.8 429|40 8 3 -5 21
1218 泰山|食品工業|20 15 -2|87 87 27 38|3.5 38|3 8 0 29 -26
1219 福壽|食品工業|25 15 -3|74 90 -3 -5|0.9 14|6 -12 0 67 13
1227 佳格|食品工業|-14 -11 0|76 85 -5 -13|0.7 15|6 -6 -0 -18 -5
1229 聯華|食品工業|9 3 -16|71 82 -14 -5|0.7 50|11 -9 0 -3 -11
1231 聯華食|食品工業|17 15 4|81 81 -14 -7|0.9 10|2 0 -1 -1 -7
1232 大統益|食品工業|25 25 4|89 89 -7 1|1.1 7|1 -16 -1 14 -8
1258 其祥-KY|食品工業|6 6 -1|68 68 -23 -14|0.4 7|74 -8 0 22 -18
1301 台塑|塑膠工業|-15 -17 -27|81 82 -8 -10|0.6 706|34 -12 3 -10 18
1303 南亞|塑膠工業|-24 -25 -29|81 89 2 -8|0.9 479|30 2 4 -27 20
1304 台聚|塑膠工業|-16 -12 -17|62 85 -4 -4|0.5 30|33 9 5 -10 -3
1305 華夏|塑膠工業|-37 -28 -28|58 67 -12 -23|0.7 15|10 4 -0 -10 -8
1308 亞聚|塑膠工業|-10 15 -12|66 84 -1 2|0.5 29|8 -8 2 -6 15
1309 台達化|塑膠工業|-17 -14 -11|64 75 -9 -15|0.5 7|3 5 -0 -13 0
1312 國喬|塑膠工業|-25 -26 -17|66 79 -9 -16|0.6 28|15 10 0 -6 -5
1313 聯成|塑膠工業|-31 -28 -31|54 70 -8 -19|0.7 13|10 2 1 -6 -18
1316 上曜|建材營造|62 150 -15|41 55 -29 -42|0.7 22|2 13 0 -23 -100
1319 東陽|汽車工業|27 24 8|83 83 -6 47|0.3 168|28 8 -4 -21 -0
1326 台化|塑膠工業|2 -0 -14|90 90 1 -3|1.2 244|34 -5 1 -11 14
1338 廣華-KY|汽車工業|6 13 1|78 78 -17 -3|0.5 6|10 -19 0 -7 9
1342 八貫|其他|47 26 -20|94 94 31 32|1.5 132|52 -0 1 92 -3
1402 遠東新|紡織纖維|15 15 -1|98 98 9 15|0.8 215|19 15 12 -10 -1
1409 新纖|紡織纖維|4 6 -11|82 88 -4 -5|0.4 20|12 0 0 -3 -5
1410 南染|紡織纖維|-19 -26 -12|89 89 21 14|0.7 40|22 -1 0 -25 6
1434 福懋|紡織纖維|12 15 2|87 93 -0 4|0.6 21|8 -25 0 -8 9
