# 2025-04-01 全池(1165 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|90 78 20|92 92 0 -1|1.0 498|18 1 4 -19 5
1102 亞泥|水泥工業|16 6 9|98 98 15 2|2.0 335|22 38 -9 13 73
1103 嘉泥|水泥工業|8 6 3|86 87 -7 -11|0.7 6|5 -14 0 -2 9
1104 環泥|水泥工業|13 5 3|80 94 6 -3|0.8 10|15 1 0 -6 -6
1110 東泥|水泥工業|31 28 -3|76 83 -10 -13|1.4 6|7 -3 0 5 4
1210 大成|食品工業|12 1 6|100 100 11 14|1.1 68|10 30 17 -47 -28
1215 卜蜂|食品工業|-0 -2 2|88 96 10 1|0.8 33|40 25 9 -26 -21
1216 統一|食品工業|-1 5 -5|91 91 -2 -8|1.0 625|38 -13 15 84 80
1217 愛之味|食品工業|-3 2 -2|89 94 0 -5|1.1 7|9 -6 0 -5 -1
1218 泰山|食品工業|-0 -8 -1|87 95 3 1|0.9 18|4 18 0 -4 -0
1220 台榮|食品工業|43 7 3|75 75 -18 -10|0.8 8|9 -16 0 -19 22
1225 福懋油|食品工業|18 1 10|17 21 -33 -79|0.4 40|5 10 0 -9 2
1227 佳格|食品工業|22 10 8|82 88 -6 -10|0.9 14|7 1 0 -17 -7
1229 聯華|食品工業|0 -18 -14|72 82 -4 -17|1.0 55|10 -7 0 -3 -11
1231 聯華食|食品工業|-6 10 -1|72 72 -2 19|0.5 75|4 -15 0 -29 64
1232 大統益|食品工業|2 -5 1|96 96 3 1|0.9 9|2 0 0 117 -9
1301 台塑|塑膠工業|25 5 3|53 71 1 -24|0.6 817|27 -3 1 2 11
1303 南亞|塑膠工業|32 16 11|54 67 1 -28|1.0 481|27 -19 4 6 69
1304 台聚|塑膠工業|17 -1 -0|64 67 -2 -29|0.5 30|29 -7 0 8 -2
1305 華夏|塑膠工業|-1 -18 -2|65 69 -2 -24|0.6 12|5 -5 0 -12 10
1307 三芳|塑膠工業|42 15 4|81 81 15 16|0.4 95|20 -0 -5 3 12
1308 亞聚|塑膠工業|7 -10 2|68 68 -3 -25|0.8 11|4 -6 -3 -11 5
1309 台達化|塑膠工業|33 14 -10|61 61 -9 -33|0.7 15|2 -8 0 -1 1
1312 國喬|塑膠工業|65 27 14|69 78 -0 -18|0.6 36|7 -7 0 9 -7
1316 上曜|建材營造|351 267 95|78 92 27 6|4.2 577|2 -1 0 67 46
1319 東陽|汽車工業|56 20 10|93 93 14 20|1.2 594|18 16 0 -56 6
1321 大洋|塑膠工業|19 2 1|84 96 12 -1|0.6 7|7 7 0 -11 -16
1325 恆大|塑膠工業|-13 -30 -5|68 68 7 -0|0.1 10|1 8 0 -16 0
1326 台化|塑膠工業|6 -5 -10|48 61 -6 -35|0.7 478|32 1 -13 19 33
1336 台翰|電子零組|30 16 1|86 86 -3 -13|1.9 17|7 -4 0 10 7
1342 八貫|其他|14 26 23|70 88 -4 3|1.0 25|29 -8 0 -14 24
1402 遠東新|紡織纖維|1 2 -2|88 88 9 -11|0.7 228|19 -5 14 -40 31
1409 新纖|紡織纖維|7 13 -1|78 84 -8 -13|1.5 25|13 -17 0 -11 44
1414 東和|紡織纖維|5 -8 -0|81 81 -14 -5|0.8 11|1 -4 0 -3 -25
1432 大魯閣|運動休閒|-11 4 7|77 77 -16 -6|0.9 9|1 -7 0 na na
1434 福懋|紡織纖維|19 8 5|77 86 -6 -10|1.2 23|7 2 0 3 -1
1436 華友聯|建材營造|400 4010 1832|65 85 0 -6|1.1 94|3 -9 2 -20 57
1438 三地開發|建材營造|na na na|47 65 -16 -29|0.7 6|1 -18 0 -12 -1
1440 南紡|紡織纖維|13 -1 6|68 83 -6 -14|1.4 9|7 -10 0 -4 1
1442 名軒|建材營造|80 -23 -631|95 95 18 20|0.9 50|11 3 3 -2 17
1446 宏和|紡織纖維|-98 14 -2480|53 54 -23 -29|1.1 26|3 -4 0 -21 13
1449 佳和|紡織纖維|21 -4 -2|57 57 -27 -11|0.5 13|8 16 0 -28 3
1451 年興|紡織纖維|-16 -17 -15|95 95 7 7|2.1 17|7 12 0 645 -3
1457 宜進|紡織纖維|4 8 2|78 95 3 -2|1.6 5|2 -7 0 18 -12
1459 聯發|紡織纖維|56 4 -8|100 100 44 35|1.6 7|2 1 0 na na
1463 強盛新|紡織纖維|630 1244 945|87 87 8 17|1.6 58|10 4 0 12 30
1464 得力|紡織纖維|94 44 12|92 92 9 28|0.9 35|7 6 0 -10 7
1466 聚隆|紡織纖維|52 27 5|91 91 44 36|1.1 37|2 2 0 202 4
1472 三洋實業|建材營造|59 45 22|100 100 65 74|1.6 17|2 6 0 40 16
1473 台南|紡織纖維|11 13 1|66 92 4 -2|1.1 8|6 -3 0 9 -13
1476 儒鴻|紡織纖維|21 25 4|79 79 -9 -19|1.7 335|37 -30 -2 13 136
1477 聚陽|紡織纖維|9 15 4|71 84 4 -7|1.2 528|20 -6 -5 -3 29
1503 士電|電機機械|2 11 3|44 66 -23 -34|1.2 225|31 -16 0 -3 70
1504 東元|電機機械|6 -3 4|84 89 -7 0|1.0 214|9 -8 -11 -20 24
1513 中興電|電機機械|16 11 -7|56 75 -13 -24|1.4 600|9 -11 -0 -18 24
