# 2023-01-03 全池(921 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-1 9 3|75 84 -2 -9|0.4 671|21 29 -31 -20 -51
1102 亞泥|水泥工業|-8 -13 -16|90 91 2 -0|0.5 231|19 43 -44 11 -54
1104 環泥|水泥工業|7 11 -3|98 98 9 4|0.8 8|13 -6 0 13 -9
1210 大成|食品工業|14 13 1|86 92 2 1|1.2 26|10 -5 0 25 -24
1215 卜蜂|食品工業|15 16 -2|96 96 -0 14|1.0 37|39 15 -32 135 -39
1216 統一|食品工業|3 8 -2|98 98 1 0|0.6 451|41 6 0 -34 -33
1217 愛之味|食品工業|-1 1 -2|86 98 15 4|0.7 17|8 4 1 -3 -44
1218 泰山|食品工業|4 9 -4|70 70 -6 -7|0.7 154|3 -1 -0 -12 -5
1219 福壽|食品工業|3 16 -1|70 86 -3 -4|0.6 11|5 -3 -1 -25 -31
1227 佳格|食品工業|-25 -19 -4|78 93 4 -6|0.7 12|6 7 -1 -0 -14
1229 聯華|食品工業|-17 -5 -15|75 87 0 -4|0.9 31|11 -17 0 6 -9
1231 聯華食|食品工業|16 16 3|91 94 6 2|0.6 8|2 -4 -3 4 -9
1232 大統益|食品工業|7 14 -3|87 87 -8 -8|1.5 22|1 2 -56 86 -5
1234 黑松|食品工業|17 12 9|94 96 -2 -0|1.4 8|6 3 0 17 1
1268 漢來美食|觀光餐旅|12 36 -44|95 95 15 28|2.0 27|1 4 2 74 -4
1301 台塑|塑膠工業|-29 -25 -24|86 92 2 0|0.5 689|34 -35 24 -8 7
1303 南亞|塑膠工業|-30 -28 -20|85 93 7 15|0.4 606|30 -27 25 7 -8
1304 台聚|塑膠工業|-31 -24 -18|76 92 8 -0|0.7 90|34 11 -20 -2 -25
1305 華夏|塑膠工業|-38 -41 -29|81 99 29 8|1.4 172|10 -0 5 -9 13
1308 亞聚|塑膠工業|-25 -14 -22|78 96 1 14|0.5 41|9 0 5 -1 -22
1309 台達化|塑膠工業|-38 -28 -16|73 89 8 -7|0.7 29|3 -4 1 12 4
1310 台苯|塑膠工業|-32 -20 -34|76 91 2 -0|0.7 5|6 -14 0 -5 -15
1312 國喬|塑膠工業|-34 -30 -12|73 92 7 0|0.5 77|13 -7 0 4 1
1313 聯成|塑膠工業|-20 -26 -20|64 88 7 -7|0.7 21|10 -5 0 -6 -7
1316 上曜|建材營造|19 60 -115|41 67 -10 -29|0.5 10|1 -13 0 1 83
1319 東陽|汽車工業|7 16 -0|77 77 -11 -10|1.1 264|25 -15 0 20 16
1325 恆大|塑膠工業|-10 -19 28|49 91 15 3|1.2 20|4 -2 0 22 3
1326 台化|塑膠工業|-16 -6 -12|91 93 4 7|0.5 139|34 -8 1 21 -7
