# 2026-04-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-6 -7 1|73 89 5 -1|0.7 626|18 -10 -0 -5 47
1102 亞泥|水泥工業|-17 -9 -2|79 91 -3 -5|1.1 317|16 -23 -2 -23 49
1104 環泥|水泥工業|-15 -2 -1|90 90 -2 -4|0.8 18|16 -8 1 -28 -1
1210 大成|食品工業|-6 4 4|86 98 7 5|1.2 116|11 23 -8 -12 -6
1215 卜蜂|食品工業|-0 9 5|85 85 3 -0|1.1 138|41 -31 6 31 87
1216 統一|食品工業|8 4 1|86 89 -8 -8|1.0 758|32 -19 -3 -7 21
1217 愛之味|食品工業|2 -2 -1|88 95 -2 -3|1.0 5|8 2 0 54 0
1218 泰山|食品工業|6 9 11|92 100 7 2|1.1 18|4 32 0 17 -45
1225 福懋油|食品工業|-17 -0 5|62 92 8 6|0.8 10|1 -2 0 3 na
1227 佳格|食品工業|17 5 6|85 91 2 2|1.1 24|6 20 0 -15 4
1229 聯華|食品工業|-13 5 -1|89 89 -6 -8|1.1 103|9 -6 0 15 25
1231 聯華食|食品工業|32 8 0|61 72 -5 -28|0.7 33|3 4 -0 -2 -4
1232 大統益|食品工業|2 8 8|95 98 4 2|0.8 11|3 1 1 0 11
1256 鮮活果汁-KY|食品工業|88 66 47|81 83 6 -15|0.7 9|4 -8 0 -4 16
1264 德麥|食品工業|9 2 2|90 93 -1 -7|1.0 6|2 8 0 na 0
1294 漢田生技|食品工業|3 56 36|88 88 4 -2|0.3 5|1 2 0 99 8
1301 台塑|塑膠工業|-33 -16 -1|87 87 17 20|0.9 1815|29 -5 0 23 18
1303 南亞|塑膠工業|-16 -3 -1|83 83 35 92|0.8 6640|31 -4 2 26 27
1304 台聚|塑膠工業|-32 -18 -2|95 95 53 67|3.7 383|28 -3 0 115 156
1305 華夏|塑膠工業|-8 -5 8|92 92 52 44|3.6 387|4 -2 0 111 111
1307 三芳|塑膠工業|-17 1 2|74 90 -1 6|1.3 55|6 -5 -0 23 4
1308 亞聚|塑膠工業|-29 -13 -9|92 92 34 50|4.2 267|4 -2 0 157 145
1309 台達化|塑膠工業|-43 -29 -3|97 97 108 117|3.8 257|4 1 0 55 58
1310 台苯|塑膠工業|-13 -26 -2|89 89 29 24|2.1 238|4 -3 0 155 137
1312 國喬|塑膠工業|16 55 5|92 92 16 38|1.5 258|5 -4 0 2 39
1313 聯成|塑膠工業|-40 -13 2|93 93 22 18|1.5 218|5 -6 0 18 219
1316 上曜|建材營造|109 183 -11|63 74 -25 -19|0.5 18|4 8 0 -3 -8
1319 東陽|汽車工業|-43 -18 -9|61 71 -14 -13|0.5 213|10 -25 -3 28 66
1321 大洋|塑膠工業|-36 -20 5|89 92 -4 -8|1.3 5|7 -6 0 10 3
1325 恆大|塑膠工業|-36 -22 -15|68 78 -8 -8|0.5 6|1 0 0 0 -2
1326 台化|塑膠工業|-15 -10 7|89 89 41 53|1.6 1863|35 1 1 1 33
1342 八貫|其他|1 16 4|88 88 3 5|0.4 29|28 -25 0 -18 116
1402 遠東新|紡織纖維|-9 -5 2|81 93 -2 -2|1.3 463|19 -23 0 58 227
1409 新纖|紡織纖維|-18 -18 -2|91 92 2 9|0.7 79|13 10 0 -0 -10
1414 東和|紡織纖維|-20 -6 5|74 83 -3 -9|0.6 6|1 -7 0 -6 -34
1419 新紡|紡織纖維|15 23 8|78 78 -9 11|0.4 6|1 1 3 -5 -17
1432 大魯閣|運動休閒|-33 -27 -25|89 90 -4 0|0.5 14|0 -3 0 na na
1434 福懋|紡織纖維|-27 -9 -2|88 90 5 9|0.5 33|8 -15 0 11 27
1436 華友聯|建材營造|-83 -51 -305|43 74 -17 -26|0.6 12|5 14 -0 -4 -5
1440 南紡|紡織纖維|-39 -20 -0|88 88 -5 -6|0.8 17|8 3 1 12 1
1442 名軒|建材營造|-83 -30 27|34 61 -14 -40|0.4 13|11 -29 -0 3 -38
1449 佳和|紡織纖維|22 58 52|63 84 3 -4|0.7 12|6 -1 0 2 -3
1471 首利|電子零組|-61 -53 -13|84 84 40 27|0.6 18|1 -3 0 na na
1476 儒鴻|紡織纖維|-7 -1 -2|69 73 -14 -26|1.3 407|32 -8 -0 111 -18
1477 聚陽|紡織纖維|-1 -10 -3|70 70 -21 -20|1.8 481|15 -11 5 175 43
1503 士電|電機機械|-3 7 2|74 74 6 -0|0.3 409|31 -7 -1 -4 39
1504 東元|電機機械|-0 8 -0|52 52 -28 -37|0.4 505|12 5 -4 -16 1
1513 中興電|電機機械|-13 2 -4|78 78 -3 -8|0.5 588|17 -5 -1 -7 31
1514 亞力|電機機械|15 31 4|72 72 1 -0|0.2 284|17 7 0 -13 -34
1515 力山|電機機械|20 51 34|70 81 -13 -17|0.5 5|5 -1 0 -5 -7
1519 華城|電機機械|16 11 -7|75 75 4 39|0.8 2635|22 -4 -3 -2 26
