# 2026-06-01 全池(1303 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-4 -6 3|84 92 -7 16|1.2 717|15 -18 0 5 33
1102 亞泥|水泥工業|-9 -15 -4|79 87 -5 -12|4.2 320|15 -13 -2 70 8
1104 環泥|水泥工業|-9 -14 -10|85 87 -7 -10|1.1 19|15 -22 -0 23 122
1201 味全|食品工業|-3 -0 7|74 82 -15 -18|1.5 5|5 -2 0 -5 22
1210 大成|食品工業|4 1 1|83 95 2 2|1.1 113|12 -9 -3 9 46
1215 卜蜂|食品工業|-3 2 -2|78 78 -18 -6|2.4 263|35 -20 -3 -16 45
1216 統一|食品工業|2 4 3|88 92 0 -2|1.8 1174|32 -2 10 -21 4
1218 泰山|食品工業|6 6 6|92 99 6 7|1.2 9|4 -1 0 -10 -11
1219 福壽|食品工業|1 -2 -2|82 87 -6 -7|0.9 7|6 -10 0 -45 46
1225 福懋油|食品工業|9 -2 1|62 87 -9 -3|0.5 6|1 -1 0 16 na
1227 佳格|食品工業|-5 6 6|82 90 -6 -8|1.5 28|6 -15 -2 8 17
1229 聯華|食品工業|-45 -12 -19|80 83 -10 -16|1.4 139|9 -15 0 12 50
1231 聯華食|食品工業|1 10 5|56 85 0 -11|1.2 27|3 5 -0 5 0
1232 大統益|食品工業|3 3 2|93 96 -4 1|1.8 13|2 -15 -0 17 21
1234 黑松|食品工業|-14 3 6|85 91 -7 -8|0.7 7|5 -10 0 -20 14
1256 鮮活果汁-KY|食品工業|56 67 35|100 100 31 55|2.5 24|5 2 0 33 20
1264 德麥|食品工業|11 7 8|86 92 -4 -8|1.7 8|2 1 0 na 119
1268 漢來美食|觀光餐旅|25 36 24|99 99 6 7|0.7 7|2 1 0 -13 -26
1301 台塑|塑膠工業|13 -6 7|92 92 -1 23|1.1 905|30 -9 -0 35 35
1303 南亞|塑膠工業|19 7 7|100 100 20 96|1.2 5598|34 10 -0 23 -40
1304 台聚|塑膠工業|13 -6 8|71 71 6 29|0.3 66|28 15 0 -7 -7
1305 華夏|塑膠工業|43 22 27|70 70 5 22|0.3 45|4 11 0 -11 -10
1307 三芳|塑膠工業|9 -3 -2|88 90 -5 -3|1.0 27|7 -9 3 -15 13
1308 亞聚|塑膠工業|16 -9 -6|70 70 -0 11|0.3 41|4 12 0 0 -5
1309 台達化|塑膠工業|-8 -20 8|61 61 31 54|0.4 96|3 -1 0 -16 -0
1312 國喬|塑膠工業|-5 9 -22|81 81 -6 17|0.9 69|4 -4 0 -12 5
1313 聯成|塑膠工業|6 -8 2|81 81 -4 17|0.4 35|6 6 0 -0 -8
1316 上曜|建材營造|115 112 -69|63 63 -23 -28|1.2 25|5 5 0 2 25
1319 東陽|汽車工業|-14 -26 -12|68 76 -11 -8|2.3 229|8 -11 0 6 30
1321 大洋|塑膠工業|11 -8 13|75 79 -16 -21|1.4 6|7 -2 0 -3 17
1325 恆大|塑膠工業|-13 -30 -15|65 75 -8 -18|1.2 9|1 -3 0 -6 15
1326 台化|塑膠工業|28 11 22|99 99 12 68|1.0 884|37 5 -0 14 15
1339 昭輝|汽車工業|-10 -21 -2|87 95 2 -1|3.7 6|1 -2 0 1 20
