# 2023-07-03 全池(1182 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|24 17 3|96 96 5 11|0.5 509|20 6 -6 1 -6
1102 亞泥|水泥工業|-10 -9 -6|99 100 3 8|0.9 199|18 6 -1 -4 -1
1103 嘉泥|水泥工業|39 28 9|93 93 15 24|0.7 19|5 -1 0 60 5
1104 環泥|水泥工業|25 17 -5|98 98 18 40|0.4 48|16 12 0 20 4
1108 幸福|水泥工業|45 30 -0|99 99 20 57|0.5 19|5 26 0 -34 -16
1201 味全|食品工業|6 9 6|95 95 1 6|1.8 10|10 -22 0 5 22
1210 大成|食品工業|13 8 -2|99 99 4 20|0.8 78|11 8 -0 14 -19
1215 卜蜂|食品工業|9 9 -2|93 93 11 19|0.6 106|39 -6 24 -58 12
1216 統一|食品工業|7 5 -4|97 97 6 16|0.8 477|40 -22 24 34 11
1217 愛之味|食品工業|3 8 5|98 98 12 20|5.0 19|9 -2 0 106 22
1218 泰山|食品工業|-3 -8 -12|60 86 -3 -13|0.5 74|2 -1 -0 29 -2
1219 福壽|食品工業|-1 -5 -13|96 96 1 16|1.7 11|4 11 0 57 -9
1227 佳格|食品工業|9 -2 8|92 96 1 4|0.8 50|7 -5 0 16 -18
1229 聯華|食品工業|9 7 2|100 100 23 40|1.7 59|11 27 1 11 -38
1231 聯華食|食品工業|-3 7 -5|99 99 5 28|1.1 14|3 -3 0 125 -20
1232 大統益|食品工業|1 -3 -21|94 99 3 7|1.9 10|1 3 0 200 -21
1234 黑松|食品工業|28 15 -2|97 97 14 25|2.8 21|6 2 0 273 12
1268 漢來美食|觀光餐旅|166 86 -24|86 86 18 24|0.7 58|3 -8 0 2 16
1301 台塑|塑膠工業|-34 -31 -7|89 95 -2 3|1.4 735|33 -11 -14 -18 -2
1303 南亞|塑膠工業|-31 -32 -4|93 93 -3 5|1.3 388|29 -18 -1 47 2
1304 台聚|塑膠工業|-26 -23 -5|89 89 -9 11|1.4 22|35 4 2 7 -19
1305 華夏|塑膠工業|-28 -33 -6|81 81 -10 -10|0.6 20|10 -10 -11 -19 -31
1307 三芳|塑膠工業|-4 -15 -39|96 96 22 23|1.2 34|12 5 0 47 -8
1308 亞聚|塑膠工業|-32 -22 -13|89 89 -7 -5|0.6 25|8 -11 -0 8 22
1309 台達化|塑膠工業|-24 -21 -1|78 87 -4 -9|1.0 9|3 25 -0 7 -16
1310 台苯|塑膠工業|-49 -28 -8|94 94 19 24|0.2 21|6 9 0 -0 0
1312 國喬|塑膠工業|-26 -18 2|92 92 -3 4|0.5 24|13 3 0 -2 -6
1313 聯成|塑膠工業|-18 -14 5|90 96 4 8|3.1 15|10 -4 0 5 -8
1316 上曜|建材營造|-84 -70 -185|58 88 -7 2|0.4 10|1 2 0 -6 4
1319 東陽|汽車工業|11 8 -6|97 97 19 34|0.6 308|23 -0 -0 10 -24
1326 台化|塑膠工業|-30 -26 -17|88 92 -2 -3|1.2 171|34 -6 -0 17 2
1339 昭輝|汽車工業|1 1 -4|95 95 1 13|1.0 5|2 -0 0 -17 -18
1340 勝悅-KY|塑膠工業|35 66 71|99 99 32 41|0.8 5|28 0 0 11 33
1342 八貫|其他|-6 -0 -10|76 76 -19 -2|0.2 46|44 -2 0 31 9
1402 遠東新|紡織纖維|-8 -6 -9|100 100 7 1|0.8 160|17 -1 -2 9 -23
1409 新纖|紡織纖維|-21 -26 -13|92 92 -5 -4|0.4 26|13 7 -27 3 -11
1417 嘉裕|紡織纖維|61 27 5|89 93 7 -1|1.2 8|4 10 0 1 -17
1419 新紡|紡織纖維|-2 -2 -18|94 94 5 8|0.6 6|2 3 0 43 39
1432 大魯閣|運動休閒|45 30 -58|84 84 14 57|0.5 21|0 1 0 na na
1434 福懋|紡織纖維|-20 -21 -17|99 99 -0 6|0.8 22|8 -12 0 9 -17
1437 勤益控|其他|0 3 -7|93 93 2 14|0.5 7|7 -4 0 -22 -42
1440 南紡|紡織纖維|-11 -7 -10|85 91 -2 -6|0.7 14|7 0 0 -15 -1
1442 名軒|建材營造|99 85 -338|84 86 -1 -12|0.6 18|4 -14 0 -12 -14
1444 力麗|紡織纖維|-27 -32 -18|93 99 9 9|2.5 30|6 2 0 11 -0
1445 大宇|紡織纖維|-7 7 -5|86 86 24 26|0.3 6|2 -4 0 24 61
1449 佳和|紡織纖維|-14 -10 0|94 94 46 46|1.2 14|1 1 0 16 15
1451 年興|紡織纖維|-24 -26 -14|81 93 -4 6|1.2 5|5 -0 0 2 -3
1467 南緯|紡織纖維|-31 -37 -15|89 97 5 10|4.7 16|20 1 0 3 -15
1471 首利|電子零組|40 6 13|100 100 88 93|2.8 28|2 1 0 -48 -19
1472 三洋實業|建材營造|78 101 -48|98 98 24 80|3.9 11|0 0 0 160 100
1476 儒鴻|紡織纖維|-25 -31 -23|99 99 6 8|1.0 444|41 5 -4 -40 -52
1477 聚陽|紡織纖維|-3 -1 -4|100 100 42 37|2.8 1810|33 -11 13 1003 87
1503 士電|電機機械|9 12 -2|98 98 92 158|0.4 1161|29 2 -1 8 -30
1504 東元|電機機械|6 6 -3|95 95 31 103|0.5 1265|18 -5 -0 18 -14
1506 正道|電機機械|-7 -5 -4|80 80 -11 6|0.6 5|0 -3 0 na na
1513 中興電|電機機械|32 12 -1|100 100 46 109|1.1 3375|16 2 -0 -7 -14
1514 亞力|電機機械|20 21 -12|100 100 66 115|0.9 1023|12 -1 -0 17 33
1515 力山|電機機械|12 -15 46|97 97 25 18|1.5 57|8 3 0 -9 -8
1519 華城|電機機械|-1 68 65|90 90 115 211|0.3 1967|11 -2 -1 28 41
1522 堤維西|汽車工業|7 -2 -11|100 100 25 43|1.3 272|12 5 0 43 -24
1524 耿鼎|汽車工業|10 -1 -16|83 90 -6 6|0.4 43|2 1 0 -0 10
1525 江申|汽車工業|37 35 -5|94 94 82 100|1.3 111|1 1 -0 6 28
1526 日馳|電機機械|-63 -53 -40|72 91 -2 -1|0.5 7|2 -3 0 -6 -8
1527 鑽全|電機機械|-50 -43 -13|92 92 -3 2|1.2 10|10 -6 0 -46 13
1528 恩德|電機機械|-2 -1 -9|100 100 62 76|3.2 141|2 -2 0 197 161
1529 樂事綠能|電機機械|630 381 245|93 93 48 113|0.5 358|1 -1 0 3 18
1532 勤美|電機機械|2 -16 14|99 99 4 29|1.1 30|12 7 0 8 -34
1533 車王電|汽車工業|113 74 40|98 98 33 35|2.3 263|6 1 0 24 14
1535 中宇|電機機械|31 19 9|100 100 15 28|0.6 7|2 -1 -9 18 -9
1536 和大|汽車工業|3 2 -9|76 96 0 2|1.1 82|11 -5 1 4 -17
1537 廣隆|電機機械|-8 -15 -62|99 99 -1 4|0.8 10|17 -20 0 -23 -5
1539 巨庭|電機機械|-34 -43 1|60 86 -10 -4|0.7 7|1 2 0 -8 1
1540 喬福|電機機械|33 0 -75|99 99 9 20|1.6 11|2 5 0 4 28
1558 伸興|電機機械|15 3 -11|85 89 -1 -6|0.8 7|7 -0 0 3 -19
1560 中砂|電機機械|-9 -8 -13|75 97 8 15|0.7 334|8 1 0 25 -3
1565 精華|生技醫療|-3 -8 2|86 86 -10 -3|0.8 36|23 -37 -0 14 49
1568 倉佑|汽車工業|-11 -11 2|86 94 10 17|0.5 22|2 -0 0 11 12
1580 新麥|電機機械|0 19 20|93 93 25 47|0.4 22|8 8 -1 1 -4
1582 信錦|電子零組|-21 -22 -3|87 96 0 3|1.0 7|8 -16 0 -7 3
1584 精剛|其他|71 68 1|90 90 27 73|0.6 236|3 3 0 5 -5
1589 永冠-KY|電機機械|9 29 11|81 81 -12 23|1.0 116|12 -4 -14 7 -57
1590 亞德客-KY|電機機械|5 11 7|84 84 -12 14|0.6 629|77 -6 -7 6 -28
1591 駿吉-KY|電機機械|-94 -93 na|97 97 34 112|1.9 50|20 5 0 39 56
1597 直得|電機機械|-38 -26 -8|86 86 -6 3|0.9 5|4 1 0 1 -0
1598 岱宇|運動休閒|13 4 21|78 78 -10 -7|2.0 18|6 -1 0 -2 16
1603 華電|電器電纜|61 22 -29|100 100 40 44|3.4 62|4 9 0 34 -14
1604 聲寶|電器電纜|3 -1 3|98 98 3 11|0.9 7|9 -1 0 15 1
1605 華新|電器電纜|0 2 -3|75 75 -10 -7|2.0 1943|19 -21 -2 46 87
1608 華榮|電器電纜|-18 -12 -3|96 96 60 67|0.6 121|2 4 0 -17 -13
1609 大亞|電器電纜|-13 -9 -0|95 95 49 89|0.6 1495|12 1 -0 42 3
1611 中電|電器電纜|-24 -20 -7|99 100 19 47|0.9 42|10 1 0 -17 -2
1612 宏泰|電器電纜|-2 -8 -4|96 96 36 61|0.5 112|12 -4 0 74 134
1616 億泰|電器電纜|14 9 -1|97 97 26 48|0.8 15|3 12 0 na na
1618 合機|電器電纜|-20 59 16|91 91 20 42|0.4 33|3 -4 0 -5 -14
1701 中化|生技醫療|1 2 -7|72 72 2 -15|1.1 29|11 -3 0 -3 -11
1702 南僑|食品工業|12 15 7|96 96 6 10|0.4 15|11 -19 3 -16 -15
1707 葡萄王|生技醫療|-8 -1 -6|93 93 -2 8|0.4 35|20 -20 4 4 -9
1708 東鹼|化學工業|-9 -14 -40|76 87 -8 -5|0.5 34|6 19 0 -7 -15
1709 和益|化學工業|-40 -4 -6|91 91 -2 10|0.2 15|4 -11 0 -23 26
1710 東聯|化學工業|5 -11 11|94 94 12 22|0.5 90|11 7 -0 47 -49
1711 永光|化學工業|-15 -20 -8|99 99 19 20|0.8 64|7 2 0 -6 -1
1712 興農|化學工業|-21 -22 -26|85 91 -5 5|0.6 19|13 -2 -0 -13 -0
1717 長興|化學工業|-18 -20 -7|93 93 3 5|0.4 36|14 -1 0 3 -33
1720 生達|生技醫療|2 14 -16|91 91 28 20|0.6 83|8 -8 -2 -4 12
1721 三晃|化學工業|-37 -40 -24|85 85 10 2|0.2 16|1 -1 0 -18 5
1722 台肥|化學工業|-4 -9 -5|95 98 8 14|0.6 61|12 -1 -2 -16 -36
1723 中碳|化學工業|-36 -24 -30|98 98 1 10|1.5 58|10 -18 25 -7 24
1727 中華化|化學工業|-20 -26 -19|83 83 40 39|0.4 83|3 0 0 -36 -3
1731 美吾華|生技醫療|29 27 24|94 94 23 25|0.8 11|3 4 0 6 -41
1733 五鼎|生技醫療|-35 -24 -19|98 98 15 15|0.8 15|5 -8 0 -1 3
1734 杏輝|生技醫療|3 13 -5|93 93 17 9|1.9 103|12 7 0 1 -18
1736 喬山|運動休閒|38 21 10|84 94 7 -5|1.9 46|8 8 0 11 -20
1737 臺鹽|食品工業|7 -9 2|100 100 5 9|2.1 9|8 -10 0 61 2
1742 台蠟|化學工業|97 -1 5|96 96 29 31|0.7 7|0 1 0 11 33
