# 2022-12-01 全池(932 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1777 生泰|生技醫療|113 103 80|94 94 7 23|0.3 6|1 6 0 -53 13
1783 和康生|生技醫療|-12 4 -9|80 98 8 21|0.8 11|8 15 0 -5 -8
1785 光洋科|其他電子|-41 -33 -22|66 79 -7 -21|0.8 63|9 -6 -0 13 10
1786 科妍|生技醫療|49 28 10|97 97 7 30|0.9 5|2 9 0 18 7
1789 神隆|生技醫療|-3 -5 -11|83 83 -13 5|0.7 15|5 -5 0 -6 -13
1795 美時|生技醫療|-4 78 64|100 100 60 83|1.1 4528|78 4 -1 -17 -58
1802 台玻|玻璃陶瓷|-14 -23 -10|95 95 38 20|0.8 281|12 26 -2 -7 0
1808 潤隆|建材營造|-96 -96 -35|100 100 8 14|0.9 11|2 -5 0 -2 9
1809 中釉|玻璃陶瓷|30 42 16|84 95 10 14|2.5 15|2 -1 0 4 24
1810 和成|玻璃陶瓷|-16 -6 -10|96 96 89 67|6.4 112|4 -0 0 29 1098
1815 富喬|電子零組|-10 -17 -13|78 84 -9 0|0.5 13|3 1 0 -4 1
1904 正隆|造紙工業|-3 -4 -7|80 96 1 -1|1.0 24|8 15 0 10 -9
1905 華紙|造紙工業|14 18 8|70 94 1 -2|1.2 11|4 12 0 -6 -8
1907 永豐餘|造紙工業|-5 3 7|81 98 15 10|0.7 69|16 27 0 -12 -7
1909 榮成|造紙工業|-11 -13 -17|70 98 5 1|1.0 39|11 13 3 -3 -16
2002 中鋼|鋼鐵工業|-25 -22 -32|81 96 0 -5|1.5 758|18 17 7 -28 4
2006 東和鋼鐵|鋼鐵工業|-14 -1 -12|71 81 -1 -23|0.6 67|11 -1 2 9 10
2007 燁興|鋼鐵工業|-18 -23 -27|47 75 -5 -23|1.0 6|1 11 0 -6 1
2009 第一銅|鋼鐵工業|-26 -22 -27|63 93 25 5|0.9 195|1 -1 0 -13 4
2010 春源|鋼鐵工業|-18 -14 -17|64 86 -0 -14|0.6 6|6 23 0 -1 -4
2013 中鋼構|鋼鐵工業|41 31 3|94 96 3 4|0.6 11|8 30 0 1 -18
2014 中鴻|鋼鐵工業|-46 -50 -49|55 86 0 -14|1.1 195|5 -1 1 2 1
2015 豐興|鋼鐵工業|-31 -18 -30|73 89 2 -12|1.7 15|11 -5 1 -24 4
2023 燁輝|鋼鐵工業|-15 -14 -24|63 86 2 -14|0.7 35|6 14 0 -0 -7
2027 大成鋼|鋼鐵工業|4 6 -20|78 98 7 7|0.8 377|17 12 1 -6 -10
2028 威致|鋼鐵工業|-37 -26 -33|61 90 0 -4|1.2 13|1 4 -0 5 2
2029 盛餘|鋼鐵工業|-44 -38 -41|65 90 -3 -10|0.8 7|69 21 -0 4 5
2030 彰源|鋼鐵工業|-28 -8 -32|62 88 -5 -10|0.7 42|3 -1 0 -6 7
2031 新光鋼|鋼鐵工業|35 30 9|57 92 8 -9|0.8 48|10 7 4 -18 -6
2032 新鋼|鋼鐵工業|-42 -11 -7|53 83 -1 -17|0.7 5|1 2 0 2 3
2034 允強|鋼鐵工業|-39 -27 -36|80 92 -5 3|0.5 29|8 1 0 2 -7
2038 海光|鋼鐵工業|-8 13 -7|58 88 -3 -9|1.1 11|2 4 0 -0 0
2049 上銀|電機機械|-12 -3 -14|64 77 1 -21|1.1 225|31 2 1 -6 4
2059 川湖|電子零組|23 21 -9|83 87 -5 -1|0.7 189|18 -6 -14 79 -10
2062 橋椿|居家生活|-41 -39 -32|79 84 -10 -11|0.6 5|10 9 0 4 -23
2066 世德|電機機械|33 40 17|88 88 2 22|0.4 22|12 -1 0 29 -5
2069 運錩|鋼鐵工業|-41 -28 -52|57 85 -9 -10|0.8 7|1 -2 0 9 6
2070 精湛|電機機械|86 34 30|95 95 12 7|1.7 6|1 0 0 159 8
2101 南港|橡膠工業|-17 -20 -9|73 88 -9 -9|0.8 20|7 13 0 -6 -4
2102 泰豐|橡膠工業|39 48 46|72 96 2 3|1.9 6|7 8 0 2 -5
2103 台橡|橡膠工業|-1 8 -2|70 94 -0 0|1.1 23|29 2 0 2 -6
2104 國際中橡|橡膠工業|34 23 2|75 95 4 5|1.4 35|12 11 0 8 -5
2105 正新|橡膠工業|1 11 13|87 87 -0 2|0.5 92|15 9 -4 -13 23
2106 建大|橡膠工業|8 17 6|84 84 -5 5|0.6 13|7 -6 -7 4 -5
2107 厚生|橡膠工業|-51 -37 -18|100 100 5 10|2.7 5|8 -4 0 78 5
2108 南帝|橡膠工業|-48 -49 0|48 80 -4 -21|1.6 31|9 3 3 -2 0
2201 裕隆|汽車工業|2 -2 1|100 100 61 57|4.4 1698|9 2 2 29 -6
2204 中華|汽車工業|19 -4 5|94 97 22 -0|3.6 153|24 -4 2 513 40
2206 三陽工業|汽車工業|37 43 22|87 87 3 18|0.9 97|14 -20 -4 24 -4
2207 和泰車|汽車工業|23 14 16|99 99 7 14|1.2 138|25 37 1 -83 -14
2208 台船|航運業|215 61 46|87 98 9 6|3.8 94|5 -2 0 3 27
2211 長榮鋼|鋼鐵工業|-34 -39 -52|86 86 -12 -6|0.1 8|5 -1 0 -4 8
2227 裕日車|汽車工業|14 -15 -2|87 92 2 -6|1.2 10|41 9 -10 na 15
2228 劍麟|汽車工業|26 39 24|96 96 11 32|0.5 28|9 19 0 -16 2
2230 泰茂|居家生活|4 12 23|79 79 -3 60|0.5 25|6 -5 0 -2 37
2231 為升|汽車工業|16 10 12|83 90 -2 13|0.6 83|8 0 -9 4 1
2233 宇隆|汽車工業|9 4 1|82 83 -7 -18|0.9 10|10 11 -9 -2 -3
2239 英利-KY|汽車工業|33 59 51|74 78 -16 14|0.4 6|76 -4 0 -5 2
2247 汎德永業|汽車工業|2 15 14|99 99 6 11|1.6 10|4 11 0 50 -9
2301 光寶科|電腦及週|2 8 0|95 95 -3 10|1.2 477|44 3 -16 102 43
2302 麗正|半導體業|42 30 22|99 99 9 10|0.9 21|4 7 0 32 -2
2303 聯電|半導體業|27 32 -3|71 98 14 -2|0.9 3024|33 22 2 -19 -21
2305 全友|電腦及週|3 20 28|83 83 -0 88|0.3 158|6 -0 0 -1 3
2308 台達電|電子零組|35 35 15|100 100 18 37|1.1 1854|67 19 -0 -7 -4
2312 金寶|其他電子|37 46 18|83 94 10 6|0.5 116|10 -4 0 -11 4
2313 華通|電子零組|31 25 -3|94 94 -0 4|0.9 791|30 6 -1 -14 -15
2314 台揚|通信網路|25 27 20|48 68 -15 -31|2.3 43|2 3 -0 -11 -44
2317 鴻海|其他電子|41 31 18|91 91 -5 -3|1.5 4297|42 -18 -4 31 18
2324 仁寶|電腦及週|-19 -16 -14|86 93 -5 -5|1.3 251|40 3 -5 13 2
2327 國巨*|電子零組|14 7 -8|74 96 14 -3|0.9 1626|42 5 4 -10 279
2328 廣宇|電子零組|6 -2 -18|92 95 5 -5|1.9 47|12 19 0 1 -13
2329 華泰|半導體業|-10 -6 -9|74 98 9 5|0.9 43|9 9 0 3 -5
2330 台積電|半導體業|56 50 9|74 95 3 -2|1.0 19583|71 13 0 -27 63
2331 精英|電腦及週|-23 -22 -40|85 85 -12 11|0.3 38|11 4 0 -8 -18
2332 友訊|通信網路|11 13 0|77 85 -11 1|0.9 18|9 11 0 1 -10
2337 旺宏|半導體業|-35 -29 -32|83 98 13 -3|0.9 323|25 17 2 -16 -12
2338 光罩|半導體業|21 25 -5|84 100 33 2|2.0 919|9 1 2 20 25
2340 台亞|半導體業|-36 -41 -23|51 83 4 -16|0.8 125|12 -2 0 4 -6
2342 茂矽|半導體業|4 2 -16|77 99 9 -1|4.8 38|6 -1 0 5 28
2344 華邦電|半導體業|-29 -22 -27|63 85 7 -16|1.2 338|25 3 -1 -1 -3
2345 智邦|通信網路|30 30 4|92 94 4 17|0.5 553|62 8 -2 -36 1
2347 聯強|電子通路|9 9 -4|81 100 8 3|1.3 309|31 -6 12 -2 22
2348 海悅|其他|-28 -10 -27|64 79 -11 -20|1.7 9|1 8 0 -8 7
2351 順德|半導體業|-3 1 -11|65 80 -2 -22|1.7 242|22 7 -2 4 -28
2352 佳世達|電腦及週|-0 2 -9|91 96 -1 7|0.7 115|16 20 0 -15 -15
2353 宏碁|電腦及週|-36 -21 -13|88 99 17 -1|0.7 282|32 15 5 -12 -9
2354 鴻準|其他電子|-26 -41 -24|80 96 8 -5|1.5 114|16 15 0 -1 -8
2355 敬鵬|電子零組|16 -2 -4|81 100 12 5|1.5 40|18 37 0 -6 -24
2356 英業達|電腦及週|5 -1 -13|94 94 6 -1|1.9 217|23 20 -13 81 11
2357 華碩|電腦及週|-10 1 -8|82 94 6 -4|1.6 791|42 -2 11 -24 3
2358 廷鑫|其他|-58 -59 -56|55 83 10 -17|0.3 33|2 0 0 -6 -8
2359 所羅門|其他電子|2 19 -16|78 78 -1 1|0.9 39|5 7 0 -6 -3
2360 致茂|其他電子|88 70 44|89 97 13 28|0.8 226|66 6 -1 23 -3
2363 矽統|半導體業|-66 -61 -41|75 84 -6 -12|1.7 31|4 0 0 4 -10
2364 倫飛|電腦及週|37 6 4|81 81 12 291|1.4 415|17 -0 0 24 0
2367 燿華|電子零組|30 62 29|81 81 -18 12|0.6 264|9 -7 -0 3 18
2368 金像電|電子零組|26 25 -2|98 98 10 16|0.7 1030|22 5 1 -31 1
2369 菱生|半導體業|-42 -38 -27|56 81 -3 -19|0.7 14|16 16 0 -7 -14
2371 大同|電機機械|98 23 14|86 88 -3 -10|0.8 198|15 -3 -0 -3 -0
2373 震旦行|其他電子|2 6 9|91 91 -5 -3|1.4 5|2 4 0 5 21
2374 佳能|光電業|36 36 -31|70 85 0 -1|0.9 13|6 2 0 -2 -4
2375 凱美|電子零組|-24 -28 -19|43 74 -17 -27|0.7 23|8 12 0 -4 5
2376 技嘉|電腦及週|-25 -27 -20|81 100 39 24|0.9 1019|16 2 5 -19 -4
2377 微星|電腦及週|-31 -32 -31|80 95 11 4|0.8 530|27 3 1 26 4
2379 瑞昱|半導體業|-10 -1 -17|62 84 10 -15|1.6 1584|49 -1 10 -10 13
2380 虹光|電腦及週|31 49 45|77 92 7 25|1.6 21|1 0 0 na na
2382 廣達|電腦及週|8 37 19|82 89 -9 -2|0.8 514|22 -2 1 2 14
2383 台光電|電子零組|-10 -9 -19|72 93 19 -9|1.1 521|40 8 3 -30 -10
2385 群光|電子零組|-1 7 -7|97 98 5 5|0.7 119|33 -7 -5 -7 16
2387 精元|電腦及週|9 17 11|87 98 9 19|0.9 33|7 21 0 9 -9
2388 威盛|半導體業|-15 37 7|81 81 -7 55|0.9 1757|10 -1 -0 4 18
2390 云辰|其他電子|15 2 2|60 79 -9 -20|1.0 16|2 1 0 -9 na
2392 正崴|電子零組|14 21 8|96 99 9 21|3.5 50|12 15 -7 55 -10
2393 億光|光電業|-23 -28 -11|72 95 -1 -3|4.4 17|24 -65 0 -1 -13
2395 研華|電腦及週|14 17 -3|83 92 4 -1|1.1 246|42 7 1 -46 13
2399 映泰|電腦及週|-21 -23 -28|57 92 2 -8|0.6 33|5 0 0 4 5
2401 凌陽|半導體業|-39 -35 -30|65 82 4 -19|0.6 43|13 21 0 -6 -19
2402 毅嘉|電子零組|43 42 29|99 99 14 27|1.0 79|12 -0 0 4 27
2404 漢唐|其他電子|128 143 79|98 99 14 6|0.8 96|22 23 0 -12 -31
2405 輔信|電腦及週|-26 -22 -22|64 82 -10 1|0.8 30|6 9 0 5 0
2406 國碩|光電業|-35 -16 -2|53 81 -9 -14|0.8 17|7 17 0 -4 -9
2408 南亞科|半導體業|-61 -59 -46|74 95 12 -1|1.0 660|16 8 1 -21 13
2409 友達|光電業|-43 -48 -26|70 84 -6 -8|0.6 704|25 -12 -2 10 93
2412 中華電|通信網路|2 4 2|87 87 -8 -7|1.3 1186|18 -4 -4 -35 16
2413 環科|電子零組|57 47 33|100 100 38 39|1.3 183|7 3 0 -10 26
2417 圓剛|電腦及週|-18 -16 5|64 96 -1 -3|3.7 9|1 -3 0 13 -3
2419 仲琦|通信網路|60 57 41|90 90 -3 42|1.6 73|4 -2 0 0 23
2421 建準|電子零組|25 11 3|100 100 20 26|1.3 99|23 12 -0 -4 -5
2425 承啟|電腦及週|-18 -11 -18|90 94 5 -3|0.8 33|16 -4 0 2 -7
2426 鼎元|光電業|-29 -30 -15|61 89 6 -8|0.8 8|8 18 0 -5 -11
2428 興勤|電子零組|7 4 2|78 84 -11 -6|0.7 35|14 -4 -3 -1 -18
2436 偉詮電|半導體業|-30 -33 -26|49 76 -4 -26|0.7 112|8 7 0 -10 -7
2439 美律|通信網路|15 27 24|92 96 1 15|0.7 96|13 9 -2 -2 -25
2441 超豐|半導體業|-42 -39 -33|69 78 -11 -21|1.1 66|12 5 -13 13 14
2442 新美齊|建材營造|21 -16 -353|96 100 9 8|2.8 5|1 4 0 2 3
2444 兆勁|通信網路|18 4 5|90 90 6 13|2.1 6|1 7 0 na na
2449 京元電子|半導體業|-1 -3 -22|83 86 1 -16|0.5 183|29 4 -2 -14 -21
2451 創見|半導體業|-23 -12 -5|99 100 5 5|1.2 22|9 15 -1 -33 -7
2454 聯發科|半導體業|-11 4 -18|68 92 18 -7|1.0 4981|62 10 5 -26 12
2455 全新|通信網路|-42 -47 -28|55 88 19 -12|2.3 235|30 3 5 -25 25
2457 飛宏|電子零組|12 24 1|80 98 12 6|3.6 149|5 0 0 16 8
2458 義隆|半導體業|-51 -48 -26|59 73 3 -27|0.5 227|26 4 0 -18 -3
2460 建通|電子零組|-39 -42 -17|57 86 14 -12|2.6 12|0 -1 0 -8 24
2464 盟立|其他電子|3 7 -4|90 94 -3 -0|1.0 6|5 1 0 -14 5
2465 麗臺|電腦及週|-65 -32 -10|47 98 29 7|0.8 123|2 -0 0 -2 14
2468 華經|資訊服務|39 32 21|93 93 69 134|0.8 252|1 -0 0 -8 -3
2472 立隆電|電子零組|-6 -8 -19|85 95 4 -5|0.9 13|2 4 0 1 1
2474 可成|其他電子|-2 -6 29|94 94 8 12|2.4 885|47 22 -11 13 -24
2476 鉅祥|電子零組|4 5 -4|64 82 -10 8|1.5 57|4 -1 -1 -8 1
2478 大毅|電子零組|-15 -23 -9|72 89 7 -11|0.9 5|6 14 0 -5 -7
2480 敦陽科|資訊服務|3 4 -7|91 93 3 -2|0.6 8|6 -7 0 2 2
2481 強茂|半導體業|-9 -14 -16|61 88 3 -12|1.9 177|12 1 -0 -4 -12
2482 連宇|其他電子|122 65 27|87 87 18 -2|3.3 70|5 -3 0 55 18
2483 百容|電子零組|-10 -12 -24|80 80 1 -3|0.4 8|2 -4 0 -7 -5
2484 希華|電子零組|-18 -13 -16|88 88 -6 -0|1.0 90|8 0 0 -6 5
2485 兆赫|通信網路|8 10 14|81 94 8 12|0.8 10|6 18 0 -3 -9
2486 一詮|光電業|-28 -26 -20|40 65 2 -36|5.4 44|2 -11 0 29 23
2489 瑞軒|光電業|-46 -41 -28|57 85 -5 -15|4.8 19|10 -8 0 5 -1
2492 華新科|電子零組|-14 -21 -6|51 88 2 -14|0.7 141|15 10 -0 -4 -10
2495 普安|電腦及週|57 44 19|99 100 28 35|1.2 82|22 6 0 1 6
2497 怡利電|汽車工業|33 64 12|69 89 1 -3|0.9 360|3 -0 -1 17 4
2498 宏達電|通信網路|-13 -17 -4|66 87 -4 24|1.3 1043|14 1 -0 4 3
2501 國建|建材營造|149 71 18|81 89 -8 -9|1.0 10|7 13 0 -9 -9
2504 國產|建材營造|2 1 2|83 98 2 4|0.6 42|15 18 1 -10 8
2511 太子|建材營造|-3 -25 -44|80 90 -8 -4|1.1 5|9 -6 0 4 0
2520 冠德|建材營造|54 37 37|79 88 4 -11|0.8 22|15 12 0 25 -2
2530 華建|建材營造|174226 67223 45525|95 95 16 28|1.0 23|2 10 0 2 9
2534 宏盛|建材營造|190 46 13|99 99 1 8|0.9 20|8 18 0 3 -10
2535 達欣工|建材營造|3 29 10|91 96 -1 -1|0.5 7|8 -14 0 -10 -19
2539 櫻花建|建材營造|-100 414687 171047|98 98 2 13|1.9 10|1 12 0 -3 29
2540 愛山林|建材營造|-42 -11 -8|77 77 -10 5|1.1 30|0 -10 0 12 89
2542 興富發|建材營造|-12 -45 -10|100 100 12 18|0.7 175|12 57 -2 -15 -21
2545 皇翔|建材營造|-34 1 -55|79 85 -3 -16|0.7 9|4 5 0 0 -21
2548 華固|建材營造|-38 -71 -2001|95 95 -4 3|0.7 31|19 -38 -1 2 10
2597 潤弘|建材營造|35 30 12|84 99 30 17|2.3 10|1 7 0 -1 -11
2603 長榮|航運業|-13 2 -66|51 58 -25 -42|0.6 4842|31 4 1 -7 36
2605 新興|航運業|-27 -15 -21|64 82 0 -14|1.3 68|38 10 0 7 0
2606 裕民|航運業|-24 -12 -31|74 94 30 -7|1.6 337|14 14 6 -12 -16
2607 榮運|航運業|22 138 -12|70 82 4 -13|0.6 106|8 2 0 -10 -13
2608 嘉里大榮|航運業|-8 -5 -5|70 87 -6 -3|0.6 7|5 25 0 -10 -5
2609 陽明|航運業|-29 -13 -62|62 67 -7 -34|0.9 2649|17 -1 0 1 8
2610 華航|航運業|-16 -3 -30|59 75 -16 -26|1.1 762|11 -7 -0 5 12
2611 志信|航運業|-40 -24 -37|63 79 -3 -21|2.1 11|3 5 0 18 5
2612 中航|航運業|7 12 -17|65 80 3 -22|0.5 18|3 19 0 -11 -8
2613 中櫃|航運業|-0 -4 -10|54 70 -8 -30|0.8 14|2 5 0 6 1
2614 東森|其他|1 2 -8|50 71 -4 -26|0.7 53|3 3 0 6 11
2615 萬海|航運業|-39 -27 -85|45 67 -2 -34|1.0 1198|43 3 -0 5 -16
