# 2025-06-02 全池(1074 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|9 33 -22|79 79 -20 -17|2.7 621|18 19 -25 -14 6
1102 亞泥|水泥工業|10 10 7|87 88 -5 -2|0.9 340|20 -34 26 -14 46
1104 環泥|水泥工業|2 3 1|81 97 -1 3|1.9 10|15 10 0 11 -2
1210 大成|食品工業|2 5 9|97 97 15 20|1.5 228|13 15 8 -18 -8
1215 卜蜂|食品工業|9 2 4|100 100 12 16|2.8 155|42 18 8 194 -18
1216 統一|食品工業|7 5 -4|88 91 -3 -9|1.5 1123|38 -3 10 54 169
1217 愛之味|食品工業|7 4 -2|85 92 -7 -5|0.7 7|8 -11 0 -4 34
1218 泰山|食品工業|-10 -5 4|90 93 5 0|0.8 26|4 3 0 6 -4
1219 福壽|食品工業|-1 6 13|79 90 2 -10|0.6 9|5 -0 0 -9 2
1220 台榮|食品工業|5 14 10|70 70 -20 -20|0.4 5|8 -6 0 -1 12
1227 佳格|食品工業|-3 5 4|79 88 -6 -11|1.1 28|7 -8 0 16 9
1229 聯華|食品工業|-2 -13 -2|63 76 -14 -24|1.0 49|10 -14 -1 -20 1
1231 聯華食|食品工業|16 7 -7|76 76 2 12|0.4 32|4 -8 0 -5 -4
1232 大統益|食品工業|2 2 6|99 99 7 12|1.1 23|3 15 0 -56 -1
1234 黑松|食品工業|20 -1 5|91 97 -0 -2|0.8 7|5 1 0 -35 13
1268 漢來美食|觀光餐旅|6 -7 -21|93 98 -1 2|0.9 6|1 -3 0 -41 -9
1301 台塑|塑膠工業|-3 6 4|49 78 -11 -23|0.8 399|27 7 -1 -1 -5
1303 南亞|塑膠工業|6 15 9|49 69 -14 -30|1.3 272|26 -12 -2 35 7
1305 華夏|塑膠工業|-9 -8 7|56 74 -21 -28|0.6 6|5 -4 0 -5 -6
1307 三芳|塑膠工業|1 17 8|70 70 -26 -6|0.5 54|17 -24 6 6 12
1308 亞聚|塑膠工業|-16 2 13|58 70 -20 -30|0.7 8|5 15 -25 6 -24
1312 國喬|塑膠工業|56 103 68|68 83 0 -9|0.4 29|7 -12 0 2 1
1316 上曜|建材營造|167 251 52|63 75 -6 0|0.2 114|3 -2 0 -23 9
1319 東陽|汽車工業|11 26 17|94 94 10 15|0.5 425|19 9 -10 -50 6
1321 大洋|塑膠工業|-18 -6 -5|83 95 2 10|0.7 6|7 13 0 6 -1
1325 恆大|塑膠工業|17 9 27|100 100 33 50|9.3 56|2 -0 0 78 7
1326 台化|塑膠工業|-22 -8 -8|40 66 -18 -34|0.8 208|32 -7 -2 16 -6
1342 八貫|其他|35 24 14|80 84 -13 -4|0.6 16|29 26 0 -37 -30
1402 遠東新|紡織纖維|-9 -4 -6|83 91 0 -8|2.7 664|21 23 -42 52 61
1409 新纖|紡織纖維|-13 -5 -13|71 79 -17 -21|2.7 20|13 -13 0 21 21
1414 東和|紡織纖維|-7 -2 9|74 74 -15 -17|0.8 6|1 -8 0 -7 4
1419 新紡|紡織纖維|-4 13 -16|84 84 61 50|3.3 65|1 0 0 166 46
1434 福懋|紡織纖維|4 10 6|67 78 -16 -22|1.2 16|7 -6 -0 8 3
1436 華友聯|建材營造|-82 1316 -1037|60 78 -18 -5|0.5 32|5 -9 -7 -5 7
1440 南紡|紡織纖維|-11 -1 4|71 86 -11 -12|1.8 37|7 -2 -0 14 15
1442 名軒|建材營造|-78 -10 -304|83 83 -14 -11|0.5 44|11 8 -16 14 3
1446 宏和|紡織纖維|68 -20 -2255|44 45 -41 -52|0.3 8|4 -8 0 4 -1
1463 強盛新|紡織纖維|-24 196 -99|68 68 -28 -15|0.3 8|11 -6 0 31 24
1464 得力|紡織纖維|7 41 9|69 69 -30 -14|0.4 11|6 -16 0 -16 9
1466 聚隆|紡織纖維|10 20 -0|91 91 30 24|0.8 22|2 -0 0 39 42
1472 三洋實業|建材營造|109 73 44|91 91 30 49|0.6 11|3 15 0 1 26
1473 台南|紡織纖維|14 12 2|54 78 -22 -18|0.5 6|6 6 0 -22 2
1476 儒鴻|紡織纖維|18 20 -2|71 73 -21 -23|1.0 448|36 -11 -4 29 1
1477 聚陽|紡織纖維|6 8 -2|60 71 -28 -14|0.9 458|21 -6 3 108 -25
1503 士電|電機機械|-13 -4 -11|57 84 -5 -13|1.4 1103|30 -2 0 29 48
1504 東元|電機機械|4 6 10|93 95 -3 -1|0.6 171|9 21 -10 -13 -22
1513 中興電|電機機械|14 10 -4|64 93 2 -6|0.6 904|12 3 1 -8 -25
1514 亞力|電機機械|2 4 9|66 89 -3 -7|0.5 506|11 -2 0 8 1
1515 力山|電機機械|-17 -40 -7|62 81 -18 -4|1.6 7|7 -8 0 -2 -0
1516 川飛|其他|-100 -92 na|79 100 28 25|2.0 6|1 0 0 -42 -25
1519 華城|電機機械|44 39 -9|44 67 -27 -20|0.8 1944|17 -4 -1 9 9
1522 堤維西|汽車工業|-17 -6 -5|63 68 -29 -28|0.3 41|5 -4 6 -4 2
1524 耿鼎|汽車工業|2 11 4|73 73 -12 -15|0.2 63|4 -4 -0 2 24
1527 鑽全|電機機械|5 6 -8|78 85 -15 -12|0.6 6|10 6 0 -9 3
1528 恩德|電機機械|-32 -23 -13|60 74 -24 -24|0.3 17|5 3 0 6 9
1529 樂事綠能|電機機械|78 163 105|75 99 18 15|1.0 57|2 0 0 -7 5
1532 勤美|電機機械|-53 -47 -31|51 76 -20 -23|0.5 21|9 -21 11 -7 21
1536 和大|汽車工業|-10 -11 0|67 67 -26 -6|0.5 322|8 -2 0 0 3
1537 廣隆|電機機械|-7 -3 -20|88 89 -8 -11|0.4 10|18 -15 0 -13 15
1540 喬福|電機機械|12 13 -4|60 74 -24 -24|0.3 15|3 6 0 -9 4
1560 中砂|電機機械|29 20 5|72 88 3 -8|0.7 704|22 4 4 0 15
1563 巧新|汽車工業|-9 -0 7|68 81 -16 -6|0.3 17|2 7 0 2 0
1565 精華|生技醫療|10 13 6|69 71 -13 -26|0.8 24|15 -30 -1 -4 10
1569 濱川|電腦及週|8 34 30|57 57 -43 -22|0.2 163|1 -2 0 5 27
1580 新麥|電機機械|15 26 15|92 92 -4 -2|0.5 7|6 -9 0 -43 10
1582 信錦|電子零組|-7 5 1|66 73 -25 -14|0.6 43|15 -12 -6 1 4
1584 精剛|其他|-15 6 -1|64 85 -0 -14|0.2 47|1 -4 -1 -0 -1
1590 亞德客-KY|電機機械|11 33 26|77 94 -0 16|0.9 768|77 12 -1 -7 -20
