key,WF,p5_geo
nofilt|grid|g_tp0.6_tr0.2_ab0.15_tdnone,0.0215,0.021500000000000075
role40|rgxtdx|ev_v2_thesis_inst_rgx_tdx,0.0214,0.021400000000000086
nofilt|grid|g_tp0.6_tr0.2_abnone_td50,0.0205,0.020499999999999963
role40|tdx|ev_v2_thesis_inst_tdx,0.0193,0.019300000000000095
nofilt|grid|g_tp0.6_tr0.2_abnone_tdnone,0.0192,0.019200000000000106
role20|grid|g_tp0.8_trnone_ab0.15_tdnone,0.0181,0.018100000000000005
nofilt|grid|g_tp0.6_trnone_abnone_td50,0.018,0.018000000000000016
role40|grid|g_tp0.6_tr0.2_ab0.15_tdnone,0.0173,0.017300000000000093
role40|rgx|ev_v2_thesis_inst_rgx,0.0172,0.017200000000000104
role20|grid|g_tp0.6_tr0.2_ab0.15_tdnone,0.0166,0.016599999999999948
role40|grid|g_tp0.4_tr0.3_abnone_td50,0.0164,0.01639999999999997
nofilt|grid|g_tp0.8_tr0.3_abnone_td50,0.0161,0.016100000000000003
role20|grid|g_tpnone_tr0.3_abnone_tdnone,0.0156,0.015600000000000058
role20|rgxtdx|ev_v2_thesis_inst_rgx_tdx,0.0148,0.014799999999999924
role20|rgx|ev_v2_thesis_inst_rgx,0.0146,0.014599999999999946
role40|grid|g_tp0.8_tr0.3_ab0.15_td50,0.0119,0.011900000000000022
role20|grid|g_tp0.8_tr0.3_ab0.15_td50,0.0115,0.011500000000000066
role20|grid|g_tp0.8_trnone_ab0.15_td50,0.0104,0.010399999999999965
role40|grid|g_tpnone_tr0.3_abnone_tdnone,0.0087,0.00869999999999993
nofilt|grid|g_tpnone_tr0.3_abnone_td50,0.008,0.008000000000000007
role20|grid|g_tp0.4_tr0.3_abnone_tdnone,0.0078,0.007800000000000029
role20|grid|g_tp0.4_trnone_abnone_td50,0.0063,0.006299999999999972
role20|grid|g_tp0.6_trnone_abnone_td50,0.0058,0.005800000000000027
nofilt|grid|g_tpnone_tr0.3_ab0.15_tdnone,0.0051,0.0051000000000001044
role40|grid|g_tpnone_tr0.3_ab0.15_tdnone,0.0036,0.0036000000000000476
nofilt|grid|g_tp0.4_tr0.3_abnone_tdnone,0.0033,0.0033000000000000806
nofilt|grid|g_tp0.6_trnone_ab0.15_tdnone,0.0032,0.0032000000000000917
nofilt|grid|g_tpnone_tr0.3_abnone_tdnone,0.003,0.0029999999999998916
nofilt|rgx|ev_v2_thesis_inst_rgx,-0.0025,-0.0024999999999999467
role20|grid|g_tp0.8_tr0.3_ab0.15_tdnone,-0.0029,-0.0029000000000000137
role40|grid|g_tp0.8_trnone_abnone_tdnone,-0.0033,-0.0032999999999999696
