"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",24.43,246.43,160.08,136.08,16.50,5.26,69.39,12.02,30.36,0.64,0.22,8.38,11.02,6.91,26.59,33.61,2.55,68.99,140.37,0.21
"1102","亞泥",25.69,1212.89,113.97,73.28,28.58,9.96,36.64,4.91,74.33,1.51,0.11,11.65,15.30,7.04,38.34,90.87,3.69,94.20,165.27,0.77
"1103","嘉泥",29.82,2794.41,186.30,179.17,606.49,6.47,56.41,23.34,15.63,3.84,0.12,4.81,6.19,1.71,19.35,34.21,1.80,0.21,67.87,0.00
"1104","環泥",30.67,454.60,153.09,100.38,7.40,3.76,97.07,4.81,75.88,0.93,0.17,2.89,3.65,-2.20,7.18,14.46,0.72,31.32,59.31,2.20
"1108","幸福",46.22,196.34,85.76,54.94,3.62,5.15,70.87,4.12,88.59,1.26,0.40,2.08,2.88,2.06,3.00,3.89,0.31,9.17,83.62,0.48
"1109","信大",9.40,330.45,974.68,847.17,1298.24,8.59,42.49,4.06,89.90,1.04,0.29,3.64,4.02,6.28,8.10,12.71,0.58,98.59,76.16,0.57
"1110","東泥",15.15,160.92,258.07,134.52,4367.31,5.72,63.81,3.05,119.67,0.36,0.19,2.79,3.23,2.29,5.30,14.06,0.47,27.12,77.54,-0.23
"1201","味全",56.22,116.90,105.16,64.63,7.65,8.02,45.51,8.65,42.19,2.21,1.08,5.14,10.56,11.83,8.94,4.13,0.89,40.21,166.01,8.50
"1203","味王",43.66,473.71,104.04,28.88,1.92,6.79,53.75,1.29,282.94,2.36,0.33,0.55,0.32,1.77,1.17,0.58,0.05,-4.53,291.93,-1.42
"1210","大成",36.60,478.83,153.32,86.91,17.81,8.40,43.45,8.75,41.71,8.68,1.38,9.73,15.30,13.88,29.48,6.09,2.80,15.46,51.52,0.55
"1213","大飲",26.22,325.27,232.34,213.47,5.30,4.17,87.52,17.72,20.59,3.73,0.85,0.88,0.96,-1.61,1.46,0.83,0.11,51.23,263.54,9.25
"1215","卜蜂",33.45,280.07,210.50,114.55,12.50,9.67,37.74,12.33,29.60,12.45,2.89,8.42,11.36,19.45,16.52,2.69,1.28,-3.73,74.27,-3.56
"1216","統一",33.68,829.85,108.04,59.33,18.90,8.93,40.87,9.55,38.21,4.20,0.52,13.03,20.06,4.67,31.00,23.94,3.10,53.11,121.50,3.06
"1217","愛之味",52.58,266.00,69.31,40.17,-1.51,7.36,49.59,4.11,88.80,2.39,0.56,-1.84,-6.47,-2.45,-8.46,-5.69,-0.63,3.65,37.11,1.49
"1218","泰山",53.07,248.10,175.14,99.84,1.46,5.96,61.24,6.55,55.72,2.83,0.80,1.64,1.64,5.54,1.31,0.84,0.17,4.44,22.44,0.00
"1219","福壽",36.22,242.26,312.18,202.95,10.43,8.18,44.62,7.47,48.86,4.83,1.45,3.57,4.92,8.90,8.64,2.22,0.63,-2.66,71.98,-1.23
"1220","台榮",29.38,266.17,230.21,153.23,36.88,3.99,91.47,6.91,52.82,4.10,1.09,-0.19,-2.00,0.26,-1.43,-1.31,-0.20,9.20,83.79,0.98
"1225","福懋油",54.60,265.47,109.72,76.77,4.19,6.73,54.23,12.66,28.83,8.34,1.79,5.71,9.63,13.75,13.99,2.31,1.13,0.00,28.31,0.00
"1227","佳格",25.15,430.83,205.22,93.65,56.89,5.94,61.44,3.52,103.69,5.87,1.11,6.42,8.37,26.40,16.71,5.66,1.20,57.19,202.41,5.53
"1229","聯華",13.87,896.22,153.15,76.46,114.73,5.81,62.82,4.69,77.82,1.55,0.16,8.53,9.77,2.30,21.62,49.96,2.09,64.82,84.95,1.37
"1231","聯華食",37.82,288.23,246.84,102.98,6.99,7.54,48.40,3.18,114.77,5.03,1.29,3.53,4.83,17.97,9.28,2.35,0.70,28.18,84.60,3.81
"1232","大統益",28.32,196.40,183.09,117.77,30.18,18.43,19.80,15.06,24.23,9.40,3.48,14.62,20.66,44.95,31.16,4.06,3.21,100.78,122.18,13.76
