"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",18.55,291.35,153.43,143.15,29.61,5.42,67.34,13.86,26.33,0.64,0.20,7.48,9.23,0.29,22.11,36.35,2.43,70.90,97.97,3.15
"1102","亞泥",28.57,1361.52,125.00,93.23,17.12,8.91,40.96,5.80,62.93,1.30,0.09,7.31,9.99,0.09,25.53,78.67,2.50,85.52,100.41,-0.89
"1103","嘉泥",34.79,839.36,219.43,205.87,360.61,5.58,65.41,15.54,23.48,0.75,0.08,1.83,2.20,-2.19,3.86,18.00,0.61,0.00,17.84,0.00
"1104","環泥",24.84,428.41,114.01,96.78,37.65,4.12,88.59,11.82,30.87,0.95,0.19,7.26,9.65,-1.91,19.41,38.30,1.99,42.83,70.90,1.26
"1108","幸福",47.34,178.12,78.32,55.79,-3.14,6.14,59.44,6.40,57.03,0.94,0.35,-1.88,-4.50,-4.44,-5.60,-6.89,-0.47,14.90,57.27,1.88
"1109","信大",8.57,310.66,1006.81,738.39,-444.58,7.61,47.96,2.47,147.77,0.67,0.19,-0.25,-0.27,-2.08,-0.42,-1.30,-0.04,16.04,78.70,-1.24
"1110","東泥",13.21,175.16,258.48,171.70,6062.89,4.21,86.69,3.09,118.12,0.31,0.15,0.54,0.61,1.06,0.99,3.48,0.09,26.23,111.42,0.25
"1201","味全",52.41,165.65,119.19,78.15,33.97,9.71,37.59,9.53,38.30,2.54,1.06,13.41,27.01,16.15,32.98,12.32,3.23,46.57,194.30,4.76
"1203","味王",19.10,540.89,195.68,114.61,96.67,7.32,49.86,4.69,77.82,2.46,0.36,2.21,2.73,2.68,6.08,5.96,0.49,55.17,149.19,1.53
"1210","大成",37.08,423.83,123.86,71.24,31.59,8.83,41.33,9.27,39.37,7.86,1.33,7.38,11.10,11.21,24.52,5.14,2.36,17.28,50.35,1.28
"1213","大飲",19.86,232.53,252.01,223.56,-26.29,5.15,70.87,18.39,19.84,2.51,0.86,-1.91,-2.44,1.27,-2.22,-2.29,-0.28,11.74,355.98,1.80
"1215","卜蜂",38.98,333.27,154.82,69.42,47.52,10.06,36.28,9.76,37.39,12.27,2.42,6.07,9.53,12.16,18.37,2.46,1.49,-7.23,39.77,-5.67
"1216","統一",32.72,1070.34,109.08,67.99,35.33,8.96,40.73,12.23,29.84,5.65,0.48,11.03,16.27,4.10,25.95,22.32,2.55,71.91,131.77,3.39
