"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",39.90,162.41,100.29,75.35,7.52,6.39,57.11,15.08,24.21,1.11,0.56,8.33,11.54,13.33,19.15,13.13,1.76,25.29,75.27,0.54
"1102","亞泥",36.06,440.76,116.28,90.44,7.73,3.78,96.56,9.53,38.30,1.95,0.37,10.17,14.59,23.90,30.84,24.33,2.73,76.63,97.37,5.18
"1103","嘉泥",50.30,450.67,173.87,134.12,1.84,4.61,79.18,6.96,52.44,1.48,0.25,4.01,3.85,8.42,6.09,7.59,0.54,8.65,39.77,0.32
"1108","幸福",43.76,145.95,94.01,71.80,3.67,3.78,96.56,10.78,33.86,1.12,0.53,1.89,1.34,12.21,9.69,1.43,0.19,44.51,86.42,7.16
"1109","信大",18.14,215.50,279.84,240.17,16480.45,4.03,90.57,5.54,65.88,0.98,0.38,8.50,10.04,15.61,18.58,22.22,1.40,91.85,126.91,4.98
"1110","東泥",20.11,662.58,652.17,537.94,4437.65,5.42,67.34,4.13,88.38,3.10,0.43,9.84,12.04,21.25,24.00,22.01,1.98,152.46,111.59,1.20
"1201","味全",44.01,144.56,135.37,73.31,1.83,7.45,48.99,6.12,59.63,1.15,0.64,1.85,1.42,6.45,2.90,1.04,0.22,25.61,102.21,4.74
"1203","味王",43.89,135.37,128.20,78.45,-4.58,7.35,49.66,5.91,61.76,1.10,0.63,-3.08,-6.15,6.67,-10.57,-5.69,-1.09,18.29,110.74,1.51
"1210","大成",42.08,317.84,158.43,96.99,518.42,8.26,44.19,8.18,44.62,5.59,1.26,6.26,8.64,11.75,11.89,3.79,1.04,5.06,94.64,1.59
"1213","大飲",24.02,245.98,222.69,184.30,2.27,7.29,50.06,13.67,26.71,3.62,1.12,2.98,3.00,0.37,2.46,2.01,0.44,15.91,204.86,3.22
"1215","卜蜂",39.93,192.83,142.57,86.19,3.54,7.40,49.32,18.51,19.72,7.15,2.32,5.72,7.16,16.53,9.73,1.82,0.96,16.66,11.61,4.55
"1216","統一",29.09,370.28,188.01,138.44,7.10,10.44,34.96,9.94,36.72,3.52,0.74,8.90,11.07,5.49,18.21,10.69,1.77,27.01,134.79,3.86
