"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",54.97,179.53,116.62,73.96,1.93,5.09,71.70,16.28,22.42,0.41,0.21,1.75,0.45,-1.10,0.86,0.95,0.05,-17.56,22.33,-1.19
"1102","亞泥",38.33,1352.49,122.57,98.85,1.61,2.43,150.20,6.20,58.87,3.03,0.19,1.38,0.90,0.80,1.74,3.03,0.15,2.47,142.20,"NA"
"1103","嘉泥",54.50,247.10,125.18,111.20,122.05,4.59,79.52,2.58,141.47,0.32,0.10,2.33,0.34,1.04,2.06,1.48,0.05,6.28,-8.61,1.16
"1104","環泥",42.55,140.06,83.94,47.56,0.00,3.15,115.87,4.44,82.20,0.59,0.22,-0.81,-2.58,-7.96,-4.19,-7.06,-0.47,20.13,182.79,2.40
"1108","幸福",50.20,156.30,54.20,41.94,-1.52,2.46,148.37,6.70,54.47,0.83,0.29,-1.92,-6.38,-8.65,-9.41,-11.40,-0.66,6.33,50.73,2.20
"1109","信大",12.06,233.68,339.23,290.04,"NA",2.44,149.59,3.91,93.35,0.47,0.17,0.51,0.58,-1.18,0.56,2.90,0.07,24.65,83.67,-0.12
"1110","東泥",27.16,137.24,121.39,68.71,-172.17,3.87,94.31,2.41,151.45,0.23,0.13,-0.64,-1.29,-0.88,-2.20,-7.37,-0.17,12.57,44.52,1.06
"1201","味全",69.90,99.25,75.41,58.59,0.00,7.15,51.04,8.34,43.76,1.87,0.72,-0.77,-10.25,4.66,-7.73,-4.27,-0.77,2.73,77.96,1.31
"1203","味王",66.75,261.20,74.67,32.22,-87.68,6.74,54.15,2.37,154.00,1.28,0.38,-2.42,-10.86,-0.23,-10.15,-9.91,-1.16,2.39,-20.56,0.80
"1213","大飲",18.00,278.60,235.64,201.29,6.64,5.27,69.25,14.60,25.00,3.08,0.90,1.03,1.07,-2.02,2.43,0.96,0.15,17.36,151.28,2.62
"1215","卜蜂",38.78,295.90,193.53,125.81,2.64,7.05,51.77,14.88,24.52,11.06,2.60,3.85,4.64,9.49,4.61,1.06,0.53,67.06,70.62,15.75
"1216","統一",41.41,441.37,154.70,105.61,3.07,9.51,38.38,10.22,35.71,2.26,0.47,5.49,7.23,0.48,9.08,9.04,0.90,32.41,40.62,0.13
"1217","愛之味",50.97,278.96,93.76,55.08,-0.43,5.59,65.29,3.11,117.36,1.70,0.44,-1.19,-6.01,2.66,-6.59,-6.92,-0.57,9.28,13.68,2.50
"1218","泰山",51.55,170.58,110.19,67.29,44.74,4.58,79.69,4.44,82.20,1.77,0.64,-0.56,-3.63,3.17,-1.84,-2.76,-0.36,28.73,49.65,6.39
"1219","福壽",33.62,196.94,220.27,144.33,2.84,6.07,60.13,6.01,60.73,2.58,0.96,1.37,1.24,2.70,2.24,0.86,0.14,28.57,87.60,4.51
"1220","台榮",26.73,153.71,184.92,120.40,53.08,4.51,80.93,7.83,46.61,1.23,0.65,-0.62,-2.33,1.09,-1.12,-2.69,-0.28,58.00,63.74,5.58
"1225","福懋油",36.99,182.21,106.72,69.66,0.06,6.92,52.74,8.83,41.33,2.98,1.03,-0.78,-2.85,3.26,-2.08,-1.75,-0.29,7.16,15.11,2.44
"1227","佳格",36.17,330.41,280.75,151.10,7.90,5.94,61.44,4.20,86.90,2.89,0.80,4.56,6.23,17.27,10.84,4.91,0.77,85.74,110.08,6.46
"1229","聯華",25.17,717.69,133.06,90.09,2.48,6.08,60.03,2.95,123.72,0.91,0.11,2.02,1.80,-0.28,2.43,11.72,0.25,4.49,15.25,"NA"
"1231","聯華食",39.69,397.00,179.65,74.66,4.26,6.06,60.23,3.33,109.60,3.83,0.71,4.33,5.19,9.24,9.42,4.68,0.74,8.30,88.04,-0.72
"1232","大統益",42.77,138.77,121.80,52.95,668.00,12.77,28.58,9.11,40.06,3.36,1.72,10.36,16.14,28.32,26.63,5.17,2.12,47.24,62.18,7.67
"1233","天仁",27.69,160.74,206.00,129.52,1962.77,5.91,61.75,2.57,142.02,1.92,0.86,5.25,7.07,11.80,11.17,5.80,0.81,62.17,166.13,8.44
"1234","黑松",34.06,323.60,190.82,156.25,224.46,7.59,48.08,9.99,36.53,1.16,0.32,2.24,3.35,6.97,6.73,6.83,0.48,102.00,66.36,3.20
