"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",24.35,259.00,161.92,141.46,22.64,5.46,66.84,9.65,37.82,0.59,0.20,7.53,9.82,2.56,22.96,35.52,2.26,66.18,101.40,0.29
"1102","亞泥",32.28,1251.82,100.91,85.26,17.94,9.07,40.24,4.42,82.57,1.35,0.09,7.95,11.27,3.68,27.20,76.34,2.64,44.68,121.87,0.12
"1103","嘉泥",32.47,759.42,149.67,138.63,529.16,6.14,59.44,15.81,23.08,0.79,0.09,1.92,2.54,0.28,4.41,18.30,0.72,0.00,37.75,0.00
"1104","環泥",27.85,466.96,122.42,81.83,14.91,4.51,80.93,6.75,54.07,1.05,0.19,4.33,5.81,0.14,12.19,21.21,1.15,43.19,75.45,2.44
"1108","幸福",45.86,168.96,76.86,53.95,3.75,6.10,59.83,4.31,84.68,0.88,0.35,1.80,2.46,3.85,3.92,3.73,0.26,21.94,61.24,3.67
"1109","信大",8.47,330.38,903.56,689.05,22083.86,7.22,50.55,2.47,147.77,0.76,0.22,1.64,1.80,2.97,3.67,7.61,0.26,136.05,98.44,2.35
"1110","東泥",13.58,175.27,284.87,197.02,5076.58,5.58,65.41,2.84,128.52,0.35,0.17,0.97,1.11,2.23,2.03,5.52,0.16,37.01,118.62,1.51
"1201","味全",50.61,133.19,134.86,94.64,34.30,9.33,39.12,9.13,39.97,2.47,1.15,6.54,13.17,15.73,13.67,5.50,1.35,74.14,242.98,12.09
"1203","味王",20.66,532.28,195.68,131.78,107.14,6.17,59.15,3.34,109.28,3.51,0.48,7.95,11.23,20.20,22.95,16.52,2.07,244.82,182.26,15.84
"1210","大成",33.33,459.47,147.11,84.87,34.20,8.47,43.09,10.31,35.40,8.47,1.42,8.46,12.59,21.56,30.17,5.67,2.63,45.66,122.04,6.62
"1213","大飲",19.91,231.19,251.18,229.18,32.29,4.90,74.48,19.96,18.28,2.36,0.82,1.63,2.02,2.85,3.37,1.95,0.23,36.69,347.00,5.54
"1215","卜蜂",35.67,296.37,189.27,89.08,43.98,9.38,38.91,10.99,33.21,12.07,2.76,5.99,9.51,14.80,16.45,2.12,1.17,31.34,114.85,5.08
"1216","統一",34.98,972.58,93.44,65.62,19.89,8.91,40.96,11.05,33.03,5.09,0.47,8.52,12.95,4.71,20.11,17.55,2.01,47.87,132.33,3.47
"1217","愛之味",41.50,379.12,204.83,124.36,5.37,7.31,49.93,3.37,108.30,2.24,0.50,2.69,3.54,3.49,6.54,4.06,0.36,45.32,38.60,5.21
"1218","泰山",49.36,265.99,254.38,173.71,439.00,6.93,52.66,6.91,52.82,3.23,0.99,3.81,6.61,3.64,7.99,3.32,0.76,96.17,29.63,14.03
"1219","福壽",35.65,259.63,357.17,240.96,24.18,9.47,38.54,6.46,56.50,5.94,1.65,4.66,7.09,9.57,12.87,2.69,0.91,114.20,59.41,14.50
"1220","台榮",26.99,303.93,268.80,213.65,-297.64,4.08,89.46,9.58,38.10,4.54,1.09,-1.89,-2.83,-0.46,-1.52,-1.90,-0.24,20.64,144.90,2.14
"1225","福懋油",48.25,328.37,253.75,169.44,11.22,8.18,44.62,10.17,35.88,8.06,1.99,4.23,7.91,16.00,14.16,1.97,0.94,99.48,70.98,18.92
"1227","佳格",20.23,577.99,240.21,137.70,209035.00,6.96,52.44,4.22,86.49,9.42,1.42,18.88,24.02,56.09,51.85,13.26,4.03,99.60,221.83,12.99
"1229","聯華",19.41,570.00,156.98,104.84,24.70,5.48,66.60,4.40,82.95,0.92,0.15,7.02,8.62,2.58,16.33,42.19,1.60,86.43,73.32,3.09
"1231","聯華食",43.45,358.80,252.63,116.16,1990.69,5.92,61.65,3.12,116.98,5.51,1.22,4.21,6.90,12.82,14.49,3.25,1.03,43.42,63.79,6.46
"1232","大統益",25.43,262.13,253.31,95.32,95.92,25.65,14.23,9.34,39.07,13.02,3.92,15.90,21.84,48.18,46.83,4.01,3.68,101.00,69.68,9.69
"1233","天仁",17.36,155.14,213.55,125.77,3323038.73,8.13,44.89,3.01,121.26,2.01,1.08,10.68,13.80,19.94,21.10,9.93,1.94,38.75,106.08,-1.27
"1234","黑松",12.48,456.22,316.68,246.65,1958.87,8.70,41.95,8.75,41.71,1.82,0.37,2.99,3.39,3.90,7.64,8.02,0.60,98.87,89.68,2.67
"1235","興泰",23.51,738.25,306.39,272.95,4.18,1.17,311.96,5.39,67.71,3.13,0.40,2.02,2.20,-2.60,3.36,4.02,0.33,35.18,100.55,6.12
"1236","宏亞",34.68,129.56,141.16,88.55,105.72,5.54,65.88,5.04,72.42,1.79,0.90,9.03,13.70,17.12,19.99,9.92,2.03,57.12,96.78,7.02
"1301","台塑",27.56,397.63,293.62,252.96,23.88,16.59,22.00,10.57,34.53,2.32,0.50,9.75,13.58,17.22,48.23,17.54,4.50,90.25,109.10,5.91
