"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",49.87,164.83,129.98,101.31,3.46,6.20,58.87,14.31,25.50,0.41,0.24,4.95,6.65,3.16,10.74,14.36,1.20,26.84,34.85,1.38
"1102","亞泥",34.34,825.06,133.07,107.28,6.77,2.22,164.41,6.13,59.54,2.21,0.22,7.15,9.70,7.43,19.67,27.50,1.83,26.25,148.92,2.08
"1103","嘉泥",56.48,255.60,164.90,140.50,97.43,2.36,154.66,1.99,183.41,0.38,0.12,1.99,0.16,5.99,0.20,0.60,0.02,0.00,16.74,0.00
"1104","環泥",26.30,312.77,227.68,136.73,4.42,4.59,79.52,4.45,82.02,1.25,0.37,4.37,4.95,3.87,6.40,9.86,0.69,72.28,152.01,3.68
"1108","幸福",44.08,175.99,92.74,71.77,1.58,2.42,150.82,6.50,56.15,1.04,0.39,1.36,0.58,5.58,1.84,0.83,0.07,16.57,81.62,3.73
"1109","信大",14.57,240.74,331.26,291.50,0.00,2.91,125.42,4.35,83.90,0.73,0.26,4.47,5.23,6.16,8.60,17.18,0.68,52.00,96.89,0.74
"1110","東泥",15.80,470.00,606.80,416.67,1558.83,4.02,90.79,2.39,152.71,1.17,0.21,1.89,2.10,4.83,4.00,8.47,0.31,169.40,65.30,3.21
"1201","味全",72.94,104.03,79.74,65.44,-5.26,8.08,45.17,8.40,43.45,1.92,0.67,-15.58,-52.73,5.76,-54.37,-26.60,-5.44,"NA",74.21,"NA"
"1203","味王",58.08,166.31,101.28,65.72,0.88,6.34,57.57,4.89,74.64,0.96,0.43,1.63,-0.48,-1.76,-0.65,-0.46,-0.07,2.90,9.98,0.56
"1215","卜蜂",41.58,273.12,188.75,123.21,3.32,6.74,54.15,10.77,33.89,9.76,2.32,3.71,4.41,18.05,8.91,1.05,0.55,54.81,40.98,14.93
"1216","統一",35.72,393.70,102.58,55.40,5.46,9.37,38.95,8.15,44.78,2.31,0.51,6.76,8.89,1.15,11.50,11.75,1.21,20.49,50.62,"NA"
"1217","愛之味",32.68,251.17,143.15,82.23,2.66,3.98,91.70,3.42,106.72,1.39,0.44,3.49,4.23,0.97,3.43,6.33,0.48,24.50,17.26,4.01
"1218","泰山",49.31,222.33,111.13,64.12,253.47,5.60,65.17,5.25,69.52,2.88,0.79,3.83,4.49,11.89,5.77,2.89,0.47,16.21,60.53,5.82
"1219","福壽",36.71,172.67,166.73,103.45,0.41,5.74,63.58,5.46,66.84,2.46,0.97,0.48,-0.88,0.96,-1.43,-0.57,-0.10,34.68,37.05,7.07
"1229","聯華",21.73,504.95,104.51,69.78,5.99,6.45,56.58,3.40,107.35,0.76,0.13,5.42,5.93,0.71,8.26,34.90,0.80,4.86,2.03,"NA"
"1231","聯華食",27.50,412.66,263.78,118.92,10.06,6.08,60.03,3.60,101.38,3.02,0.84,10.96,13.89,23.33,25.66,11.83,2.01,51.75,150.29,5.36
"1232","大統益",48.21,125.65,120.57,66.99,2.23,9.79,37.28,13.60,26.83,2.64,1.53,5.34,6.42,8.52,8.12,2.10,0.74,42.10,57.41,11.49
"1234","黑松",33.33,302.13,433.05,369.32,404.10,8.83,41.33,7.42,49.19,1.18,0.36,2.73,4.08,7.36,8.31,7.61,0.62,160.12,86.79,3.47
"1236","宏亞",49.92,115.94,119.65,82.66,2.36,6.65,54.88,7.21,50.62,1.41,0.88,6.05,8.47,18.25,10.02,4.64,1.00,51.40,150.60,11.20
"1301","台塑",45.70,223.72,171.58,95.87,3.20,20.30,17.98,3.91,93.35,0.75,0.29,7.62,11.52,14.78,17.67,19.31,2.28,46.28,49.63,3.05
"1303","南亞",48.78,233.82,132.16,73.28,2.98,6.13,59.54,3.78,96.56,1.32,0.45,7.69,13.28,18.27,23.74,12.67,2.64,50.09,68.77,7.87
"1304","台聚",20.44,931.31,348.08,288.23,9.42,15.40,23.70,8.72,41.85,4.01,0.38,7.44,8.74,5.64,13.05,17.40,1.13,66.52,74.99,4.14
"1305","華夏",45.03,190.66,239.38,172.73,2.60,4.97,73.44,9.10,40.10,1.78,0.66,2.91,3.82,-2.66,4.25,3.06,0.50,20.78,37.65,1.99
"1308","亞聚",9.87,576.52,684.05,541.65,152125.17,22.02,16.57,7.64,47.77,3.58,0.56,8.06,8.98,11.69,19.61,14.32,1.57,98.88,93.24,-0.37
"1309","台達化",18.41,208.55,411.34,273.08,330.30,7.52,48.53,7.37,49.52,1.89,0.82,4.45,5.56,4.33,8.79,4.90,0.81,-7.83,31.76,-0.58
"1312","國喬",44.57,244.37,203.98,169.39,226.15,7.11,51.33,12.85,28.40,1.53,0.55,4.11,4.53,11.69,6.31,4.50,0.48,68.91,70.39,5.98
"1313","聯成",37.25,811.41,561.45,438.89,2.84,5.28,69.12,4.73,77.16,2.26,0.25,8.40,16.74,3.46,11.03,20.64,1.18,73.87,231.51,3.01
"1314","中石化",63.81,125.26,50.50,37.57,27.76,8.65,42.19,9.18,39.76,0.34,0.22,0.43,-1.44,-3.58,-3.42,-2.48,-0.02,-0.19,28.08,-0.04
"1315","達新",28.54,258.61,198.84,143.94,9.29,5.36,68.09,4.32,84.49,2.12,0.60,7.28,9.15,3.59,12.90,11.15,1.28,23.70,72.84,"NA"
"1316","上曜",27.64,189.35,84.56,54.15,-2.28,6.38,57.21,6.36,57.38,1.62,0.62,-2.43,-4.81,-3.92,-5.28,-5.78,-0.53,21.52,16.64,5.53
"1319","東陽",41.93,163.35,102.80,80.67,2.28,3.71,98.38,11.69,31.22,1.65,0.71,2.02,1.73,6.87,3.43,1.50,0.23,42.67,34.29,6.50
"1323","永裕",27.09,175.65,222.01,170.51,5.88,4.89,74.64,8.55,42.69,1.70,0.80,4.60,5.32,9.12,7.33,4.91,0.67,69.39,134.68,6.75
"1326","台化",53.46,196.51,140.86,59.93,6.58,11.00,33.18,2.91,125.42,0.75,0.32,7.49,13.67,6.21,22.73,18.66,2.74,30.09,39.76,2.56
"1402","遠東新",45.40,302.40,106.20,48.40,4.60,9.40,38.82,5.40,67.59,1.00,0.30,4.50,6.60,1.70,11.20,11.20,1.16,14.30,60.30,0.60
"1410","南染",15.42,173.81,337.98,297.28,-339.96,4.23,86.28,13.26,27.52,0.88,0.47,-0.64,-0.76,-0.19,-1.97,-1.37,-0.10,111.51,64.89,4.94
"1414","東和",59.45,93.43,61.51,30.90,-0.71,7.31,49.93,4.90,74.48,0.61,0.44,-1.60,-9.28,-5.57,-8.98,-8.93,-0.89,3.54,35.41,1.00
