"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",52.44,169.58,56.77,49.64,2.65,5.23,69.78,18.45,19.78,0.50,0.25,1.59,0.62,1.24,1.19,1.17,0.02,-1.91,16.21,-0.40
"1102","亞泥",37.03,1581.36,135.99,108.59,3.40,2.82,129.43,6.93,52.66,3.75,0.20,2.88,3.40,3.52,6.49,10.43,0.57,32.50,156.47,2.36
"1103","嘉泥",51.27,368.33,178.29,168.48,209.75,6.64,54.96,4.93,74.03,0.57,0.14,3.30,3.75,2.67,6.62,13.85,0.70,25.69,67.11,3.09
"1104","環泥",41.67,157.87,131.61,77.01,1.93,3.88,94.07,5.07,71.99,0.46,0.22,0.97,0.93,3.22,1.88,2.48,0.18,25.94,172.30,1.96
"1108","幸福",49.94,198.95,72.32,54.75,1.44,2.82,129.43,7.03,51.92,1.30,0.38,2.25,1.71,3.57,1.67,2.24,0.17,9.32,57.47,2.74
"1109","信大",12.07,273.83,423.13,383.10,1672.16,3.81,95.80,5.20,70.19,0.69,0.24,6.75,7.67,4.62,11.13,28.33,0.99,0.00,68.87,-0.50
"1110","東泥",22.92,144.31,214.13,140.51,1626.38,4.78,76.35,3.19,114.42,0.29,0.17,3.49,4.44,3.70,5.92,20.10,0.60,62.62,68.10,3.23
"1201","味全",68.56,101.90,73.69,58.26,1.19,7.79,46.85,8.99,40.60,1.93,0.79,3.17,1.64,6.92,1.19,0.64,0.13,7.10,74.42,3.15
"1203","味王",67.03,122.59,76.18,33.30,1.61,6.54,55.81,1.58,231.01,0.90,0.30,2.02,2.74,3.83,2.74,3.01,0.28,4.82,-29.89,1.81
"1213","大飲",15.00,289.09,302.49,262.05,12.65,5.07,71.99,14.25,25.61,3.11,0.91,0.50,0.53,-0.07,1.39,0.49,0.07,35.03,142.01,3.81
