"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",44.66,190.84,167.75,147.25,8.47,6.33,57.66,19.31,18.90,0.61,0.30,5.18,8.76,7.26,16.56,15.84,1.59,43.29,78.90,1.72
"1102","亞泥",28.05,2609.92,179.39,139.84,20.20,7.29,50.06,5.74,63.58,4.97,0.17,11.05,15.12,7.37,31.01,61.87,2.97,95.61,185.06,3.91
"1103","嘉泥",34.03,3195.89,110.32,104.56,519.61,7.26,50.27,19.42,18.79,6.53,0.17,3.08,3.85,1.53,7.05,14.58,0.76,0.00,61.74,0.00
"1104","環泥",38.99,183.47,163.26,105.46,16.00,4.26,85.68,6.93,52.66,0.64,0.26,4.51,7.02,3.65,13.28,16.00,1.32,43.59,59.37,3.13
"1108","幸福",44.05,218.47,99.90,75.82,4.87,2.80,130.35,6.14,59.44,1.83,0.49,2.88,4.17,7.54,6.67,4.67,0.44,23.02,91.25,5.20
"1109","信大",9.83,290.33,870.06,776.02,1497.15,7.89,46.26,5.76,63.36,0.95,0.32,4.48,4.97,8.97,8.40,14.10,0.65,"NA",37.41,-1.44
"1110","東泥",18.60,147.38,197.33,107.56,3952.97,6.91,52.82,3.27,111.62,0.36,0.20,1.83,2.23,4.02,5.30,9.13,0.30,5.25,38.34,0.29
"1201","味全",67.36,122.05,101.91,72.42,-7.37,7.79,46.85,8.92,40.91,2.01,0.88,-7.74,-27.30,10.16,-19.02,-9.96,-1.90,50.50,112.69,11.77
"1203","味王",39.07,224.78,74.63,48.07,9.20,9.37,38.95,3.20,114.06,1.34,0.43,3.92,7.48,7.12,10.14,8.43,1.00,24.18,129.14,5.31
"1210","大成",47.41,252.36,120.00,75.00,2.30,8.66,42.14,9.87,36.98,7.29,1.82,2.00,2.55,4.34,2.76,0.74,0.34,0.00,0.00,0.00
