"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",43.28,137.50,125.40,88.83,5.84,5.49,66.48,11.83,30.85,0.57,0.33,4.85,6.92,4.49,12.74,11.88,1.18,54.23,55.47,3.46
"1102","亞泥",37.06,566.69,112.23,91.08,8.55,3.15,115.87,7.82,46.67,2.00,0.29,8.97,12.61,17.34,30.72,26.15,2.63,39.33,113.73,3.26
"1103","嘉泥",49.39,481.32,174.11,151.83,291.00,3.76,97.07,3.64,100.27,1.14,0.17,7.70,10.94,2.48,15.76,30.48,1.61,0.00,45.34,0.00
"1109","信大",16.03,223.10,341.47,297.85,85585.19,3.54,103.11,5.06,72.13,0.89,0.33,7.52,9.00,7.15,12.58,22.08,1.19,78.33,101.70,4.52
"1110","東泥",26.31,505.42,524.82,409.67,711.85,4.28,85.28,2.44,149.59,1.30,0.21,4.82,5.78,8.30,9.28,16.84,0.90,62.48,56.20,3.12
"1201","味全",47.47,121.08,121.70,76.03,0.79,7.96,45.85,6.83,53.44,1.32,0.68,0.89,-0.13,-0.68,-0.74,-0.10,-0.02,9.07,85.09,2.00
"1203","味王",46.12,189.32,137.88,97.11,2.39,6.09,59.93,5.74,63.59,1.24,0.50,1.64,2.03,1.23,2.88,2.20,0.35,11.74,84.50,1.98
"1215","卜蜂",46.01,256.71,165.20,111.71,2.83,6.68,54.64,12.64,28.88,8.17,2.20,4.84,6.05,13.64,9.11,1.47,0.79,14.16,20.31,5.65
"1216","統一",23.38,398.33,115.64,67.72,29.73,10.17,35.89,8.51,42.89,2.87,0.61,18.49,23.99,-1.44,35.42,29.77,3.58,30.08,91.25,3.61
"1220","台榮",16.40,290.92,397.98,303.53,978.95,4.49,81.29,5.66,64.49,2.98,0.86,4.54,5.08,8.29,7.61,4.34,0.70,74.30,166.06,8.78
