"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",22.50,158.65,112.53,84.87,21.27,8.21,44.46,15.41,23.69,1.57,0.81,15.73,20.15,36.48,41.50,18.46,3.68,86.93,103.21,6.83
"1102","亞泥",37.59,356.89,96.66,70.03,7.70,6.18,59.06,9.63,37.90,1.97,0.48,11.64,16.58,35.13,38.19,21.58,3.07,80.55,106.60,6.30
"1103","嘉泥",34.25,432.52,171.35,140.39,834.40,5.42,67.34,6.67,54.72,2.10,0.38,13.08,18.25,21.21,35.40,29.89,3.07,26.39,65.59,2.07
"1104","環泥",18.64,205.49,125.72,78.75,38.79,7.50,48.67,11.78,30.98,1.66,0.66,16.61,19.44,31.61,39.15,24.62,2.99,76.38,82.95,4.85
"1108","幸福",45.14,133.61,73.93,59.24,6.34,5.01,72.85,9.53,38.30,1.17,0.55,9.40,14.48,22.10,23.81,14.09,2.35,22.94,66.27,5.10
"1109","信大",14.04,223.65,313.83,282.94,11575.99,5.26,69.39,7.74,47.16,1.22,0.49,14.23,16.63,24.74,29.28,29.26,2.30,104.97,205.40,10.88
"1110","東泥",19.88,622.27,493.31,453.19,2309.83,6.74,54.15,8.59,42.50,3.73,0.55,11.37,14.33,25.25,28.52,19.39,2.41,119.96,148.45,4.95
"1201","味全",39.67,177.24,128.79,70.82,1.78,8.59,42.48,6.07,60.13,2.42,1.08,3.26,2.58,10.67,4.28,1.42,0.36,37.18,70.52,7.31
"1203","味王",41.34,154.46,93.37,60.81,4.49,8.53,42.80,5.85,62.39,2.43,0.96,6.10,7.59,15.53,14.08,4.63,1.08,22.98,94.55,4.05
"1210","大成",38.90,211.66,117.40,60.87,158.45,7.36,49.59,6.01,60.73,3.46,1.05,1.97,1.24,3.37,1.76,0.72,0.15,0.00,27.69,-5.43
"1213","大飲",36.26,253.53,145.67,127.07,4.72,8.42,43.35,12.10,30.16,4.66,1.17,4.46,5.73,6.19,9.08,3.03,0.79,17.59,133.94,8.08
"1215","卜蜂",51.67,141.00,93.16,49.68,2.11,7.84,46.56,13.24,27.57,4.68,1.75,3.57,4.14,11.06,6.35,1.12,0.55,-1.45,-8.23,-1.00
"1216","統一",37.98,314.99,91.60,58.13,7.02,11.10,32.88,10.74,33.99,3.73,0.96,12.30,18.48,13.81,29.11,11.35,2.75,9.09,144.89,1.86
"1217","愛之味",29.29,165.08,154.59,99.37,4.65,11.63,31.38,3.33,109.61,1.09,0.50,5.29,5.80,10.67,12.80,7.98,0.92,34.39,57.02,6.99
"1218","泰山",34.25,150.62,139.14,95.05,0.07,6.30,57.94,6.34,57.57,2.24,1.01,-0.42,-2.34,0.77,-2.81,-1.58,-0.48,-5.24,45.80,-2.00
"1219","福壽",30.28,165.51,152.79,85.71,2.96,8.00,45.62,5.86,62.28,2.80,1.22,3.73,4.06,4.25,4.86,2.20,0.47,16.53,90.62,3.30
"1220","台榮",28.97,166.49,139.93,75.23,3.44,4.97,73.44,5.02,72.71,1.92,0.85,4.09,4.40,5.39,5.85,3.61,0.55,18.52,61.79,4.62
"1225","福懋油",57.91,105.92,101.40,48.33,1.97,7.85,46.50,6.25,58.40,2.61,1.36,4.73,5.48,18.18,8.13,1.66,0.62,0.00,108.64,0.00
"1227","佳格",17.14,268.40,333.98,221.69,76076.17,8.79,41.52,5.81,62.82,4.95,1.85,26.70,33.60,72.02,70.25,14.45,5.40,118.28,110.22,21.92
"1229","聯華",14.91,286.28,125.55,72.36,-1.50,5.21,70.06,3.13,116.61,0.46,0.14,-0.60,-0.96,-3.29,-1.23,-5.76,-0.14,-34.33,17.61,-1.23
"1231","聯華食",47.51,120.43,138.93,61.39,4.13,6.49,56.24,4.26,85.68,2.01,1.15,8.19,12.17,41.66,30.26,5.47,2.37,21.42,53.81,5.08
"1232","大統益",34.81,142.55,152.08,64.27,7.04,12.77,28.58,13.75,26.55,4.34,2.13,8.79,11.53,26.05,19.60,3.52,1.44,17.40,131.96,3.49
"1235","興泰",56.98,141.96,113.09,68.89,0.00,5.59,65.29,9.59,38.06,3.65,1.42,-0.12,-3.24,7.30,-4.20,-1.00,-0.41,0.00,0.00,0.00
"1301","台塑",23.56,284.62,142.00,86.53,19.90,19.06,19.15,4.89,74.64,2.68,0.72,11.08,14.07,19.48,26.41,14.27,2.24,68.08,115.80,9.86
"1303","南亞",46.61,146.81,89.73,45.19,4.90,7.24,50.40,5.32,68.61,2.82,1.03,11.95,18.76,33.65,32.01,9.10,2.98,30.47,104.85,9.40
"1304","台聚",18.52,399.77,288.94,229.33,653.40,14.08,25.92,11.41,32.00,2.39,0.50,2.43,2.46,1.82,4.21,4.06,0.33,34.89,117.10,2.74
"1305","華夏",44.80,175.37,105.60,78.96,2.19,5.49,66.48,8.64,42.25,2.26,0.80,3.87,3.96,4.17,6.39,2.71,0.52,5.84,59.26,0.62
"1307","三芳",39.22,127.04,140.00,83.70,6.88,4.90,74.49,5.51,66.24,2.16,1.73,7.30,11.14,12.87,16.28,6.09,1.50,23.08,151.45,7.11
"1308","亞聚",9.29,386.65,331.05,252.52,147.00,15.02,24.30,10.95,33.33,2.51,0.68,4.93,5.44,4.57,11.87,7.18,0.95,170.19,130.20,1.37
"1309","台達化",21.68,195.70,152.50,49.62,2.73,8.74,41.76,4.25,85.88,1.80,0.74,1.30,1.10,2.28,1.90,1.17,0.16,46.38,33.33,5.14
"1310","台苯",20.00,174.85,336.39,255.86,1.42,15.44,23.64,10.37,35.20,1.51,0.79,2.04,0.76,1.49,0.86,0.77,0.09,165.93,63.07,10.36
"1312","國喬",8.95,324.23,474.47,298.49,1915.33,10.07,36.25,10.83,33.70,1.86,0.52,3.04,3.30,4.34,4.91,5.73,0.40,156.17,97.94,6.71
"1313","聯成",31.30,259.50,272.99,108.40,-0.30,7.90,46.20,3.60,101.40,1.60,0.60,-1.00,-3.40,-3.70,-4.60,-4.30,-0.46,63.80,62.90,4.50
"1314","中石化",31.27,135.63,503.15,388.77,7.76,19.69,18.54,5.62,64.95,0.51,25.96,0.89,1.07,-3.41,1.74,2.44,0.17,47.08,125.98,1.57
"1315","達新",29.72,157.34,135.47,83.83,11.81,5.12,71.29,4.09,89.24,1.74,0.78,6.74,9.87,8.77,15.94,8.53,1.59,6.11,51.39,2.27
"1316","上曜",22.98,165.94,209.13,178.40,18.72,5.04,72.42,8.38,43.56,2.12,0.93,9.92,12.66,15.29,19.36,10.46,1.87,45.93,64.65,12.18
"1319","東陽",50.88,121.41,100.55,70.45,615.74,5.07,71.99,10.45,34.93,2.00,1.11,11.29,20.76,28.31,35.17,8.73,3.02,43.74,81.74,16.32
"1326","台化",27.91,161.44,117.13,41.96,20.34,14.62,24.96,2.53,144.27,1.17,0.54,7.41,10.19,8.51,19.04,13.12,1.71,60.95,90.32,8.19
