"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",18.80,154.79,160.84,121.26,86.90,20.95,17.42,12.18,29.97,1.38,0.76,15.71,20.46,37.56,44.54,18.87,3.85,104.93,82.17,7.96
"1102","亞泥",36.22,263.01,46.69,29.95,11.43,9.14,39.93,6.85,53.28,1.81,0.43,13.91,19.36,32.63,45.30,30.06,3.72,52.87,103.03,7.89
"1103","嘉泥",34.02,304.57,115.97,97.78,743.71,11.50,31.74,5.88,62.07,1.72,0.40,11.93,15.36,26.85,37.83,24.51,3.01,40.91,69.10,5.41
"1104","環泥",24.56,208.18,88.84,48.69,17.84,9.51,38.38,9.40,38.83,1.70,0.62,15.85,19.60,37.38,38.90,22.71,2.93,67.39,60.96,6.31
"1108","幸福",39.47,141.07,99.92,86.92,8.22,7.33,49.80,9.70,37.63,1.34,0.58,11.70,16.60,34.78,33.81,16.61,2.72,37.46,119.36,9.42
"1109","信大",16.36,182.58,211.20,180.48,34664.79,6.78,53.83,5.92,61.66,1.16,0.53,16.70,20.13,41.24,42.87,29.53,3.17,104.88,168.95,15.64
"1201","味全",41.13,137.40,127.71,66.96,2.07,8.61,42.39,5.81,62.82,1.83,1.06,3.64,3.39,15.04,6.34,1.89,0.58,49.36,57.52,6.56
"1203","味王",41.58,159.83,107.62,68.61,3.12,10.92,33.42,6.33,57.66,2.79,1.11,5.42,6.40,13.58,11.62,3.24,0.88,8.14,104.00,2.91
"1210","大成",30.40,257.88,157.26,103.39,988.64,8.37,43.61,7.83,46.62,4.38,1.20,8.98,11.83,4.02,23.32,6.53,1.72,12.63,37.98,4.23
"1213","大飲",44.84,200.52,82.54,64.55,-808.55,9.44,38.67,11.94,30.57,3.82,1.08,-15.16,-28.92,4.39,-42.48,-17.26,-4.22,11.92,16.61,5.81
"1215","卜蜂",33.46,161.00,128.37,86.45,3.52,7.36,49.60,17.04,21.42,4.17,1.72,5.97,6.71,14.51,9.99,2.51,0.97,-0.79,3.74,-0.31
"1216","統一",57.32,260.24,78.13,47.47,4.25,10.85,33.64,10.14,36.00,3.48,0.97,12.01,22.07,27.02,33.73,8.77,2.85,58.89,158.19,15.21
"1217","愛之味",17.22,140.39,187.76,107.14,15.20,9.52,38.34,3.04,120.07,0.89,0.54,5.09,6.08,10.09,9.85,7.87,1.07,44.76,20.81,5.97
"1218","泰山",38.08,160.38,119.37,74.81,74.31,8.05,45.34,6.74,54.15,2.88,1.15,6.50,8.04,14.81,16.00,4.18,1.21,8.94,3.93,60.23
"1219","福壽",38.15,132.03,120.54,56.57,1.56,8.60,42.44,6.58,55.47,2.55,1.22,3.62,2.59,5.11,3.05,1.14,0.32,-2.93,36.50,-1.17
"1220","台榮",31.92,164.21,137.56,76.35,6.62,5.63,64.83,7.86,46.44,2.94,1.23,9.87,12.55,14.75,19.02,6.75,1.75,11.43,48.94,-0.25
"1225","福懋油",61.01,94.12,87.44,43.30,1.38,7.67,47.59,6.34,57.57,2.25,1.33,5.80,5.37,15.59,5.90,1.34,0.56,9.58,99.04,6.28
"1227","佳格",42.22,192.33,217.90,134.66,10.12,10.56,34.56,5.83,62.60,4.25,1.80,23.16,39.56,90.67,87.45,13.01,4.61,80.10,72.43,20.86
"1229","聯華",17.75,314.27,259.02,219.62,14.21,5.62,64.95,2.32,157.33,0.38,0.11,6.51,7.32,-3.82,12.77,55.35,1.15,19.41,31.30,-0.31
"1301","台塑",29.60,241.63,159.62,80.97,13.67,14.86,24.57,3.30,110.61,3.17,0.92,12.28,15.49,22.66,31.10,11.31,2.49,65.49,69.83,12.61
"1303","南亞",47.20,134.80,111.80,52.40,5.50,6.60,55.30,5.30,68.86,3.26,1.29,12.30,20.50,38.90,37.70,7.90,3.17,31.20,108.50,10.30
"1304","台聚",16.28,366.91,556.87,410.25,1157.65,16.17,22.57,11.60,31.46,2.24,0.56,6.62,7.92,11.43,14.97,11.62,1.21,193.35,53.69,12.37
