"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",10.44,301.43,195.70,171.96,386.06,5.25,69.52,15.20,24.01,0.74,0.21,7.69,8.99,1.71,23.59,35.84,2.33,142.86,99.07,0.86
"1102","亞泥",29.92,888.84,429.57,349.01,17.61,8.81,41.43,6.76,53.99,0.84,0.09,9.02,12.14,-0.66,32.31,92.16,3.19,242.67,91.80,0.35
"1103","嘉泥",35.00,845.06,96.32,89.97,283.28,3.74,97.59,6.33,57.66,0.35,0.03,1.09,1.01,-2.10,3.10,18.00,0.26,38.40,57.30,3.76
"1104","環泥",13.12,358.28,222.78,187.95,28.88,4.41,82.76,16.17,22.57,0.93,0.22,2.55,3.06,-0.78,7.03,11.72,0.65,42.80,56.60,-1.83
"1108","幸福",47.44,200.28,94.51,68.58,-1.80,6.19,58.96,7.28,50.13,1.19,0.41,-1.23,-3.42,-1.94,-4.10,-4.40,-0.35,5.22,58.39,0.76
"1109","信大",8.71,320.20,823.53,610.93,"*****",8.54,42.74,2.96,123.31,0.82,0.24,1.14,1.24,0.60,1.97,4.78,0.17,98.33,64.13,0.88
"1110","東泥",12.06,168.81,235.02,128.43,1789.91,4.11,88.80,2.81,129.89,0.30,0.15,0.26,0.29,1.10,0.37,1.62,0.04,37.27,102.66,0.98
"1201","味全",51.43,176.74,149.70,101.33,23.50,9.52,38.34,9.09,40.15,2.43,0.92,4.79,9.56,15.27,15.27,4.95,1.35,43.54,155.52,3.42
"1203","味王",23.36,518.73,161.05,77.02,52.00,7.38,49.45,3.50,104.28,2.52,0.38,0.81,1.00,3.19,3.31,2.10,0.17,2.19,132.40,-1.82
"1210","大成",37.91,405.06,104.73,63.10,23.87,9.15,39.89,9.46,38.58,7.82,1.32,6.65,10.27,9.58,22.42,4.64,2.22,10.72,45.87,0.00
"1213","大飲",21.85,206.21,241.83,209.07,9.13,5.05,72.27,15.47,23.59,2.07,0.82,0.36,0.38,0.03,0.84,0.35,0.05,15.34,246.85,2.17
"1215","卜蜂",46.23,254.31,114.70,56.10,9.46,9.09,40.15,8.41,43.40,10.10,2.01,1.98,3.18,2.66,6.85,0.90,0.59,-2.77,13.19,-4.46
"1216","統一",33.87,821.26,107.93,69.59,33.52,8.89,41.05,12.06,30.26,5.06,0.48,9.02,13.18,4.11,21.59,18.23,2.08,76.88,110.91,0.86
"1217","愛之味",44.24,703.45,177.62,127.58,1.04,6.65,54.88,3.33,109.60,2.89,0.35,1.02,0.22,0.80,0.08,0.34,0.02,29.82,37.61,3.29
"1218","泰山",49.67,293.81,201.85,118.21,4.58,6.32,57.75,7.33,49.79,3.90,1.02,3.19,5.23,-6.05,5.95,2.58,0.58,7.30,11.43,-0.25
"1219","福壽",37.36,259.93,279.87,153.50,34.91,8.69,42.00,6.87,53.12,5.98,1.71,9.47,14.27,-4.48,18.71,5.40,1.89,-30.67,-7.78,-6.93
"1220","台榮",32.64,235.11,254.20,175.39,2563.47,4.84,75.41,6.01,60.73,3.66,1.05,5.17,7.41,7.97,8.25,4.62,0.81,27.24,67.97,3.75
"1225","福懋油",49.16,377.07,234.06,149.77,3.26,8.84,41.28,13.68,26.68,9.89,2.19,1.51,2.00,5.36,3.03,0.44,0.24,21.07,81.92,3.32
