"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"2348","海悅",41.90,653407.53,36.69,31.92,0.72,3.66,99.72,"NA","NA",4270.02,0.48,-1.57,-7.71,-3.23,-1.29,-5.79,-0.99,11.06,111.49,3.98
"2349","錸德",36.68,190.19,114.47,88.51,-11.45,5.13,71.15,5.85,62.39,0.91,0.36,-16.84,-28.10,-4.22,-49.61,-49.83,-5.76,3.95,132.58,0.74
"2351","順德",55.22,183.85,119.38,73.66,16.49,4.62,79.00,5.13,71.15,2.85,0.91,9.59,19.69,33.34,38.05,8.97,3.06,26.27,64.45,7.69
"2352","佳世達",76.00,642.00,85.00,78.00,"NA",4.60,79.34,29.24,12.48,22.91,1.62,-32.00,-86.00,-17.00,-105.00,-21.00,-10.78,"NA",4.00,"NA"
"2353","宏碁",44.94,6740.43,133.90,121.16,53.37,4.37,83.52,33.29,10.96,208.97,1.77,7.90,14.62,28.83,50.38,4.29,4.45,-18.93,1.75,-21.69
"2354","鴻準",36.97,6689.34,106.24,86.19,1038.55,6.01,60.73,23.69,15.40,113.56,1.73,20.18,30.26,14.23,107.55,11.63,9.71,0.00,84.16,0.00
"2355","敬鵬",42.00,209.00,132.00,116.00,11.00,4.53,80.57,11.11,32.85,2.85,0.84,8.00,12.00,19.00,29.00,8.00,2.54,58.00,130.00,25.00
"2356","英業達",55.41,2026.57,144.24,141.08,44.41,6.27,58.21,141.68,2.57,139.37,3.07,7.28,17.37,21.67,27.46,2.39,2.45,10.35,47.80,7.13
"2357","華碩",55.72,1601.39,125.46,77.60,671.62,5.11,71.42,5.92,61.65,43.09,1.29,7.64,15.90,27.52,70.26,4.98,5.65,1.97,18.66,-0.02
"2358","廷鑫",43.18,64341.71,164.84,164.83,31.34,5.04,72.42,82263.87,0.00,1271.03,1.81,0.98,1.81,8.53,4.45,0.50,0.15,10.47,468.34,7.64
"2359","所羅門",41.23,1518.00,135.35,120.77,860.00,5.00,73.00,13.70,26.64,17.99,0.75,11.91,20.27,3.15,22.15,19.09,2.67,23.46,4.87,8.23
"2360","致茂",27.91,251.80,159.08,91.53,70.02,3.00,121.66,1.41,258.86,1.56,0.47,14.58,21.08,36.38,39.13,31.52,3.64,43.55,112.70,7.98
"2362","藍天",39.13,1253.48,185.50,176.60,2.45,5.29,68.99,78.01,4.67,12.41,0.86,3.52,3.51,-5.90,4.50,2.50,0.38,7.19,4.87,2.56
"2363","矽統",5.66,1245.33,503.70,362.69,16.68,5.04,72.42,4.44,82.20,5.40,0.40,0.87,0.94,-2.44,1.19,2.09,0.12,31.46,297.98,0.85
"2364","倫飛",46.81,427.29,125.81,105.15,-18.37,4.69,77.82,11.26,32.41,10.41,1.40,-16.50,-31.01,-12.15,-19.32,-14.00,-2.41,-22.56,-79.07,-16.05
