# 2024-03 月中(2024-03-11,上月月報甫公佈)全池量化快照(1266 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
3552 同致|其他電子|-12 33 18|78 83 -15 -5|1.0 25|15 10 0 -3 -9
3556 禾瑞亞|半導體業|-51 -5 7|84 84 -11 -14|2.5 10|5 -6 0 23 2
3557 嘉威|居家生活|13 13 15|89 95 -0 12|1.7 11|19 3 0 1 -12
3558 神準|通信網路|-44 -34 -29|62 79 -12 -20|0.6 83|1 -3 -0 -6 7
3563 牧德|光電業|-50 -54 -32|97 97 57 55|1.6 471|9 -2 -0 37 29
3564 其陽|通信網路|-4 -16 9|87 99 23 43|8.0 21|2 1 0 2504 269
3567 逸昌|半導體業|-11 7 -11|88 93 -3 -5|2.2 8|8 6 0 4 -22
3570 大塚|資訊服務|3 11 4|99 99 5 28|1.6 20|45 4 0 na na
3576 聯合再生|光電業|-69 -69 -26|55 78 -19 -22|1.5 67|13 -5 -1 -13 -3
3580 友威科|其他電子|-63 19 29|91 91 3 5|0.7 39|5 7 0 -22 -20
3581 博磊|半導體業|-9 -7 -1|89 90 14 5|1.4 27|8 -0 0 -5 58
3583 辛耘|半導體業|32 41 14|96 96 30 28|2.4 2284|12 3 -0 10 -31
3587 閎康|其他電子|1 9 -10|89 93 19 -9|1.5 593|10 1 -1 -21 2
3588 通嘉|半導體業|21 37 39|87 87 22 46|0.6 548|14 4 0 -14 -40
3591 艾笛森|光電業|17 24 11|93 95 4 6|1.0 28|6 8 0 -2 -0
3592 瑞鼎|半導體業|58 49 39|96 96 17 33|1.6 349|22 7 2 31 8
3594 磐儀|電腦及週|-30 -27 -17|66 76 -23 -17|1.8 9|1 -0 0 -7 -2
3596 智易|通信網路|14 15 4|90 90 4 6|0.8 295|31 -4 0 9 7
3605 宏致|電子零組|-15 -4 10|96 96 29 47|1.3 65|11 -2 0 17 81
3607 谷崧|電子零組|-37 4 4|87 87 19 23|0.7 70|7 -0 0 27 11
3611 鼎翰|電腦及週|-0 0 -3|90 94 1 -4|2.1 19|13 2 0 16 4
3615 安可|光電業|-7 11 11|81 81 2 14|0.3 47|3 2 0 -10 -12
3617 碩天|其他電子|19 7 2|74 74 5 -14|1.7 126|6 1 -0 -3 17
3622 洋華|光電業|20 90 62|82 82 43 30|0.4 178|6 -1 -1 -2 3
3623 富晶通|光電業|-31 -16 -17|66 66 -29 89|0.2 28|1 0 0 -16 -3
3624 光頡|電子零組|-28 -9 7|70 84 -7 -10|1.0 35|41 -2 -0 -2 4
3630 新鉅科|光電業|26 54 25|84 86 -3 -0|0.5 14|36 5 0 -7 -1
3645 達邁|電子零組|62 78 54|87 92 5 6|3.3 70|12 2 0 9 -0
3653 健策|電子零組|-14 -4 -2|96 96 46 47|1.5 1338|22 6 -4 12 39
3661 世芯-KY|半導體業|111 111 -21|85 85 16 53|1.0 7931|62 0 -4 12 -35
3663 鑫科|其他電子|-11 11 5|90 90 26 29|3.6 69|3 1 0 67 37
3664 安瑞-KY|通信網路|33 33 11|79 100 33 19|2.1 14|44 6 0 na na
3665 貿聯-KY|其他電子|-4 -4 2|77 87 -11 -5|1.1 299|45 3 -1 -0 11
3669 圓展|通信網路|13 10 18|99 99 11 41|7.3 16|4 3 0 13 10
3673 TPK-KY|光電業|-14 -7 17|75 89 -6 -4|1.7 66|34 -7 0 2 27
3675 德微|半導體業|7 12 25|83 87 2 -2|0.5 162|53 -2 -1 -4 22
3679 新至陞|電子零組|-11 39 28|90 90 3 19|1.1 19|9 2 0 54 -12
3680 家登|半導體業|2 13 -6|89 89 13 22|0.9 834|13 -1 5 -27 3
3687 歐買尬|數位雲端|4 8 8|85 91 -6 19|0.8 57|5 2 0 18 -3
3689 湧德|電子零組|-39 -13 -12|87 87 27 27|4.9 860|11 0 0 210 -5
3691 碩禾|光電業|101 146 152|98 100 39 41|2.1 59|5 5 0 12 17
3693 營邦|電腦及週|1 17 -38|67 68 -14 -33|1.1 457|2 -0 -0 -10 17
3694 海華|通信網路|-1 5 6|88 88 24 57|0.9 296|5 -2 0 -4 15
3701 大眾控|電腦及週|-13 12 -3|76 76 -9 5|2.7 124|4 4 0 -2 -21
3702 大聯大|電子通路|6 17 20|96 96 21 65|2.3 556|36 6 -1 41 27
3703 欣陸|建材營造|-20 -5 -8|96 100 2 7|2.8 33|24 -7 -2 16 -4
3704 合勤控|通信網路|-31 -31 -23|70 80 -16 -14|0.7 98|14 -11 -0 2 -1
3705 永信|生技醫療|13 20 19|99 99 0 8|1.4 11|11 11 -0 -10 -20
3706 神達|電腦及週|45 2 14|84 94 7 10|0.5 535|9 -1 0 -18 3
3707 漢磊|半導體業|-18 -17 3|69 80 -12 -19|5.4 94|9 0 -0 -8 3
3708 上緯投控|綠能環保|-20 1 18|91 91 8 20|1.8 317|9 0 -1 74 43
3709 鑫聯大投控|電腦及週|-3 13 5|73 73 0 12|0.5 6|2 2 0 -17 -23
3710 連展投控|電子零組|13 35 27|76 91 -9 0|1.6 10|2 1 0 na na
3711 日月光投控|半導體業|-1 -1 11|94 94 19 30|2.8 1840|78 5 2 138 58
3712 永崴投控|電腦及週|-7 48 6|85 85 9 29|0.9 335|5 1 -0 15 16
3714 富采|光電業|2 28 34|73 87 -10 -11|1.6 95|14 -1 0 -2 18
3715 定穎投控|電子零組|9 16 na|70 70 -21 19|0.8 928|12 -3 -7 8 12
4102 永日|生技醫療|-6 24 13|92 92 -1 20|1.1 24|6 10 0 20 -21
4104 佳醫|生技醫療|-5 5 -8|99 100 7 5|2.4 21|4 -5 0 10 9
4105 東洋|生技醫療|-19 14 5|94 94 -3 6|1.9 62|18 -17 -0 21 15
4107 邦特|生技醫療|-3 6 7|98 98 8 9|1.9 21|13 -11 0 51 -10
4108 懷特|生技醫療|12 42 13|85 87 -9 5|1.2 11|1 1 0 na na
4109 加捷生醫|生技醫療|170 74 44|92 92 56 67|1.7 47|2 1 0 -20 45
4113 聯上|建材營造|131204 118190 77063|96 96 26 64|1.3 45|3 -1 0 -10 -7
4114 健喬|生技醫療|-17 5 -11|86 90 -9 1|0.9 41|5 10 0 -6 -10
4116 明基醫|生技醫療|-7 3 2|86 88 -9 -0|0.6 8|2 -12 0 -16 -22
4119 旭富|生技醫療|-31 -10 -38|77 89 -3 -9|1.2 23|7 -10 0 -12 13
4121 優盛|生技醫療|13 2 12|75 95 -1 9|2.0 7|1 7 0 9 -23
4123 晟德|生技醫療|-23 41 -25|78 93 -2 -2|1.1 67|7 1 0 5 6
4126 太醫|生技醫療|-37 -17 -17|96 99 3 7|1.5 11|14 -9 0 0 -14
4128 中天|生技醫療|19 6 9|73 79 -11 -8|3.2 66|4 2 0 -8 -1
4129 聯合|生技醫療|3 22 -3|96 96 16 52|1.0 140|20 -5 1 -12 -4
4130 健亞|生技醫療|-11 13 -6|80 89 -10 -7|1.1 6|1 -4 0 -8 3
4133 亞諾法|生技醫療|-19 -4 2|84 85 -13 -0|0.4 8|12 6 0 -3 2
4137 麗豐-KY|生技醫療|-31 50 10|83 95 0 5|1.6 12|60 6 0 -1 -7
4138 曜亞|生技醫療|3 2 -21|88 100 18 25|1.8 14|2 3 0 -10 -14
4142 國光生|生技醫療|-82 -68 -120|63 78 -21 -13|0.9 28|7 -5 -0 -13 22
4147 中裕|生技醫療|147 61 32|73 83 13 -1|2.1 291|7 1 1 3 -4
4155 訊映|生技醫療|89 31 39|65 82 -5 -14|1.8 8|1 -8 0 -5 -3
4157 太景*-KY|生技醫療|114 102 -893|80 86 -9 -3|1.4 20|4 -4 0 24 -5
4161 聿新科|生技醫療|4 58 32|93 97 20 12|1.1 9|1 6 0 -4 -12
4162 智擎|生技醫療|-7 8 -17|81 81 -6 10|0.9 127|4 -10 -1 3 15
4163 鐿鈦|生技醫療|-5 -10 -8|85 93 -2 -0|1.5 13|3 -14 0 -16 26
4164 承業醫|生技醫療|-16 0 -35|82 90 -5 5|1.0 57|23 -2 -0 -4 -2
4167 松瑞藥|生技醫療|-13 21 25|77 77 -22 6|0.5 28|11 -1 0 -3 -4
4168 醣聯|生技醫療|na na na|74 86 -9 -7|2.4 5|5 -2 0 -10 5
4171 瑞基|農業科技|-27 -14 32|73 78 -14 -6|0.6 5|15 9 0 -8 -11
4174 浩鼎|生技醫療|6118 3290 na|66 76 -24 -22|0.9 33|10 -16 0 4 30
4175 杏一|生技醫療|3 5 1|58 88 -10 -9|1.2 5|1 -3 0 -7 -13
4188 安克|生技醫療|13 32 14|80 80 3 32|0.5 12|1 -7 0 na na
4207 環泰|食品工業|3 7 1|97 100 8 1|2.1 5|1 -1 0 3 -24
4303 信立|塑膠工業|-64 -26 22|79 79 150 160|1.0 180|2 0 0 171 134
4306 炎洲|塑膠工業|-25 18 20|96 96 5 19|4.2 25|8 3 0 18 5
4402 郡都開發|紡織纖維|-31 -48 3|89 89 59 76|1.9 21|2 4 0 na na
4420 光明|紡織纖維|-14 6 25|100 100 40 113|2.2 10|2 4 0 -10 50
4503 金雨|電機機械|22 101 33|78 93 12 15|1.4 84|3 2 0 10 -12
4513 福裕|電機機械|14 -10 4|100 100 29 24|3.7 16|1 -1 0 225 13
4526 東台|電機機械|-64 -20 -8|87 87 5 16|1.0 33|7 -0 0 63 16
4529 淳紳|其他|44 85 -1|73 73 44 63|0.9 15|17 0 0 -100 na
4532 瑞智|電機機械|1 23 17|90 99 16 18|1.9 42|15 17 0 9 -27
4533 協易機|電機機械|-51 -37 -46|66 82 -14 -16|3.1 30|2 -0 0 24 6
4534 慶騰|電機機械|-27 25 30|81 81 11 17|1.2 14|0 0 0 -88 na
4536 拓凱|運動休閒|-42 -27 -5|80 97 -2 11|3.6 45|15 6 -2 12 0
4540 全球傳動|電機機械|-34 -17 8|80 98 1 7|1.7 8|2 -2 0 32 21
4542 科嶠|電子零組|-21 -24 -20|82 82 0 -17|1.4 53|4 -0 0 2 24
4543 萬在|電機機械|-37 6 14|79 88 18 18|2.3 265|7 0 0 13 3
4549 桓達|電機機械|-26 -1 2|92 97 6 8|1.6 5|7 -2 0 11 2
4551 智伸科|汽車工業|-34 -17 4|70 76 -22 -22|1.1 27|50 1 -8 -16 -4
4552 力達-KY|電機機械|-52 21 10|83 83 -3 -7|1.0 9|45 -1 0 -3 -11
4556 旭然|其他|1 30 33|84 84 29 25|1.5 36|12 0 0 427 na
4557 永新-KY|汽車工業|-8 33 21|92 92 9 14|1.3 10|36 2 0 35 -7
4561 健椿|電機機械|-0 29 5|79 79 -12 20|1.8 15|2 -3 0 15 16
4563 百德|電機機械|-14 23 8|73 80 4 -19|1.2 25|3 11 0 -23 -35
4564 元翎|電機機械|-36 -41 -12|71 83 -7 -9|2.4 14|2 -3 0 0 5
4566 時碩工業|電機機械|-23 -5 9|73 93 -2 2|2.4 13|2 6 0 -4 -7
4571 鈞興-KY|電機機械|11 34 27|92 92 30 36|1.6 14|67 6 0 563 81
4572 駐龍|電機機械|27 28 2|84 90 -2 -10|1.1 34|4 -2 -1 3 49
4576 大銀微系統|電機機械|-26 -19 8|82 93 3 -0|1.1 8|1 3 0 12 -10
4583 台灣精銳|電機機械|2 -3 10|86 97 6 9|3.1 22|1 -0 0 1 18
4707 磐亞|化學工業|-46 -11 -0|97 97 7 9|4.4 11|1 1 0 17 15
4714 永捷|化學工業|-53 -21 18|84 84 63 80|1.0 200|4 1 0 122 -9
4720 德淵|化學工業|-23 10 13|91 91 3 9|0.9 20|9 10 0 17 9
4721 美琪瑪|化學工業|-14 -24 26|69 83 -16 -6|1.4 13|2 4 0 -18 -8
4726 永昕|生技醫療|-68 -41 -40|78 95 4 -1|1.6 21|21 -4 0 -12 6
4728 雙美|生技醫療|-6 33 1|72 96 0 7|1.7 9|15 8 0 -3 -18
4729 熒茂|光電業|-20 -24 -3|84 84 21 18|0.6 26|0 -0 0 -24 78
4736 泰博|生技醫療|-35 -35 12|74 80 -19 -15|1.3 24|10 -9 -1 -20 11
4737 華廣|生技醫療|-7 4 22|86 86 -10 -6|1.1 6|22 8 0 1 -15
4739 康普|化學工業|-36 -28 13|64 76 -21 -12|1.3 24|2 6 -0 -8 0
4743 合一|生技醫療|13 44 12|69 74 -14 -4|2.4 300|6 -5 0 7 10
4744 皇將|生技醫療|11 116 49|60 74 -13 -18|0.8 9|3 4 0 -12 -21
4746 台耀|生技醫療|-11 14 -2|85 85 -7 9|1.0 272|7 -7 -4 -1 30
4747 強生製藥|生技醫療|5 16 -9|68 79 -8 -21|1.3 21|1 -1 0 0 0
4755 三福化|化學工業|-4 12 15|93 96 16 7|2.0 162|30 -0 0 53 27
4763 材料*-KY|化學工業|103 179 17|74 74 11 -4|1.4 3150|54 -0 -0 11 -1
4766 南寶|化學工業|-19 14 16|93 93 15 33|1.5 233|18 -4 1 87 -19
4768 晶呈科技|化學工業|32 -8 14|89 98 9 30|3.5 156|4 1 -1 43 -17
4770 上品|化學工業|-45 -24 -10|91 91 15 35|2.2 467|12 7 -1 -2 17
4904 遠傳|通信網路|19 13 6|94 94 -6 10|0.8 342|19 -16 1 61 39
4906 正文|通信網路|-31 -15 -9|92 92 6 -2|3.4 191|18 -4 -0 13 25
4907 富宇|建材營造|77628 52144 -432925|87 87 18 19|1.8 6|0 3 0 17 1
4908 前鼎|通信網路|-11 67 41|91 91 21 84|0.6 1286|6 -2 0 -31 -40
4909 新復興|通信網路|297 198 125|100 100 136 157|0.7 740|3 1 0 -6 -8
4912 聯德控股-KY|電子零組|18 29 33|93 93 29 23|2.5 54|30 4 0 16 9
4915 致伸|電子零組|-29 -8 11|97 97 15 9|1.3 321|39 14 7 -36 -24
4916 事欣科|電腦及週|-1 1 -21|72 83 -8 -12|2.4 18|2 0 0 5 -8
4919 新唐|半導體業|-20 -5 8|82 84 -14 -2|1.0 222|6 -7 -2 -3 21
4927 泰鼎-KY|電子零組|-11 -8 4|63 73 -16 -24|4.4 32|15 -19 0 -2 16
4930 燦星網|電器電纜|2 22 20|98 98 25 46|2.4 9|6 5 0 6 31
4931 新盛力|電腦及週|-37 -30 7|62 87 -6 -13|1.2 11|2 6 -0 -3 -10
4933 友輝|光電業|7 54 19|88 88 0 29|0.6 43|9 13 0 -35 -33
4934 太極|光電業|-90 -87 -72|67 75 -7 -30|1.5 21|2 6 0 -8 -6
4935 茂林-KY|光電業|1 15 34|89 93 -4 -6|1.2 5|27 0 0 -5 -17
4938 和碩|電腦及週|-28 -22 -15|95 95 5 10|0.8 453|36 3 -2 -32 -24
4939 亞電|電子零組|-27 40 33|82 82 13 29|1.8 67|3 -2 0 2 46
4942 嘉彰|光電業|-28 -3 13|94 94 2 6|3.8 13|11 -4 0 8 -16
4945 陞達科技|半導體業|30 78 45|88 88 38 72|0.8 134|6 1 0 47 -46
4951 精拓科|半導體業|7 10 21|95 96 2 21|1.3 45|4 1 0 -9 -5
4952 凌通|半導體業|15 21 33|85 85 -10 -5|1.0 12|7 -9 0 -8 17
4953 緯致|資訊服務|10 19 7|86 95 7 25|1.2 297|6 -1 1 12 -2
4956 光鋐|光電業|-23 -11 -7|78 78 19 30|0.2 48|7 0 0 -30 -2
4958 臻鼎-KY|電子零組|-13 -7 7|91 92 -2 3|0.8 265|64 -3 1 -2 25
4960 誠美材|光電業|-12 1 -9|91 91 -1 10|0.6 85|13 -7 0 -9 20
4961 天鈺|半導體業|-28 -12 -1|86 86 -12 20|1.5 430|19 -2 2 9 59
4966 譜瑞-KY|半導體業|22 31 43|78 78 1 8|1.1 2183|55 -3 -1 39 105
4967 十銓|半導體業|56 120 -46|83 83 -8 17|0.5 201|4 -1 0 6 -6
4968 立積|半導體業|44 37 38|90 90 32 39|1.4 1819|24 3 0 -14 -23
4973 廣穎電通|半導體業|1 8 2|88 88 6 22|1.0 54|11 8 0 7 -21
4974 亞泰|電子零組|-34 -9 5|96 96 1 -1|2.0 15|7 1 0 -2 -15
4976 佳凌|光電業|-11 -3 15|74 86 -5 -8|0.7 17|1 1 0 -7 -1
4977 眾達-KY|通信網路|-84 -82 -28|60 84 -7 -12|1.3 93|19 -1 0 -3 -2
4979 華星光|通信網路|11 28 -74|79 84 -11 -4|0.8 1467|12 4 0 -18 -23
4994 傳奇|資訊服務|34 23 22|100 100 66 67|3.9 46|2 2 0 194 -10
4999 鑫禾|電子零組|5 0 7|91 92 -7 -4|1.3 5|3 -7 0 19 17
5007 三星|鋼鐵工業|-10 10 12|95 100 3 0|0.6 5|3 1 0 -59 -69
5009 榮剛|鋼鐵工業|-7 -0 -6|79 93 -3 2|0.9 218|11 -3 -5 -8 9
5011 久陽|鋼鐵工業|-28 10 19|90 90 7 18|1.0 11|2 -0 0 17 -4
5202 力新|資訊服務|81 34 30|91 91 45 55|2.5 43|1 1 0 21 68
5203 訊連|資訊服務|17 13 4|77 86 -8 -9|1.4 30|10 -17 -1 3 98
5209 新鼎|其他|62 93 8|96 100 5 13|1.9 27|2 13 0 na -9
5210 寶碩|資訊服務|42 17 26|61 61 -15 106|0.6 52|1 -2 0 na na
5211 蒙恬|資訊服務|13 21 7|73 89 7 6|0.9 5|8 -1 0 -9 1
5213 亞昕|建材營造|2298 956 -80|100 100 16 51|3.1 17|2 7 0 -16 -15
5215 科嘉-KY|電腦及週|7 44 21|75 75 -11 -5|1.1 9|26 3 0 0 -10
5222 全訊|半導體業|9 14 -9|80 92 -4 -9|0.7 53|4 -6 0 -1 17
5223 安力-KY|電腦及週|-22 -10 4|85 85 4 4|0.3 6|42 5 0 -1 33
5225 東科-KY|其他電子|31 34 38|100 100 76 95|2.1 224|60 -1 0 10 -25
5227 立凱-KY|電子零組|-33 -20 -68|54 72 -21 -18|2.7 11|12 -14 0 na na
5234 達興材料|光電業|-4 -0 -20|94 94 60 47|3.1 444|8 -0 0 142 184
5236 凌陽創新|半導體業|-28 8 -33|69 69 -13 3|0.8 98|8 -1 0 -52 2
5243 乙盛-KY|光電業|-8 -13 3|62 80 -10 -19|1.3 30|51 1 0 -0 8
5244 弘凱|光電業|-29 2 -0|91 91 38 65|0.9 26|5 7 0 -2 36
5251 天鉞電|光電業|30 -3 28|82 82 24 29|2.9 33|23 -1 0 -12 37
5258 虹堡|電腦及週|-8 -2 -9|84 84 -8 11|0.9 684|3 1 -0 3 -5
5263 智崴|文化創意|3 13 5|84 89 -8 0|1.4 37|14 5 0 11 2
5269 祥碩|半導體業|25 67 26|94 94 60 122|0.6 2789|25 2 5 -28 7
5272 笙科|半導體業|-14 37 36|92 92 4 46|1.4 175|3 -1 0 45 22
5274 信驊|半導體業|31 26 51|90 90 4 10|1.1 1234|49 -7 -6 51 23
5283 禾聯碩|電器電纜|-16 1 4|100 100 7 5|1.7 10|1 6 0 -12 -6
5284 jpp-KY|其他|16 1 -21|89 89 61 42|1.2 384|61 5 3 8 -45
5285 界霖|半導體業|-27 -12 5|72 75 -14 -25|1.2 9|2 -6 0 2 4
5287 數字|數位雲端|2 7 -3|99 99 3 2|1.3 11|22 -4 -3 71 40
5288 豐祥-KY|電機機械|-24 -3 5|93 97 2 4|1.3 8|61 2 0 5 -8
5289 宜鼎|電腦及週|-8 4 20|85 85 -9 7|1.4 264|29 -14 -8 6 175
5292 華懋|綠能環保|-17 -8 na|na na 2 na|1.4 34|1 4 0 na na
5299 杰力|半導體業|5 22 27|89 89 -7 -2|1.5 18|3 -0 0 -8 15
5302 太欣|半導體業|98 48 16|91 91 0 14|1.9 6|1 4 0 na na
5306 桂盟|運動休閒|-41 -13 17|96 97 18 7|2.6 89|16 10 1 49 -4
5309 系統電|電子零組|-0 1 8|75 94 -2 1|2.5 36|1 1 -1 5 -7
5310 天剛|資訊服務|-97 1231 895|95 95 68 33|8.6 5|0 0 0 na na
5312 寶島科|生技醫療|0 5 -10|99 99 17 21|3.1 9|10 1 0 -26 -12
5314 世紀*|其他|1275 17095 10888|87 87 354 465|1.4 37|3 2 0 4 -77
5315 光聯|光電業|-45 -39 -13|84 93 4 -1|0.9 7|6 -2 0 39 9
5321 美而快|數位雲端|11 -8 -12|66 66 -4 2|0.7 17|1 -1 0 -9 3
5328 華容|電子零組|-52 -29 -23|80 80 -18 -5|0.5 23|1 -0 0 -18 18
5340 建榮|電子零組|30 21 22|77 81 -2 -19|2.1 93|52 4 0 na -1
5347 世界|半導體業|24 13 29|79 86 -5 6|1.3 448|15 -15 1 -1 -1
5351 鈺創|半導體業|30 39 55|89 89 2 16|0.5 322|8 1 0 -9 4
5353 台林|通信網路|28 4 -3|74 96 2 -4|2.1 10|2 15 0 8 -26
5355 佳總|電子零組|-28 -12 -10|89 89 48 68|0.8 11|1 1 0 na na
5356 協益|電腦及週|-32 34 36|96 96 17 21|2.3 12|4 9 0 4 -13
5371 中光電|光電業|-12 -1 13|83 83 -4 -15|1.1 43|15 -14 -4 -6 21
5381 光譜|電機機械|816 867 402|94 94 25 24|0.4 76|3 2 0 na na
5383 金利|其他電子|-32 -23 -3|95 95 46 30|2.5 23|9 4 0 na na
5386 青雲|電腦及週|171 87 81|100 100 22 38|5.0 43|3 2 0 72 4
5388 中磊|通信網路|-1 -5 -1|91 91 4 5|2.3 575|35 -5 -0 21 -28
5392 能率|光電業|-5 10 13|91 91 -6 -4|1.5 16|4 5 0 -3 -24
5398 慕康生醫|其他|-63 -44 -20|96 96 50 54|1.2 5|3 4 0 -28 36
5403 中菲|資訊服務|-5 18 3|99 99 34 37|2.3 52|9 -4 0 20 142
5410 國眾|資訊服務|-44 -24 -7|96 98 5 3|0.9 8|3 7 0 1 1
5425 台半|半導體業|-13 -13 -5|69 81 -10 -10|0.8 184|12 -7 -1 -3 -4
5426 振發|電腦及週|-36 -22 11|85 85 111 177|0.6 434|1 -0 0 -17 35
5432 新門|綠能環保|-34 29 -0|97 97 77 187|0.7 155|1 -1 0 -18 9
5434 崇越|電子通路|-2 -7 1|100 100 15 20|2.6 155|25 5 -0 4 -1
5439 高技|電子零組|-15 -6 -38|73 73 -22 25|2.5 251|3 -4 1 26 44
5443 均豪|半導體業|27 52 72|87 87 67 57|1.4 278|6 2 0 111 1
5452 佶優|其他電子|-15 1 8|86 86 6 11|2.7 107|6 -0 0 30 12
5457 宣德|電子零組|-3 22 26|90 90 16 8|1.2 222|40 3 -0 -20 -16
5465 富驊|電腦及週|-10 14 -9|75 87 -7 15|5.3 51|1 2 0 2 -6
5469 瀚宇博|電子零組|-19 -6 2|84 84 -14 -10|0.9 184|14 3 0 -14 3
5471 松翰|半導體業|-8 20 25|87 87 -9 11|1.0 19|15 6 0 22 -28
5474 聰泰|電腦及週|1 26 26|75 90 20 19|2.2 124|1 -0 0 -23 4
5478 智冠|文化創意|14 -2 -2|75 75 -19 56|1.7 66|23 -2 1 8 13
5483 中美晶|半導體業|-4 4 6|100 100 18 35|1.9 709|20 5 -1 24 16
5487 通泰|半導體業|-4 3 21|95 95 21 26|2.0 6|0 0 0 27 -26
5488 松普|電子零組|-62 -28 -4|82 82 30 6|3.9 68|3 2 0 125 26
5490 同亨|電腦及週|51 171 157|93 93 16 18|0.7 12|3 -1 0 28 33
5498 凱崴|電子零組|-16 4 22|95 95 48 42|7.3 31|2 -1 0 145 60
5508 永信建|建材營造|454 674 321|100 100 15 49|1.7 66|4 10 0 -28 -3
5511 德昌|建材營造|-19 11 -16|92 100 9 9|2.1 37|3 4 0 37 1
5512 力麒|建材營造|-33 21 -13|88 96 2 8|0.9 31|8 4 0 -22 -22
5515 建國|建材營造|10 -3 13|100 100 32 40|2.1 25|7 5 0 48 47
5519 隆大|建材營造|1663 864 602|100 100 23 59|1.9 28|6 4 0 33 -8
5521 工信|建材營造|19 43 15|90 90 23 76|1.2 111|4 -6 0 20 17
5522 遠雄|建材營造|-81 1 33|90 90 -8 -1|0.8 22|6 -26 -3 -40 18
5530 龍巖|其他|-9 20 10|100 100 11 19|3.7 10|56 -2 0 16 -17
5533 皇鼎|建材營造|-95 14 -188|94 94 4 29|0.8 11|6 2 0 17 43
5534 長虹|建材營造|13 25 -362|100 100 4 9|1.3 30|11 -2 0 5 -5
5536 聖暉*|其他電子|-28 -0 9|94 94 9 26|2.1 114|21 5 2 -3 28
5604 中連|其他|3 -0 0|77 83 -7 -10|1.7 5|3 -293 0 564 3
5607 遠雄港|航運業|2 13 16|87 97 8 16|1.5 103|2 5 -0 3 -16
5608 四維航|航運業|2 -15 26|70 83 -17 5|0.6 42|3 6 0 -0 -8
5609 中菲行|航運業|-0 -5 31|100 100 8 14|1.1 33|18 -6 0 70 26
5706 鳳凰|觀光餐旅|258 93 -1381|52 78 -13 -7|0.9 23|1 1 0 -7 6
5864 致和證|金融業|-25 12 -63|58 91 2 -7|1.7 14|2 7 0 -1 4
5871 中租-KY|其他|10 8 -3|77 89 -4 0|1.0 807|67 -20 1 -1 12
5876 上海商銀|金融保險|8 4 -5|95 95 -3 5|0.9 128|56 -3 4 11 -5
5880 合庫金|金融保險|7 11 -7|93 96 -3 -1|1.1 195|18 -2 -0 -1 -1
5903 全家|居家生活|15 9 -1|87 93 -1 -8|0.8 10|51 -34 -2 -26 18
5904 寶雅|居家生活|29 8 -5|85 88 -7 4|1.2 142|27 -38 2 24 72
5905 南仁湖|觀光餐旅|10 -11 -21|84 91 -4 1|1.6 8|2 -4 0 6 -8
6005 群益證|金融保險|35 49 -28|100 100 17 23|3.0 87|18 12 -0 180 -26
6015 宏遠證|金融業|45 186 85|91 100 14 11|3.9 12|3 1 0 25 47
6016 康和證|金融業|68 75 268|100 100 25 19|4.3 58|5 12 0 35 -39
6023 元大期貨|金融業|-31 5 13|99 99 16 17|1.8 8|1 4 0 29 -27
6024 群益期|金融保險|-13 4 16|97 97 10 19|1.8 16|4 13 -0 113 -21
6026 福邦證|金融業|110 226 -477|100 100 13 17|2.3 27|5 10 0 37 -26
6101 寬魚國際|文化創意|-17 1878 -110687|87 99 -1 18|1.3 10|1 5 0 na na
6104 創惟|半導體業|-3 27 22|79 79 -15 -7|1.0 351|10 1 0 -6 -24
6108 競國|電子零組|-9 -1 8|93 93 2 21|1.4 32|8 12 0 3 -1
6109 亞元|通信網路|-47 -34 -5|85 94 11 2|5.7 7|4 -1 0 -3 2
6111 光聚晶電|文化創意|250 221 113|81 92 -0 9|0.5 64|11 2 0 -5 -3
6112 邁達特|資訊服務|12 12 -3|85 86 -6 3|0.5 130|1 -7 0 -3 32
6113 亞矽|電子通路|-58 -45 -9|77 77 118 146|0.3 171|3 0 0 -2 -5
6115 鎰勝|電子零組|-29 6 13|97 97 8 10|1.8 15|5 6 0 2131 23
6116 彩晶|光電業|-1 2 17|77 89 -6 -9|0.9 95|8 -16 -1 8 18
6117 迎廣|電腦及週|63 57 42|90 90 1 105|1.9 242|4 1 0 29 -34
6118 建達|電子通路|-1 -5 4|63 85 -10 -12|1.1 8|1 4 0 -9 -17
6120 達運|光電業|46 79 20|87 95 19 17|0.9 99|7 8 0 -11 -21
6121 新普|電腦及週|-20 -8 2|96 96 16 51|2.3 431|41 -8 18 102 90
6122 擎邦|電機機械|-24 34 -85|87 87 4 15|1.0 216|4 2 0 22 -25
6124 業強|電子零組|-62 -24 -10|73 92 9 10|1.0 14|49 1 0 -5 25
6125 廣運|電機機械|-66 -50 -44|77 87 26 1|2.9 2356|3 1 -0 18 -9
6126 信音|電子零組|-14 2 9|85 85 17 13|2.0 542|4 -2 0 48 42
6127 九豪|電子零組|-2 18 2|89 89 -3 19|2.0 32|3 2 0 17 -27
6128 上福|電腦及週|7 4 9|97 98 1 3|1.7 5|4 3 0 10 -27
6129 普誠|半導體業|-50 -25 -4|72 84 -11 -10|0.8 26|1 1 0 -15 1
6133 金橋|電子零組|-22 -16 11|60 86 -8 -3|1.1 6|1 4 0 -12 -100
