# 2024-03 月中(2024-03-11,上月月報甫公佈)全池量化快照(1266 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2816 旺旺保|金融保險|16 14 -6|89 89 -3 3|1.2 33|2 5 0 8 2
2820 華票|金融保險|-25 -4 -112|99 99 1 2|1.5 11|6 -13 0 10 -11
2832 台產|金融保險|12 13 -1|100 100 11 18|1.4 7|4 -7 0 30 5
2834 臺企銀|金融保險|-6 4 -6|100 100 8 9|2.7 201|18 12 -0 70 -21
2836 高雄銀|金融保險|10 5 3|94 95 -3 -4|6.1 23|7 5 0 215 20
2838 聯邦銀|金融保險|7 5 -10|93 100 6 6|1.6 22|3 -14 -0 155 -3
2845 遠東銀|金融保險|9 2 -9|100 100 17 23|5.0 42|10 3 -0 -1 -24
2850 新產|金融保險|7 8 2|100 100 6 21|1.7 23|11 27 -0 252 -20
2851 中再保|金融保險|21 11 2|96 99 3 3|3.2 21|3 5 0 16 42
2852 第一保|金融保險|9 11 4|100 100 7 17|2.9 6|4 6 0 28 18
2855 統一證|金融保險|163 120 55|100 100 25 23|5.4 50|10 20 0 138 -12
2880 華南金|金融保險|4 16 5|98 98 0 7|1.4 155|18 1 -0 16 -8
2881 富邦金|金融保險|245 189 125|100 100 8 13|1.3 794|19 12 -0 15 -15
2882 國泰金|金融保險|187 92 26|97 98 1 1|1.7 762|20 -3 0 4 -5
2883 凱基金|金融保險|229 533 428|100 100 9 13|2.6 361|23 7 -0 1 -14
2884 玉山金|金融保險|27 16 -9|98 98 0 5|1.3 539|31 -11 -1 14 4
2885 元大金|金融保險|18 22 7|100 100 8 16|1.4 391|27 2 3 218 12
2886 兆豐金|金融保險|20 25 -16|100 100 3 11|1.4 449|22 8 1 -51 -4
2887 台新新光金|金融保險|7 13 5|97 97 -1 0|1.3 235|24 -12 -0 0 -0
2889 國票金|金融保險|-2 38 6|92 100 9 8|1.7 48|10 8 0 76 -9
2890 永豐金|金融保險|17 27 8|100 100 6 17|0.8 260|27 7 2 32 -4
2891 中信金|金融保險|97 245 128|100 100 13 28|1.1 1041|40 4 5 -17 -8
