# 2023-08 月中(2023-08-11,上月月報甫公佈)全池量化快照(1150 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-11 3 -8|95 95 0 2|0.8 608|21 -5 -0 -2 26
1102 亞泥|水泥工業|-14 -12 -5|94 94 -5 0|0.7 297|16 -23 11 6 14
1103 嘉泥|水泥工業|49 47 19|88 88 3 11|0.5 13|5 9 0 -23 -25
1104 環泥|水泥工業|10 13 -5|95 95 11 30|0.5 63|16 2 -0 23 1
1108 幸福|水泥工業|35 38 2|92 92 12 49|1.3 25|6 19 0 -22 -2
1110 東泥|水泥工業|25 74 31|96 96 2 9|0.4 7|6 2 0 -6 -12
1201 味全|食品工業|4 4 1|93 93 -3 -3|0.6 9|10 -31 0 -3 41
1210 大成|食品工業|-3 2 -7|87 87 5 20|1.8 498|13 5 0 38 47
1215 卜蜂|食品工業|-2 4 -5|94 94 0 18|0.7 65|40 14 -0 -27 -26
1216 統一|食品工業|14 9 -0|96 96 1 12|0.9 567|39 -21 13 -21 -43
1217 愛之味|食品工業|-6 0 -3|91 91 19 23|2.3 125|8 -2 -0 41 119
1218 泰山|食品工業|5 3 -1|57 81 -14 -12|0.4 40|3 3 -0 8 30
1219 福壽|食品工業|6 1 -4|93 93 2 6|0.7 14|6 -2 0 -7 14
1225 福懋油|食品工業|-7 -8 -15|89 89 -7 -2|0.1 6|1 -0 0 15 3
1227 佳格|食品工業|0 7 13|93 93 -2 -3|0.6 32|6 -13 -2 -7 35
1229 聯華|食品工業|13 1 -1|95 95 11 27|0.8 113|12 -6 -0 -1 55
1231 聯華食|食品工業|-3 -2 -11|95 95 7 15|1.2 23|3 -11 0 -32 78
1234 黑松|食品工業|3 14 -3|99 99 11 22|0.9 10|6 -2 0 -23 15
1268 漢來美食|觀光餐旅|28 96 36|86 86 1 16|0.7 41|3 4 0 -8 5
1301 台塑|塑膠工業|-17 -28 -0|93 93 -5 -1|0.5 614|32 -0 -10 9 -12
1303 南亞|塑膠工業|-23 -31 -0|90 90 -8 -4|0.6 313|30 17 -19 7 -31
1304 台聚|塑膠工業|-30 -30 -7|90 90 5 1|1.0 46|34 3 -1 10 -19
1305 華夏|塑膠工業|-35 -32 -1|89 91 9 -5|1.8 86|10 0 0 78 8
1307 三芳|塑膠工業|-3 -8 -24|92 92 9 19|0.7 11|12 3 0 -22 16
1308 亞聚|塑膠工業|-42 -38 -20|88 88 4 -4|1.0 34|7 -2 -1 -1 10
1309 台達化|塑膠工業|-31 -32 -7|82 85 -1 -12|0.9 12|2 8 -1 3 -37
1310 台苯|塑膠工業|-48 -47 -17|91 91 -1 17|1.0 22|7 18 0 -3 -16
1312 國喬|塑膠工業|-11 -26 -4|90 90 1 -1|0.8 33|12 6 0 1 -9
1313 聯成|塑膠工業|3 -11 7|91 91 11 8|0.9 89|11 3 0 19 7
1316 上曜|建材營造|-85 -86 -82|69 85 -9 -0|1.6 16|1 4 0 -2 -8
1319 東陽|汽車工業|3 5 -5|99 99 31 45|0.9 367|23 -2 3 -12 17
1326 台化|塑膠工業|-14 -25 -11|88 93 -4 -6|0.7 183|34 -8 1 51 1
1338 廣華-KY|汽車工業|-38 -27 -9|62 77 -13 -18|1.7 6|7 -17 0 3 38
1342 八貫|其他|-12 -4 -11|65 65 -16 -24|0.6 72|43 -1 0 6 -3
1402 遠東新|紡織纖維|-6 -8 -6|92 92 -4 -5|0.8 197|16 -20 -8 61 2
1409 新纖|紡織纖維|-18 -17 1|92 92 1 -5|0.6 20|12 -2 0 6 -5
1417 嘉裕|紡織纖維|-10 14 -3|87 95 5 -2|0.7 5|4 -0 0 -6 -29
1432 大魯閣|運動休閒|22 36 3|80 80 14 12|0.4 8|0 1 0 na na
1434 福懋|紡織纖維|-24 -21 -11|97 97 -1 0|0.6 48|8 -9 0 -2 2
1440 南紡|紡織纖維|-15 -12 -13|83 86 -3 -10|0.6 14|6 -6 0 -22 9
1442 名軒|建材營造|-7 25 -411|94 94 11 12|0.6 26|4 10 0 10 7
1444 力麗|紡織纖維|-42 -36 -14|88 93 2 2|0.5 15|6 -4 -2 -5 -11
1446 宏和|紡織纖維|-55 -14 -20|92 92 20 20|1.8 6|1 1 0 1 -5
1467 南緯|紡織纖維|-20 -29 -2|97 98 8 6|0.7 48|21 2 0 -2 -14
1471 首利|電子零組|36 17 23|70 70 43 65|0.4 60|2 -0 0 -28 -33
1476 儒鴻|紡織纖維|-26 -28 -13|92 92 11 7|2.1 515|40 -8 4 18 5
1477 聚陽|紡織纖維|-20 -6 -4|97 97 37 52|0.7 1055|38 13 0 -66 -38
1503 士電|電機機械|5 -1 -12|77 77 10 87|0.6 969|31 4 -4 -14 39
1504 東元|電機機械|-7 0 -5|84 84 9 75|0.5 1218|18 -3 -0 -13 11
1513 中興電|電機機械|31 24 11|81 81 12 41|0.5 2628|12 -2 -4 11 49
1514 亞力|電機機械|16 15 -16|81 81 17 68|0.3 466|10 0 -0 -10 3
1515 力山|電機機械|70 37 77|99 99 33 27|1.2 38|7 4 0 -1 7
1517 利奇|電機機械|-71 -73 -34|64 77 -12 -19|0.9 6|2 -3 0 -5 5
1519 華城|電機機械|251 100 67|88 88 95 303|0.8 1145|11 -1 5 -49 0
1522 堤維西|汽車工業|-1 -1 -7|87 87 15 17|0.2 78|8 -10 0 -6 13
1524 耿鼎|汽車工業|8 5 -5|74 79 -7 -14|0.3 20|1 -4 0 -7 5
1525 江申|汽車工業|-15 7 -29|73 73 16 49|0.2 24|2 6 -1 -4 81
1527 鑽全|電機機械|-34 -41 -10|91 91 -1 -2|1.1 10|8 -24 0 -4 40
1528 恩德|電機機械|8 -4 -9|71 71 11 25|0.3 43|6 8 0 3 -13
1529 樂事綠能|電機機械|241 295 139|79 79 7 70|0.4 155|1 1 -0 -11 6
1532 勤美|電機機械|121 90 96|96 96 14 24|1.8 67|13 12 -3 8 -27
1533 車王電|汽車工業|-13 32 7|83 83 6 17|0.2 42|6 -4 -2 -13 -0
1535 中宇|電機機械|-2 14 7|94 94 14 38|0.8 16|2 -5 0 -61 62
