# 2023-02 月中(2023-02-13,上月月報甫公佈)全池量化快照(949 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-3 4 -3|83 92 17 -6|0.5 565|21 1 4 -22 -5
1102 亞泥|水泥工業|-35 -18 -17|94 94 11 0|0.4 171|19 5 -0 -22 -20
1104 環泥|水泥工業|-15 6 -8|97 97 17 9|1.8 15|14 17 0 89 -1
1201 味全|食品工業|-5 -6 -5|91 100 9 2|2.0 5|11 14 0 1 -26
1210 大成|食品工業|-8 6 -4|88 95 11 0|1.3 54|10 13 0 5 -4
1215 卜蜂|食品工業|-11 5 -8|97 97 1 5|0.9 29|39 6 -3 -45 -2
1216 統一|食品工業|-4 6 -4|99 99 2 2|0.4 435|41 -5 -2 -4 10
1217 愛之味|食品工業|1 2 1|89 100 18 12|1.2 10|8 7 0 -7 -18
1218 泰山|食品工業|-1 3 -7|64 64 -26 -7|0.4 59|3 9 0 29 14
1219 福壽|食品工業|-7 1 -13|75 92 3 -4|0.9 13|5 -4 0 -45 29
1227 佳格|食品工業|-22 -15 -2|83 98 5 1|1.1 29|7 16 0 -4 -20
1229 聯華|食品工業|-7 -6 -13|80 94 8 -2|1.1 53|11 6 -0 -5 7
1231 聯華食|食品工業|1 12 -0|100 100 24 11|1.2 18|3 16 0 -7 -3
1232 大統益|食品工業|-1 16 -3|89 89 -1 -9|0.9 10|1 -0 -4 -46 9
1234 黑松|食品工業|11 8 6|98 100 3 1|1.3 13|6 11 0 -17 7
1256 鮮活果汁-KY|食品工業|-53 -19 -4|97 99 46 16|1.4 6|4 5 0 -15 -5
1268 漢來美食|觀光餐旅|41 23 -59|99 99 24 31|1.9 18|1 8 0 65 27
1301 台塑|塑膠工業|-40 -34 -22|88 94 4 -5|0.5 443|34 4 -1 -3 0
1303 南亞|塑膠工業|-42 -34 -17|89 97 7 8|0.4 323|30 10 4 -22 -8
1304 台聚|塑膠工業|-36 -25 -14|84 97 17 1|0.6 65|34 1 -2 -18 -8
1305 華夏|塑膠工業|-32 -23 -8|83 94 34 14|0.4 109|9 -3 7 -8 -7
1308 亞聚|塑膠工業|-40 -25 -25|78 94 7 3|0.8 48|10 13 -3 -3 -15
1309 台達化|塑膠工業|-33 -28 -13|73 96 10 -2|0.6 24|3 4 1 -4 -10
1310 台苯|塑膠工業|-47 -25 -31|78 94 5 -3|0.9 5|7 8 0 -9 -2
1312 國喬|塑膠工業|-21 -28 -7|74 93 8 1|0.5 61|13 -0 0 -14 -11
1313 聯成|塑膠工業|-40 -30 -16|70 94 17 9|1.1 43|10 9 0 -6 0
1314 中石化|塑膠工業|-55 -58 -26|76 91 5 -1|0.9 61|12 21 0 -11 -11
1316 上曜|建材營造|-54 -1 -170|42 69 -3 -23|1.0 7|2 5 0 -2 19
1319 東陽|汽車工業|-14 -2 -15|78 78 -6 -8|0.4 150|27 15 -3 -16 3
1325 恆大|塑膠工業|-48 -28 12|50 81 5 -8|0.4 7|3 -3 0 -8 8
1326 台化|塑膠工業|-16 -13 -15|91 93 1 1|0.7 166|34 3 -1 23 6
1336 台翰|電子零組|-5 11 -19|92 92 24 20|1.5 32|5 0 0 81 -14
1342 八貫|其他|17 20 -9|100 100 81 115|3.4 336|51 -1 0 54 82
1402 遠東新|紡織纖維|-8 -7 -17|97 97 -1 7|0.4 199|18 14 -5 -7 20
1409 新纖|紡織纖維|-33 -27 -27|90 96 7 -0|1.5 33|13 20 1 -6 -12
1417 嘉裕|紡織纖維|-14 -15 -34|89 89 26 34|1.1 31|2 -1 0 4 11
1432 大魯閣|運動休閒|57 27 -61|81 96 35 28|4.9 7|1 1 0 na na
1434 福懋|紡織纖維|-15 -12 -16|99 99 5 2|1.0 24|8 26 0 -9 4
1440 南紡|紡織纖維|-22 -8 -16|71 92 1 -4|0.9 13|7 17 0 -7 -0
1442 名軒|建材營造|-73 1625 1267|83 83 9 42|0.4 29|4 -3 -2 -12 11
1443 立益物流|其他|-34 -32 -34|89 89 46 68|1.6 25|0 1 0 880 316
1444 力麗|紡織纖維|-32 -29 -39|87 87 -1 -1|0.5 16|6 -7 0 -7 19
1451 年興|紡織纖維|-17 -19 -26|81 81 2 -7|1.6 6|7 -5 0 -15 23
1455 集盛|紡織纖維|-52 -47 -27|68 98 6 2|0.6 5|2 6 0 1 -9
1457 宜進|紡織纖維|-45 -26 -26|98 98 2 7|1.2 5|2 -6 0 -15 4
1467 南緯|紡織纖維|-33 -32 -22|78 91 4 -2|0.6 33|21 3 0 -11 -4
