# 2023-12-01 全池(1083 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-18 -15 -18|87 90 -2 -9|2.0 747|18 -12 7 -1 -46
1102 亞泥|水泥工業|-12 -8 -1|98 98 3 -2|1.1 164|17 20 1 -1 19
1104 環泥|水泥工業|3 3 -11|95 95 -0 3|0.9 20|15 18 -0 -12 -14
1108 幸福|水泥工業|12 13 -15|84 84 -2 2|0.6 5|3 1 0 -7 1
1201 味全|食品工業|10 6 2|93 97 3 -4|0.9 5|9 27 0 -8 -4
1210 大成|食品工業|-10 -6 -8|90 90 1 7|1.1 83|12 6 -2 -39 4
1215 卜蜂|食品工業|1 2 -3|98 98 2 7|0.9 28|41 1 -4 -13 -6
1216 統一|食品工業|16 17 6|98 98 5 3|2.8 665|38 -13 25 24 521
1217 愛之味|食品工業|2 3 0|80 80 -7 1|0.4 17|8 6 0 5 1
1218 泰山|食品工業|6 5 3|47 72 -10 -27|1.1 16|2 6 0 3 -19
1227 佳格|食品工業|-7 0 3|95 98 4 -1|1.1 16|6 14 1 13 3
1229 聯華|食品工業|32 11 7|100 100 11 17|1.4 59|12 24 1 16 -20
1231 聯華食|食品工業|1 1 -4|98 98 4 10|1.0 9|2 25 0 19 -27
1268 漢來美食|觀光餐旅|14 12 -30|82 85 2 -18|0.4 12|2 1 0 -15 -1
1301 台塑|塑膠工業|-4 -4 18|90 90 -2 -10|1.0 386|32 25 -1 -8 -9
1303 南亞|塑膠工業|-18 -17 11|88 89 0 -11|1.6 399|29 13 14 -23 -13
1304 台聚|塑膠工業|-15 -12 10|76 81 -8 -12|0.7 16|33 6 0 -2 3
1305 華夏|塑膠工業|-4 -3 18|81 88 -6 -1|0.4 24|8 4 -2 -7 -3
1307 三芳|塑膠工業|3 -8 -3|100 100 3 15|0.4 14|13 25 0 0 -14
1308 亞聚|塑膠工業|-39 -34 -6|83 89 -5 -4|1.1 15|7 -2 -5 -2 0
1309 台達化|塑膠工業|12 1 20|76 85 -3 -12|0.8 6|2 22 0 -12 -34
1310 台苯|塑膠工業|16 1 26|95 100 8 1|1.0 13|7 37 0 -23 -29
1312 國喬|塑膠工業|-6 -6 10|79 86 -5 -14|2.5 22|12 6 0 -0 -27
1313 聯成|塑膠工業|25 31 33|93 93 2 11|0.9 24|12 31 0 -8 -17
1316 上曜|建材營造|-80 -72 -32|98 100 21 7|1.1 21|4 12 0 26 2
1319 東陽|汽車工業|19 17 7|89 89 13 60|0.4 350|25 -6 -0 9 12
1321 大洋|塑膠工業|-25 -24 2|100 100 17 20|3.5 7|5 5 0 36 7
1324 地球|塑膠工業|24 10 13|92 92 59 62|0.2 27|3 2 0 -20 30
1326 台化|塑膠工業|-1 0 14|85 94 0 -6|1.2 169|34 45 -0 -11 -21
1338 廣華-KY|汽車工業|-22 -20 4|95 100 17 3|2.7 6|7 -2 0 16 1
1339 昭輝|汽車工業|12 12 8|100 100 62 75|0.6 33|4 3 0 51 1
1342 八貫|其他|4 5 1|72 93 3 -7|1.0 58|45 2 0 2 7
1402 遠東新|紡織纖維|0 -1 4|96 96 7 -0|2.1 290|17 2 20 -13 7
1409 新纖|紡織纖維|-7 -6 12|90 95 1 -4|0.8 18|12 18 0 -1 -14
1432 大魯閣|運動休閒|11 12 -10|82 93 8 -3|1.6 10|1 1 0 na na
1434 福懋|紡織纖維|-16 -15 1|95 96 -1 -4|1.4 31|8 12 6 31 4
1437 勤益控|其他|14 33 23|99 99 5 5|2.8 6|8 7 0 13 -0
1440 南紡|紡織纖維|-7 -8 -1|94 100 9 4|2.1 24|7 16 0 -2 -14
1442 名軒|建材營造|3637 2025 1063|96 96 9 26|2.0 34|5 16 0 3 -14
1444 力麗|紡織纖維|-37 -35 -3|97 97 -1 -1|0.7 12|6 38 0 -11 -17
1449 佳和|紡織纖維|19 20 20|91 91 17 24|3.3 119|5 2 0 -4 85
1455 集盛|紡織纖維|22 4 29|97 99 14 6|1.0 11|3 24 0 -3 -16
1463 強盛新|紡織纖維|-32 -14 14|92 92 10 23|1.0 9|4 19 0 -47 37
1467 南緯|紡織纖維|-20 -11 16|87 87 -3 -1|0.7 6|21 5 0 6 -6
1471 首利|電子零組|9 45 34|78 78 -3 96|0.3 29|1 0 0 -9 na
1472 三洋實業|建材營造|28 133 -55|100 100 44 97|1.9 5|1 -3 0 8 0
1473 台南|紡織纖維|-22 -8 4|94 94 17 29|0.6 13|10 -17 0 -32 31
1476 儒鴻|紡織纖維|27 -7 17|100 100 14 27|1.2 351|40 11 2 -44 4
1477 聚陽|紡織纖維|2 8 10|90 90 5 58|1.0 657|38 1 -6 49 -35
1503 士電|電機機械|-9 -1 -8|64 64 -16 -30|1.8 166|31 -13 0 58 12
1504 東元|電機機械|-1 5 1|78 78 -5 -15|0.9 451|16 -5 1 -17 53
1513 中興電|電機機械|23 17 0|85 85 9 7|3.6 618|13 3 0 45 11
1514 亞力|電機機械|17 13 -9|99 99 36 23|4.7 281|13 6 0 -5 -21
1515 力山|電機機械|297 194 165|96 96 60 74|0.3 156|15 7 1 23 -18
1519 華城|電機機械|141 105 45|95 95 -1 90|1.2 2472|15 2 2 -13 -9
1522 堤維西|汽車工業|-3 6 3|92 92 18 47|0.2 183|10 -9 0 27 3
1524 耿鼎|汽車工業|9 23 10|97 97 35 25|0.2 184|9 7 0 -23 -25
1525 江申|汽車工業|-18 -15 -33|66 66 -4 -24|0.8 6|1 4 0 3 -3
1527 鑽全|電機機械|-4 -13 16|95 100 2 2|1.2 5|9 22 0 -3 1
1529 樂事綠能|電機機械|306 186 -16|66 66 -3 -19|1.6 21|1 -0 0 3 2
1532 勤美|電機機械|-6 14 6|100 100 7 12|2.4 46|14 20 5 10 -20
1533 車王電|汽車工業|64 47 16|83 83 0 -8|0.9 14|6 16 0 -4 -21
1536 和大|汽車工業|-10 -19 -14|86 89 -2 -7|1.6 26|11 30 -0 4 -14
1537 廣隆|電機機械|5 -10 5|99 99 1 2|1.0 10|18 28 0 29 -8
1558 伸興|電機機械|-15 33 19|89 94 6 2|0.9 9|8 -6 0 9 -11
1560 中砂|電機機械|3 -3 4|99 99 44 67|0.6 670|18 7 1 -33 -18
1565 精華|生技醫療|-8 -15 -1|75 87 -3 -16|0.8 22|13 -9 0 -4 -8
1568 倉佑|汽車工業|-2 -17 2|94 94 39 41|0.7 71|4 1 0 -3 14
1580 新麥|電機機械|17 24 14|99 99 24 21|0.5 19|9 2 4 -2 5
1582 信錦|電子零組|34 24 40|100 100 47 62|5.8 292|15 6 1 331 146
1584 精剛|其他|86 81 6|86 92 5 -3|0.6 123|3 2 0 7 -5
1589 永冠-KY|電機機械|-23 -22 -24|60 70 -9 -29|0.6 17|6 -15 0 2 16
1590 亞德客-KY|電機機械|21 24 11|85 92 10 5|1.3 463|76 2 -4 24 89
1591 駿吉-KY|電機機械|-92 -86 -3|98 98 5 21|2.3 42|20 8 0 3 1
1598 岱宇|運動休閒|34 27 18|74 90 12 -11|1.0 19|5 -0 0 4 -3
1603 華電|電器電纜|42 46 6|89 89 7 30|1.1 56|5 -4 0 15 4
1604 聲寶|電器電纜|8 2 4|87 87 4 6|0.8 9|10 15 2 -28 5
1605 華新|電器電纜|8 10 4|68 82 2 -15|1.1 579|21 11 0 6 32
1608 華榮|電器電纜|-2 -8 5|83 86 -4 -15|1.0 16|2 13 0 -11 -15
1609 大亞|電器電纜|1 1 7|86 86 -6 -14|0.8 192|11 -0 0 3 12
1611 中電|電器電纜|-11 -14 3|81 81 -2 -5|1.0 6|11 28 0 -0 -8
1612 宏泰|電器電纜|-11 6 4|92 92 2 -3|0.8 19|14 8 -0 -5 -8
1616 億泰|電器電纜|18 2 -4|99 99 13 29|6.0 10|4 4 0 na na
1618 合機|電器電纜|-43 29 -37|97 97 9 52|1.0 51|5 10 0 28 -1
1701 中化|生技醫療|4 2 -5|72 99 10 2|8.5 9|9 -7 0 54 29
