# 2024-11-01 全池(1181 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|53 51 33|92 92 -6 -3|0.7 306|18 -3 5 -4 -8
1102 亞泥|水泥工業|-3 0 9|97 97 12 9|0.6 272|19 12 6 -20 -19
1104 環泥|水泥工業|-3 0 -6|85 85 -5 -10|0.8 9|15 6 -1 -3 3
1210 大成|食品工業|-7 -8 0|89 92 -5 -7|0.7 38|10 -15 2 7 18
1215 卜蜂|食品工業|-7 -4 2|85 85 -3 -11|0.6 33|38 -4 -5 -0 23
1216 統一|食品工業|8 8 -7|99 99 12 19|0.8 621|39 -8 13 -25 -7
1217 愛之味|食品工業|0 4 3|90 90 -4 -2|0.6 9|10 -16 0 -15 7
1218 泰山|食品工業|-8 -9 -7|85 85 -4 -8|0.6 7|3 -11 -0 -1 -4
1225 福懋油|食品工業|-13 -13 -1|49 49 -34 34|0.7 14|1 3 3 -8 16
1227 佳格|食品工業|-7 -3 -3|89 89 -5 1|0.6 18|7 -20 0 -1 3
1229 聯華|食品工業|6 1 -14|86 86 -2 -8|1.1 44|11 -23 0 -5 27
1231 聯華食|食品工業|16 14 8|97 97 0 20|0.7 13|3 8 -0 105 8
1232 大統益|食品工業|-7 -6 3|98 98 7 11|0.4 16|3 27 3 67 39
1256 鮮活果汁-KY|食品工業|-3 -17 -19|53 64 -22 -35|0.6 9|4 -2 0 -6 13
1268 漢來美食|觀光餐旅|27 19 -3|93 93 -2 0|0.4 5|1 5 -5 -6 -9
1301 台塑|塑膠工業|0 -0 1|58 70 -18 -30|0.8 622|28 -9 -0 21 1
1303 南亞|塑膠工業|-3 -1 5|61 74 -14 -26|0.6 320|28 -6 1 -3 -3
1304 台聚|塑膠工業|-8 -3 2|71 84 -9 -6|0.5 22|32 -11 -0 -16 -8
1305 華夏|塑膠工業|-5 -20 -6|70 88 -10 -7|0.6 13|5 -6 0 -6 8
1307 三芳|塑膠工業|10 13 6|100 100 57 57|5.8 143|16 -1 2 720 332
1308 亞聚|塑膠工業|-33 -21 -5|70 85 -8 -8|0.5 13|6 -11 2 -10 1
1309 台達化|塑膠工業|13 32 11|86 86 5 25|0.4 38|3 -5 0 22 8
1310 台苯|塑膠工業|19 32 6|73 85 -12 -8|0.7 7|6 -16 0 -4 -8
1312 國喬|塑膠工業|-12 12 8|75 79 -14 -8|0.8 25|10 -17 0 -12 14
1313 聯成|塑膠工業|-28 -14 -24|70 83 -8 -16|0.8 13|10 -7 0 0 -13
1316 上曜|建材營造|99 101 39|58 67 -29 -25|0.4 50|6 11 0 -29 -10
1319 東陽|汽車工業|1 3 -10|85 89 17 -2|0.7 335|14 -7 0 -2 14
1321 大洋|塑膠工業|-4 -8 -5|78 78 -6 -15|0.4 12|8 -9 0 3 34
1326 台化|塑膠工業|-11 1 -7|59 67 -22 -32|0.7 285|33 -10 1 -8 7
1336 台翰|電子零組|-3 10 12|84 84 11 23|0.4 15|7 3 0 -17 70
1339 昭輝|汽車工業|-3 -12 -12|73 73 -4 -26|0.5 5|2 -3 0 -3 -2
1342 八貫|其他|-12 -10 -9|68 81 -0 -18|1.4 17|28 -2 0 -4 28
1402 遠東新|紡織纖維|-2 3 -2|95 95 6 14|0.9 273|18 -13 5 -4 112
