# 2024-10-01 全池(1211 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|39 52 40|96 96 -1 4|1.3 327|18 14 4 -0 -2
1102 亞泥|水泥工業|4 2 11|99 99 8 19|1.2 332|19 41 -6 26 -30
1103 嘉泥|水泥工業|12 0 -9|96 98 0 6|0.9 6|6 6 0 3 5
1104 環泥|水泥工業|6 4 -2|83 83 -17 -9|0.4 12|15 -1 -1 -1 -2
1110 東泥|水泥工業|104 58 37|88 88 3 20|0.4 7|7 -1 0 3 4
1201 味全|食品工業|10 9 -3|94 96 -1 -2|0.8 7|6 -20 0 8 -1
1210 大成|食品工業|-12 -8 -0|89 92 -7 -7|0.8 47|10 -15 -1 2 7
1215 卜蜂|食品工業|-4 -6 -0|85 85 -7 -12|1.7 33|38 7 -1 15 4
1216 統一|食品工業|7 11 -5|99 99 10 21|0.8 694|39 -1 15 -46 17
1217 愛之味|食品工業|6 3 1|94 94 -3 7|0.7 12|10 6 0 -4 2
1218 泰山|食品工業|-11 -11 -9|87 87 -6 -7|0.6 9|3 9 2 -6 -14
1225 福懋油|食品工業|-13 -14 -3|74 74 9 137|0.8 16|1 0 0 -11 39
1227 佳格|食品工業|-2 -3 -5|93 93 -4 5|1.0 18|8 -2 2 6 1
1229 聯華|食品工業|3 -3 -16|88 88 -10 -7|0.7 54|11 -17 -0 0 23
1231 聯華食|食品工業|10 11 6|91 91 -4 13|0.6 16|3 -2 2 24 11
1232 大統益|食品工業|-18 -7 2|100 100 6 7|5.0 11|2 8 0 0 -9
1256 鮮活果汁-KY|食品工業|-26 -25 -27|64 76 -11 -24|5.2 7|4 -3 0 225 16
1268 漢來美食|觀光餐旅|18 21 1|92 92 -7 3|0.6 8|1 -13 -6 -7 10
1301 台塑|塑膠工業|-8 2 5|65 75 -6 -25|1.6 768|29 0 1 8 -0
1303 南亞|塑膠工業|-5 3 11|67 80 -5 -20|1.1 503|28 11 2 4 13
1304 台聚|塑膠工業|-16 4 10|76 95 7 0|1.2 34|32 7 1 11 13
1305 華夏|塑膠工業|-53 -14 1|68 94 7 -6|1.8 17|5 -1 0 7 0
1307 三芳|塑膠工業|6 10 6|100 100 31 38|1.8 61|16 7 0 84 10
1308 亞聚|塑膠工業|-31 -11 4|74 94 10 -3|1.3 16|6 7 0 4 1
1309 台達化|塑膠工業|35 45 25|100 100 24 37|3.3 73|4 5 0 64 4
1310 台苯|塑膠工業|27 56 32|77 90 -3 -5|1.2 10|7 -4 0 15 -2
1312 國喬|塑膠工業|17 32 27|79 87 -6 -1|0.8 36|11 -0 0 -7 -3
1313 聯成|塑膠工業|-13 -3 -19|77 88 0 -8|2.2 20|10 12 -1 6 -20
1316 上曜|建材營造|70 181 133|65 74 -11 -15|0.2 77|3 -9 0 -16 1
1319 東陽|汽車工業|2 3 -11|81 81 -6 -13|1.0 531|15 -15 12 -17 65
1321 大洋|塑膠工業|-13 2 6|85 85 1 7|0.3 18|8 -0 0 -25 25
1326 台化|塑膠工業|1 13 3|67 76 -12 -22|1.1 466|34 8 0 29 -2
1336 台翰|電子零組|19 15 18|93 93 27 36|3.7 25|6 3 0 7 43
1339 昭輝|汽車工業|-20 -14 -14|75 75 -8 -13|0.6 7|2 -6 0 1 21
1342 八貫|其他|-7 -7 -7|68 73 -19 -28|0.6 11|28 1 0 -6 12
1402 遠東新|紡織纖維|6 5 -0|100 100 6 23|0.9 277|19 8 8 67 1
1409 新纖|紡織纖維|3 10 -3|92 92 -4 5|0.5 43|13 8 1 -14 -15
1414 東和|紡織纖維|-24 -10 -12|89 89 -7 21|0.9 10|2 -4 0 -2 10
1416 廣豐|其他|18 23 -7|98 98 9 12|1.0 5|12 2 0 5 0
1434 福懋|紡織纖維|-2 1 7|82 88 -7 -7|0.9 22|7 6 -0 17 -0
1436 華友聯|建材營造|1272 2403 1366|69 69 -17 29|0.4 77|4 -4 0 -10 65
1438 三地開發|建材營造|-100 na na|65 65 0 24|0.4 33|1 -1 0 -32 -7
1440 南紡|紡織纖維|3 -1 12|81 81 -8 1|0.7 16|7 6 2 -4 -6
1442 名軒|建材營造|704 914 -19536|87 87 14 57|0.9 97|14 11 -0 2 6
1446 宏和|紡織纖維|6440 5341 2945|76 76 -7 32|0.5 41|5 -12 0 -18 38
1449 佳和|紡織纖維|-33 -15 -39|72 85 -4 -6|0.2 10|7 -5 0 -5 -12
1455 集盛|紡織纖維|28 47 12|73 73 -18 -23|0.6 8|4 2 0 -1 -2
1464 得力|紡織纖維|15 32 23|95 95 1 8|0.9 5|2 7 0 9 2
1473 台南|紡織纖維|2 3 -10|67 67 -15 18|0.4 16|7 -13 0 -6 19
1475 業旺|紡織纖維|82 90 50|84 84 2 22|0.2 7|3 -4 0 -2 23
1476 儒鴻|紡織纖維|37 24 9|94 96 4 2|1.1 276|38 8 2 -23 7
1477 聚陽|紡織纖維|17 6 -4|79 79 -13 -2|1.5 664|32 -4 -8 -53 54
1503 士電|電機機械|-11 2 1|65 67 -25 -35|0.4 676|32 1 1 -22 39
1504 東元|電機機械|-11 -9 -5|81 81 -10 -13|0.7 152|11 9 0 -1 19
1513 中興電|電機機械|19 19 3|72 72 -16 -8|0.5 1350|18 1 1 -7 48
1514 亞力|電機機械|-4 4 -9|69 69 -19 -2|0.3 516|14 1 -1 -18 7
1515 力山|電機機械|-37 -17 -162|63 72 -20 -24|0.7 17|7 -9 0 -4 16
1519 華城|電機機械|65 55 -46|64 64 -36 -23|1.1 3597|20 1 -0 9 15
1522 堤維西|汽車工業|-14 2 -2|86 86 -12 8|0.8 221|9 -17 -0 21 37
1524 耿鼎|汽車工業|7 0 -15|93 93 2 -2|1.7 138|2 -4 0 53 63
1527 鑽全|電機機械|10 31 23|98 98 9 14|0.7 42|13 5 0 -4 10
1528 恩德|電機機械|-9 -5 -1|85 85 3 5|0.4 14|4 8 0 -5 -8
1529 樂事綠能|電機機械|23 95 3|76 76 -15 -15|0.2 16|1 2 0 -1 1
1530 亞崴|電機機械|-0 -7 18|90 90 8 7|0.6 15|1 2 0 -7 -23
1532 勤美|電機機械|-31 -37 -79|72 72 -14 4|0.6 57|17 -7 -0 1 15
1536 和大|汽車工業|-5 12 22|76 76 -1 9|0.2 165|7 -8 0 -7 2
1537 廣隆|電機機械|34 37 14|97 97 10 14|0.5 33|21 19 1 52 6
1539 巨庭|電機機械|-8 -6 -26|89 89 34 27|0.7 184|2 -0 0 42 171
1540 喬福|電機機械|24 118 67|92 92 111 146|0.8 1155|2 0 0 3 8
