# 2024-02-01 全池(1097 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-24 -17 -16|82 88 -1 -13|0.8 294|17 -20 0 -7 1
1102 亞泥|水泥工業|-24 -18 -9|94 95 -1 0|0.4 82|16 -34 -2 3 6
1104 環泥|水泥工業|2 10 -3|97 97 11 4|0.5 14|16 -8 1 1 -17
1210 大成|食品工業|-10 -9 -7|93 98 9 7|0.5 66|11 2 2 -27 14
1215 卜蜂|食品工業|-12 -6 -7|98 98 4 8|0.8 21|40 -15 12 -17 -3
1216 統一|食品工業|10 15 4|97 99 5 2|0.6 307|38 -8 4 1 -49
1217 愛之味|食品工業|-7 -1 -3|81 89 1 -11|0.5 9|8 2 0 -3 -18
1218 泰山|食品工業|-14 -1 -2|65 83 1 -20|0.4 8|2 -14 1 -0 8
1227 佳格|食品工業|-17 -9 -7|90 94 -1 -3|0.6 9|6 -22 0 4 1
1229 聯華|食品工業|57 38 26|96 96 5 5|1.0 45|12 -8 1 0 -2
1231 聯華食|食品工業|-9 -4 -6|95 97 -0 0|0.7 8|2 -16 0 -7 4
1268 漢來美食|觀光餐旅|14 15 -27|84 96 3 -2|0.4 14|1 -5 0 -4 30
1301 台塑|塑膠工業|-10 -7 12|82 88 -6 -12|1.0 446|31 -29 -1 16 27
1303 南亞|塑膠工業|-16 -17 9|80 90 -3 -10|0.7 211|29 -21 -2 35 -5
1304 台聚|塑膠工業|-19 -15 6|71 82 -4 -21|0.6 15|33 -15 -0 5 11
1305 華夏|塑膠工業|-26 -6 14|72 78 -8 -19|0.6 15|8 -29 -1 7 27
1307 三芳|塑膠工業|2 1 7|97 97 6 10|1.1 6|13 -24 1 26 1
1308 亞聚|塑膠工業|-24 -33 -3|77 87 -6 -12|0.6 11|7 -18 -0 2 7
1309 台達化|塑膠工業|1 6 20|73 91 -1 -13|2.5 8|2 -12 0 6 28
1310 台苯|塑膠工業|-13 8 29|83 87 -9 -9|0.4 7|7 0 0 5 -3
1312 國喬|塑膠工業|-3 -5 7|72 85 -7 -20|0.7 32|11 -9 0 -7 16
1313 聯成|塑膠工業|23 20 16|87 92 -1 -4|1.2 14|11 -19 0 9 5
1316 上曜|建材營造|-47 -38 8|96 96 32 26|3.0 24|8 8 0 3 1
1319 東陽|汽車工業|24 23 11|97 97 6 40|1.3 332|27 13 2 -50 -9
1325 恆大|塑膠工業|-2 -17 8|82 82 74 74|0.9 135|1 -3 0 -13 59
1326 台化|塑膠工業|-0 2 13|79 87 -8 -12|0.9 211|34 -28 -1 51 -5
1339 昭輝|汽車工業|-0 8 5|83 83 -2 39|0.2 13|3 3 -2 -6 -13
1342 八貫|其他|-4 -4 -3|71 96 2 9|0.3 25|44 -6 0 -27 9
1402 遠東新|紡織纖維|12 5 7|97 98 4 6|0.4 91|16 -6 1 -7 -25
1409 新纖|紡織纖維|11 7 19|86 96 -1 -6|0.6 18|12 -16 0 -7 -3
1432 大魯閣|運動休閒|5 6 -15|92 94 26 15|2.2 13|3 5 0 na na
1434 福懋|紡織纖維|-16 -17 1|90 94 -5 -7|0.7 18|7 -31 0 28 17
1438 三地開發|建材營造|-100 -63 na|100 100 48 52|2.2 20|1 7 0 64 24
1440 南紡|紡織纖維|-28 -19 -8|84 87 3 -2|0.4 9|7 -17 0 6 -2
1442 名軒|建材營造|-9 76251 56942|92 92 -4 7|0.2 8|5 -23 0 -5 -0
1444 力麗|紡織纖維|-20 -31 2|93 93 -2 -0|0.7 10|6 -15 0 1 1
1449 佳和|紡織纖維|21 32 20|73 73 -7 6|0.2 20|5 -4 0 -22 1
1455 集盛|紡織纖維|44 29 41|86 86 -4 3|0.5 5|3 -9 0 -11 8
1471 首利|電子零組|-2 7 -7|66 66 -17 21|0.5 17|1 -1 0 -4 na
1476 儒鴻|紡織纖維|2 12 32|93 93 -5 8|0.7 210|41 -2 -4 -18 -2
1477 聚陽|紡織纖維|31 10 8|91 91 -7 18|0.5 586|36 -11 -6 -29 61
1503 士電|電機機械|3 -6 -11|80 99 33 4|0.9 519|29 -1 2 7 16
1504 東元|電機機械|-2 -4 -6|79 90 0 -6|0.5 275|12 -12 1 -14 -20
1513 中興電|電機機械|28 22 2|89 97 25 10|0.6 971|11 3 0 1 -1
1514 亞力|電機機械|42 37 15|97 97 61 62|0.5 1171|17 2 1 -20 6
1515 力山|電機機械|141 219 148|73 73 2 13|0.1 58|12 -0 -4 -18 -3
1519 華城|電機機械|104 115 36|100 100 102 131|1.1 5511|21 3 0 -53 -12
1522 堤維西|汽車工業|-8 -2 -3|89 89 3 27|0.3 52|10 7 -1 -11 -3
1524 耿鼎|汽車工業|15 19 5|81 81 5 48|0.2 73|3 0 -1 -3 -11
1528 恩德|電機機械|14 -0 -4|83 96 32 16|1.5 96|2 -1 0 28 10
1529 樂事綠能|電機機械|196 199 -22|71 91 12 -10|0.4 50|1 1 0 -11 2
1532 勤美|電機機械|112 32 8|93 93 8 5|0.4 48|14 -5 -6 -0 -14
1535 中宇|電機機械|28 23 12|98 98 13 6|2.6 7|1 -0 0 252 -17
1536 和大|汽車工業|-22 -15 -6|71 78 -17 -17|0.8 47|11 -1 -1 3 7
1537 廣隆|電機機械|4 12 23|97 97 -2 -2|0.8 8|17 -32 0 -44 4
1558 伸興|電機機械|9 0 -11|84 88 -6 -4|0.7 6|7 -7 0 4 4
1560 中砂|電機機械|-1 0 8|99 99 28 73|1.9 753|19 0 1 13 17
1565 精華|生技醫療|5 -1 10|75 96 4 -6|0.7 20|11 -4 2 -3 4
1568 倉佑|汽車工業|-48 -27 -4|75 75 -5 22|0.1 13|2 3 -1 -14 -6
1569 濱川|電腦及週|-34 -20 5|97 97 6 9|0.9 7|2 3 0 7 -13
1580 新麥|電機機械|24 16 1|94 94 2 14|0.4 8|8 -6 0 -2 -7
1582 信錦|電子零組|33 27 33|81 81 5 29|0.4 89|17 -8 0 -8 47
1584 精剛|其他|-7 43 -23|80 86 -1 4|0.2 38|1 -5 0 -13 5
1589 永冠-KY|電機機械|-21 -21 -18|60 90 -2 -8|0.5 20|4 -25 0 2 35
1590 亞德客-KY|電機機械|17 18 3|82 90 -9 8|2.0 408|74 -13 2 0 25
1591 駿吉-KY|電機機械|58 -39 38|85 85 28 23|0.2 21|16 -6 0 -8 -16
1603 華電|電器電纜|2 3 -25|84 84 -1 2|0.3 40|4 -13 0 -19 10
1604 聲寶|電器電纜|-5 1 1|87 96 1 6|0.6 7|10 -28 0 13 6
1605 華新|電器電纜|-6 1 -5|63 89 -0 -7|0.3 252|17 -14 -2 -2 9
1608 華榮|電器電纜|-11 5 14|85 90 7 0|0.3 20|2 -6 1 -4 9
1609 大亞|電器電纜|25 10 11|89 92 9 2|0.4 189|10 6 0 2 -17
1611 中電|電器電纜|-2 -3 10|80 95 5 -2|0.6 8|11 11 0 -4 -12
1612 宏泰|電器電纜|14 -4 -2|90 90 11 11|0.2 35|16 2 1 -34 -9
1615 大山|電器電纜|9 8 -6|99 99 29 34|1.5 11|1 9 0 -27 7
1616 億泰|電器電纜|11 27 14|87 87 35 35|0.4 10|2 2 0 na na
1618 合機|電器電纜|100 67 -8|86 86 17 25|0.3 53|6 -4 -1 1 26
1701 中化|生技醫療|-20 -4 -6|86 90 1 -2|0.2 8|9 -1 0 -8 -2
1702 南僑|食品工業|8 7 -5|100 100 7 10|1.2 16|13 3 0 -19 -12
1707 葡萄王|生技醫療|8 2 -1|83 95 2 -7|0.8 32|14 -20 -0 7 -3
1708 東鹼|化學工業|14 -19 6|77 93 6 -3|0.8 14|7 17 0 -4 -22
1710 東聯|化學工業|13 -0 2|80 90 0 -13|0.5 13|9 -10 0 -2 -4
1711 永光|化學工業|6 1 12|85 90 -4 -3|0.5 10|8 -1 0 -10 -2
1712 興農|化學工業|1 -8 8|97 99 5 9|1.0 14|14 -6 1 -2 -12
1713 國化|化學工業|42 28 40|100 100 20 50|2.1 13|5 11 0 8 18
1717 長興|化學工業|1 -8 4|83 96 0 -4|0.7 21|14 -26 0 -15 5
1720 生達|生技醫療|-4 1 -8|86 92 6 -2|0.3 20|4 -4 -0 -20 -4
1721 三晃|化學工業|-37 -16 9|77 77 -19 6|0.2 11|2 -2 0 -6 -3
