# 2024-12-02 全池(1168 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1536 和大|汽車工業|-18 -11 -1|88 88 -1 17|5.4 253|6 -1 0 29 5
1537 廣隆|電機機械|16 28 0|97 97 10 13|1.9 55|22 4 2 23 -12
1539 巨庭|電機機械|-18 -23 -37|70 70 -15 5|0.1 7|5 1 0 -18 4
1540 喬福|電機機械|-78 -15 -57|78 78 -5 97|0.8 124|1 -1 0 -7 8
1558 伸興|電機機械|11 11 1|87 87 -7 6|0.6 9|7 -14 0 6 5
1560 中砂|電機機械|7 8 1|80 80 -10 6|0.5 697|21 -2 -3 -2 120
1563 巧新|汽車工業|-6 -8 na|na 75 -7 -26|1.8 20|1 -11 0 na na
1565 精華|生技醫療|11 16 12|93 93 26 24|0.6 161|19 18 1 -32 -45
1569 濱川|電腦及週|-10 -11 9|100 100 131 173|0.8 286|9 3 0 20 0
1580 新麥|電機機械|12 -2 -10|94 94 -4 -1|1.1 7|6 -6 0 7 -23
1582 信錦|電子零組|-19 -15 -26|78 78 -18 -16|0.7 79|15 -16 -9 -3 27
1584 精剛|其他|-24 -2 -15|74 74 -18 -2|0.4 51|2 -11 0 1 33
1586 和勤|電機機械|-13 1 -17|83 83 -6 -3|0.9 9|2 -2 0 -8 40
1587 吉茂|汽車工業|15 10 11|49 57 -23 -37|1.1 74|23 -3 0 9 111
1589 永冠-KY|電機機械|-5 -5 13|62 84 -6 -12|0.8 11|6 27 0 -9 -27
1590 亞德客-KY|電機機械|-4 -4 -12|65 75 -8 -22|0.6 542|73 -4 -4 28 -4
1591 駿吉-KY|電機機械|76 98 -162|67 75 7 -22|1.7 59|2 -1 0 21 15
1595 川寶|半導體業|-42 -26 15|59 59 17 27|0.2 85|3 -1 0 -24 -2
1597 直得|電機機械|2 13 22|76 76 -16 26|0.3 107|4 -9 0 -19 5
1603 華電|電器電纜|10 -10 -21|73 78 -7 -15|0.5 14|3 3 0 -1 -22
1605 華新|電器電纜|-3 -6 1|65 70 -28 -28|1.9 399|16 -6 -3 2 1
1608 華榮|電器電纜|15 18 -1|64 66 -16 -22|0.5 28|4 17 -0 -9 -26
1609 大亞|電器電纜|18 15 -1|71 78 -14 -5|0.7 131|12 11 0 -5 -9
