# 2024-08-01 全池(1346 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|55 42 41|92 99 5 6|0.9 615|18 16 2 2 -9
1102 亞泥|水泥工業|3 -10 2|94 94 -2 8|0.8 540|15 8 18 -6 -3
1103 嘉泥|水泥工業|-8 3 -13|89 99 1 3|0.7 9|5 15 0 -2 -15
1104 環泥|水泥工業|10 9 2|91 91 -5 17|1.4 62|15 -8 0 4 22
1108 幸福|水泥工業|-20 -7 -18|92 95 -4 7|0.5 7|3 -22 0 -1 24
1109 信大|水泥工業|-19 -19 -11|87 87 -11 3|0.8 10|3 -10 0 -10 43
1110 東泥|水泥工業|6 -1 -9|100 100 20 37|1.6 16|7 10 0 -2 23
1201 味全|食品工業|8 13 2|93 97 -2 -1|1.0 14|7 -27 0 30 30
1210 大成|食品工業|-8 -8 -1|92 95 0 -1|1.2 76|10 -4 0 59 13
1215 卜蜂|食品工業|-12 -10 -5|89 89 -5 4|0.8 63|38 -23 25 11 46
1216 統一|食品工業|17 18 1|94 94 7 16|1.7 898|37 -6 20 -35 47
1217 愛之味|食品工業|-4 4 3|87 95 3 10|0.8 20|10 11 0 -10 2
1218 泰山|食品工業|-14 -4 -5|79 90 -4 1|0.6 17|3 -1 0 -12 11
1219 福壽|食品工業|-22 -15 -4|88 94 -6 -5|0.8 6|6 -11 0 6 30
1225 福懋油|食品工業|-17 -12 -2|100 100 127 177|1.0 18|1 4 0 2 33
1227 佳格|食品工業|-8 1 -1|95 95 7 10|0.4 36|8 -6 0 20 -29
1229 聯華|食品工業|-3 13 -3|90 90 -4 -2|1.8 107|12 6 0 -6 -7
1231 聯華食|食品工業|6 10 7|100 100 22 39|1.5 25|3 4 0 -14 -28
1232 大統益|食品工業|-9 -6 3|100 100 4 7|1.3 14|1 8 0 -17 12
1234 黑松|食品工業|-3 -1 -4|95 95 -1 7|0.6 6|6 -7 0 433 55
1256 鮮活果汁-KY|食品工業|-26 -19 -27|58 70 -15 -19|1.0 5|3 -2 0 -7 17
1268 漢來美食|觀光餐旅|32 18 -3|98 98 6 9|0.4 9|2 -12 3 1 16
1301 台塑|塑膠工業|7 6 9|70 81 -14 -18|0.6 566|29 -6 1 -4 1
1303 南亞|塑膠工業|10 4 15|71 81 -12 -18|0.6 500|28 -5 2 11 -8
1304 台聚|塑膠工業|14 6 14|68 89 4 -10|0.8 61|31 5 -0 0 4
1305 華夏|塑膠工業|13 -7 5|71 88 3 -10|0.7 36|5 18 0 -24 -33
1307 三芳|塑膠工業|2 9 8|95 95 1 27|0.6 15|15 5 1 -3 15
1308 亞聚|塑膠工業|-4 -9 10|73 86 4 -13|1.7 45|5 -6 -1 46 28
1309 台達化|塑膠工業|53 38 29|93 96 25 18|1.0 49|2 3 0 2 8
1310 台苯|塑膠工業|90 55 42|85 97 6 -2|0.6 16|7 10 0 22 -13
1312 國喬|塑膠工業|47 31 32|80 95 10 2|0.8 63|11 6 0 9 4
1313 聯成|塑膠工業|6 13 -7|74 83 -7 -12|0.7 23|10 -3 0 -6 19
1314 中石化|塑膠工業|18 22 -27|95 95 -3 14|0.9 336|14 12 0 -1 -41
1316 上曜|建材營造|340 171 153|87 87 9 74|1.5 354|4 3 0 22 -9
1319 東陽|汽車工業|0 12 -3|76 76 -13 16|0.7 296|19 -5 -3 25 -14
1321 大洋|塑膠工業|27 15 21|87 87 -13 3|0.6 7|8 8 0 -4 5
1325 恆大|塑膠工業|-26 -25 -5|62 74 6 -21|0.4 19|1 1 0 -11 13
1326 台化|塑膠工業|24 28 21|74 86 -12 -14|0.8 448|33 9 1 15 -8
1336 台翰|電子零組|13 11 21|95 97 13 7|1.0 7|3 0 0 2 -11
1339 昭輝|汽車工業|-7 -9 -14|77 77 -20 5|0.4 13|3 -3 0 -2 -14
1342 八貫|其他|-2 5 4|69 69 -20 -13|0.5 42|31 3 0 -4 -13
1402 遠東新|紡織纖維|5 7 3|96 96 9 18|0.8 452|17 -4 19 -21 -10
1409 新纖|紡織纖維|9 19 10|96 96 3 17|0.5 103|14 2 0 35 59
1414 東和|紡織纖維|-7 6 5|91 91 17 34|0.4 13|2 -1 0 -4 17
1416 廣豐|其他|23 23 -3|92 92 -8 12|0.9 5|11 10 0 -1 2
1418 東華|紡織纖維|-57 109 81|88 88 14 65|0.2 7|1 2 0 -4 3
1423 利華|紡織纖維|-48 -27 -20|97 97 39 43|0.4 7|2 2 0 16 83
1434 福懋|紡織纖維|4 5 14|88 95 -0 -5|1.3 24|7 17 0 -23 -8
1436 華友聯|建材營造|2815 2511 1856|91 91 12 118|1.4 188|4 1 3 180 -15
1437 勤益控|其他|1 14 1|93 93 4 20|0.3 6|8 -9 0 2 33
1438 三地開發|建材營造|na na na|100 100 72 131|2.7 39|2 4 0 35 5
