# 2024-05-02 全池(1248 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|16 -6 0|82 92 -1 0|1.0 593|17 -15 0 19 58
1102 亞泥|水泥工業|-21 -10 3|100 100 10 9|1.5 233|16 16 -1 60 -0
1103 嘉泥|水泥工業|2 8 -17|84 97 4 6|3.6 7|5 -6 0 11 25
1104 環泥|水泥工業|1 6 -2|100 100 22 39|1.6 79|16 -6 -0 21 -13
1108 幸福|水泥工業|3 12 -8|97 100 13 29|1.2 32|3 3 0 59 126
1109 信大|水泥工業|-35 -8 -4|100 100 17 20|1.6 11|4 7 0 7 67
1110 東泥|水泥工業|2 11 -21|100 100 12 15|2.4 6|6 2 0 -9 10
1201 味全|食品工業|4 12 2|92 96 2 2|1.0 6|9 -13 0 18 23
1210 大成|食品工業|-11 -7 -2|92 95 -0 13|0.6 98|12 12 -23 -8 -9
1215 卜蜂|食品工業|-9 -4 -4|93 93 11 17|0.7 41|40 -5 3 1 -2
1216 統一|食品工業|16 21 6|96 96 7 12|0.9 586|37 -7 11 79 -35
1217 愛之味|食品工業|-10 -1 -2|85 100 7 8|1.7 11|8 -0 0 16 -7
1218 泰山|食品工業|3 4 2|70 99 7 12|1.4 21|2 17 -0 -4 -13
1219 福壽|食品工業|-26 -15 -7|93 99 2 3|1.4 7|6 6 0 11 5
1220 台榮|食品工業|-1 20 17|100 100 25 29|3.9 6|8 4 0 14 -1
1227 佳格|食品工業|4 12 9|95 97 2 2|1.3 20|6 10 -2 -2 -14
1229 聯華|食品工業|-3 8 -4|96 96 3 7|0.7 50|11 -18 0 -11 1
1231 聯華食|食品工業|-9 6 6|99 99 14 12|0.5 16|3 4 0 -18 -15
1232 大統益|食品工業|-9 -9 -1|98 99 4 3|0.8 7|1 3 0 -65 9
1234 黑松|食品工業|-7 4 -3|100 100 6 10|0.9 8|6 -6 0 -2 20
1268 漢來美食|觀光餐旅|40 37 -9|86 99 1 13|1.7 10|2 1 0 -5 -18
1301 台塑|塑膠工業|-12 -6 8|76 84 -5 -11|0.9 504|31 -12 -0 -22 15
1303 南亞|塑膠工業|-9 -11 9|74 82 -5 -7|0.8 391|29 3 1 -9 -26
1304 台聚|塑膠工業|-14 -8 9|65 78 -13 -16|2.4 29|32 -9 -12 19 34
1305 華夏|塑膠工業|-16 -23 -5|69 77 -11 -15|1.0 27|6 -12 -2 8 28
1307 三芳|塑膠工業|9 2 7|100 100 24 34|1.2 22|14 17 -0 21 3
1308 亞聚|塑膠工業|-11 1 25|72 78 -13 -18|0.8 15|6 -1 -1 -2 -5
1309 台達化|塑膠工業|-2 8 15|75 87 -1 -7|0.7 6|2 -1 0 14 10
1310 台苯|塑膠工業|-45 9 20|76 79 -8 -14|1.0 9|6 -15 0 13 22
1312 國喬|塑膠工業|-43 -21 -5|68 83 -6 -12|0.9 25|10 -7 0 -1 1
1313 聯成|塑膠工業|12 22 9|81 86 -2 -4|1.1 15|11 -2 1 -4 21
1314 中石化|塑膠工業|17 75 35|100 100 21 13|5.2 299|12 3 0 17 -8
1316 上曜|建材營造|48 14 58|85 85 78 119|1.2 181|2 -3 0 17 56
