# 2024-06-03 全池(1268 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|28 3 8|86 95 3 -6|0.9 663|17 6 3 -19 -4
1102 亞泥|水泥工業|-21 -28 -15|90 90 4 -0|1.5 373|16 2 1 7 41
1103 嘉泥|水泥工業|8 2 -21|83 97 6 -4|1.1 8|6 4 0 -8 27
1104 環泥|水泥工業|7 -4 -12|96 96 8 19|0.4 41|15 -16 3 -2 44
1108 幸福|水泥工業|8 -3 -23|95 98 4 12|0.4 15|3 -6 0 -26 18
1109 信大|水泥工業|-20 -33 -27|93 93 9 8|0.5 9|3 -19 0 -2 92
1110 東泥|水泥工業|-6 -1 -25|100 100 27 20|2.7 7|6 8 0 -1 5
1201 味全|食品工業|12 11 1|93 98 2 -1|3.1 12|9 -11 0 30 33
1210 大成|食品工業|-4 -9 -5|91 94 -6 1|0.8 90|11 -18 -2 -17 1
1215 卜蜂|食品工業|-11 -10 -8|93 93 7 11|0.8 56|39 -27 9 -46 60
1216 統一|食品工業|19 18 2|99 99 5 10|1.5 872|38 7 -2 -34 61
1217 愛之味|食品工業|3 -1 -1|84 99 5 4|0.9 13|8 6 0 -9 -11
1218 泰山|食品工業|8 2 -1|74 99 6 6|2.3 27|3 9 0 7 -11
1219 福壽|食品工業|-6 -17 -10|92 97 0 -3|0.8 7|6 -10 0 -10 15
1220 台榮|食品工業|-5 0 -2|90 90 12 11|0.4 8|8 12 0 -19 -2
1225 福懋油|食品工業|-3 -16 -7|100 100 67 68|1.3 7|1 6 0 -2 0
1227 佳格|食品工業|1 -1 -4|99 99 13 8|1.3 55|7 24 0 -3 -21
1229 聯華|食品工業|34 9 -6|97 97 -0 -2|1.0 58|11 6 -0 2 7
1231 聯華食|食品工業|6 6 5|99 99 13 11|0.5 13|3 5 0 106 -15
1232 大統益|食品工業|0 -10 -3|98 98 -0 1|0.9 8|1 2 0 25 5
1234 黑松|食品工業|-4 1 -4|99 99 7 9|0.6 5|6 6 0 -28 2
1256 鮮活果汁-KY|食品工業|-8 -23 -39|65 78 -15 -17|0.7 5|3 1 0 4 25
1268 漢來美食|觀光餐旅|6 40 1|92 97 10 12|0.6 28|2 8 1 -1 11
1301 台塑|塑膠工業|3 -12 -1|72 80 -8 -20|1.4 501|30 -29 0 47 22
1303 南亞|塑膠工業|2 -10 7|67 76 -7 -23|3.0 637|29 -1 -25 151 119
1304 台聚|塑膠工業|2 -11 4|64 76 -12 -20|0.8 41|32 -16 0 -3 12
1305 華夏|塑膠工業|-20 -24 -7|67 75 -8 -24|2.2 30|5 -17 -2 38 10
1307 三芳|塑膠工業|21 -0 1|95 95 20 19|0.4 30|15 5 0 26 -16
1308 亞聚|塑膠工業|1 -8 15|68 75 -15 -23|0.8 19|6 -4 -5 -0 -3
1309 台達化|塑膠工業|28 5 8|77 89 -4 -9|1.1 13|2 2 0 6 3
1310 台苯|塑膠工業|7 -5 3|77 79 -6 -21|1.5 11|6 -2 0 -3 14
1312 國喬|塑膠工業|19 -14 -2|77 89 2 -11|1.4 58|10 -3 0 14 16
1313 聯成|塑膠工業|10 -6 -21|76 81 -9 -17|1.0 27|10 -27 0 13 88
1314 中石化|塑膠工業|13 28 -14|89 89 9 3|0.5 233|12 -0 -1 -3 2
1316 上曜|建材營造|36 4 39|74 74 -26 57|0.7 144|1 -1 0 -4 8
1319 東陽|汽車工業|20 3 -12|88 88 12 55|0.8 524|24 10 -15 17 -13
1321 大洋|塑膠工業|0 -17 -0|90 90 9 -1|0.8 19|8 8 0 -7 -6
1325 恆大|塑膠工業|-17 -26 -7|59 59 -13 -20|0.7 8|3 -0 0 0 -3
1326 台化|塑膠工業|26 7 10|76 82 -4 -18|1.4 253|33 -18 0 58 28
1339 昭輝|汽車工業|-11 -10 -16|87 87 -2 8|0.4 31|4 -11 0 0 27
1342 八貫|其他|-16 7 9|80 80 -12 -0|0.3 24|31 -9 0 -7 15
1402 遠東新|紡織纖維|9 3 1|97 97 7 12|1.7 189|16 11 17 42 -40
1409 新纖|紡織纖維|24 17 14|98 98 -0 7|1.0 51|13 8 0 -33 -18
1414 東和|紡織纖維|32 3 6|97 97 9 17|0.8 8|2 8 0 -28 -0
1416 廣豐|其他|23 -0 -21|93 93 2 15|0.4 9|11 -7 0 -2 -8
1423 利華|紡織纖維|-39 2 10|100 100 22 23|2.1 12|2 2 0 -48 49
1434 福懋|紡織纖維|7 -3 10|86 89 -1 -9|1.2 26|7 6 0 -0 -0
1436 華友聯|建材營造|1534 625 485|92 92 61 97|0.9 75|1 -4 -0 5 43
1437 勤益控|其他|14 6 -4|99 99 15 21|0.7 9|8 12 0 7 -12
1438 三地開發|建材營造|na na na|100 100 28 99|1.2 11|2 7 0 -1 28
1440 南紡|紡織纖維|-14 -26 -11|91 91 20 12|0.7 69|7 -3 0 1 37
