# 2025-03-03 全池(1152 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|69 77 30|99 99 4 6|2.5 689|18 1 7 43 24
1102 亞泥|水泥工業|-9 2 10|92 92 2 -2|1.1 168|20 -1 -3 -2 -21
1103 嘉泥|水泥工業|10 4 2|89 89 -10 -10|6.2 9|6 -23 0 41 -3
1104 環泥|水泥工業|1 -3 -3|83 97 4 1|1.4 9|15 11 1 5 -8
1210 大成|食品工業|-8 -5 3|96 98 5 7|1.1 52|9 30 14 -29 -19
1215 卜蜂|食品工業|-7 -2 3|91 100 4 5|1.5 32|39 12 -0 38 0
1216 統一|食品工業|12 8 -4|93 93 -3 0|1.1 487|38 -17 6 -12 58
1217 愛之味|食品工業|1 8 4|92 97 1 2|0.9 6|9 16 0 -13 -1
1218 泰山|食品工業|-20 -12 -5|85 93 -7 -3|0.9 8|3 14 -2 -20 -12
1225 福懋油|食品工業|-15 -7 6|25 25 -45 -72|0.5 38|3 -8 0 -4 60
1227 佳格|食品工業|-4 4 4|84 90 -6 -8|1.1 13|7 -20 0 -2 2
1229 聯華|食品工業|-19 -20 -15|73 82 -12 -18|0.6 57|10 -10 -0 -1 10
1231 聯華食|食品工業|16 20 6|73 73 10 23|3.9 101|4 9 -0 -10 87
1232 大統益|食品工業|-14 -6 1|99 99 6 5|2.5 7|2 13 0 na -16
1256 鮮活果汁-KY|食品工業|-23 -18 2|59 88 12 -2|1.4 6|4 3 0 85 -8
1301 台塑|塑膠工業|-20 -0 2|52 71 -14 -27|1.2 1020|27 -7 2 -4 29
1303 南亞|塑膠工業|0 7 7|54 71 -18 -29|1.0 390|27 -9 1 5 12
1304 台聚|塑膠工業|-16 -4 -0|65 73 -11 -21|2.0 52|30 -9 -0 27 1
1305 華夏|塑膠工業|-27 -24 -5|63 74 -11 -24|0.9 15|5 -1 0 -8 4
1307 三芳|塑膠工業|-4 4 -1|95 95 21 59|3.3 191|19 8 3 -52 -22
1308 亞聚|塑膠工業|-24 -11 3|66 72 -15 -19|1.1 14|5 10 -6 -7 -11
1309 台達化|塑膠工業|-5 14 -6|65 65 -14 -22|1.1 13|2 -3 3 -14 2
1310 台苯|塑膠工業|-1 10 -11|71 79 -12 -22|0.9 6|6 4 0 8 -0
1312 國喬|塑膠工業|0 8 2|69 78 -10 -20|2.8 48|9 -17 0 7 -3
1316 上曜|建材營造|172 173 36|58 75 1 -21|3.4 78|3 0 0 46 22
1319 東陽|汽車工業|-3 3 -1|92 98 1 24|0.9 271|16 6 -2 14 -20
1321 大洋|塑膠工業|-21 -16 -12|82 91 7 -9|0.4 13|7 -1 0 8 16
1325 恆大|塑膠工業|-36 -28 -2|79 79 13 11|0.7 32|0 -1 0 -3 3
1326 台化|塑膠工業|-15 -8 -12|50 65 -19 -35|1.3 462|32 -14 -1 8 29
1342 八貫|其他|40 20 14|77 96 7 16|0.7 32|29 8 0 -10 -17
1402 遠東新|紡織纖維|-4 4 0|83 83 -9 -12|0.5 238|20 -10 -2 -17 -4
1409 新纖|紡織纖維|-8 18 4|86 93 -5 -6|1.0 20|13 9 0 4 -6
1414 東和|紡織纖維|-15 -18 -8|87 87 -1 2|1.3 12|1 -1 0 -2 -1
1432 大魯閣|運動休閒|19 9 9|76 85 -6 7|3.2 9|2 -6 0 na na
1434 福懋|紡織纖維|-3 4 3|81 89 -7 -11|1.4 21|7 12 0 3 0
1436 華友聯|建材營造|5817 3855 1675|73 85 13 -14|3.2 122|4 1 1 67 9
1438 三地開發|建材營造|na na na|57 65 -5 -31|0.4 7|1 -5 0 -5 10
1440 南紡|紡織纖維|-10 -9 2|74 91 -3 -9|1.3 9|7 1 1 -5 0
1442 名軒|建材營造|-63 -77 -684|96 96 2 35|0.3 91|11 13 14 -13 -0
1446 宏和|紡織纖維|202 17 -2903|73 75 -21 -10|0.8 25|4 -3 0 13 20
1449 佳和|紡織纖維|-52 -14 -10|64 64 -25 -9|0.2 15|6 -1 0 -2 15
1464 得力|紡織纖維|14 21 -1|100 100 20 41|0.7 25|6 8 0 -1 -9
1473 台南|紡織纖維|1 4 -13|69 96 5 4|1.0 6|6 8 0 11 -31
1476 儒鴻|紡織纖維|27 17 -3|89 89 -6 -4|2.1 281|39 3 -1 -8 -13
1477 聚陽|紡織纖維|27 14 4|84 99 17 1|0.8 391|21 -4 6 -20 8
1503 士電|電機機械|9 19 9|53 79 -10 -19|2.4 247|31 -9 0 38 109
1504 東元|電機機械|-12 -6 2|92 97 8 11|0.4 168|10 8 -1 7 -15
1513 中興電|電機機械|-1 14 -2|63 85 -9 -16|1.8 555|10 -11 -0 17 48
1514 亞力|電機機械|-12 -19 -12|62 82 -3 -19|4.1 163|13 -5 0 29 38
1515 力山|電機機械|-59 -64 -94|72 96 15 -0|2.7 14|7 2 0 65 -16
1519 華城|電機機械|89 42 -17|61 90 9 -10|2.1 1846|20 -1 2 13 -26
1522 堤維西|汽車工業|-9 2 -1|87 93 -1 -6|0.6 115|7 1 0 0 -13
1524 耿鼎|汽車工業|-16 11 5|89 89 -7 21|0.3 68|2 -9 -0 6 14
1527 鑽全|電機機械|-5 1 -12|91 91 1 -8|1.4 9|11 -7 0 12 17
1528 恩德|電機機械|-35 -21 -15|82 82 0 25|4.4 53|3 -6 0 92 18
1529 樂事綠能|電機機械|24 -3 -30|63 79 -6 -22|1.8 6|1 -3 0 -1 -9
1532 勤美|電機機械|-21 -26 -46|60 81 -6 -18|1.9 49|12 -15 -0 11 14
1536 和大|汽車工業|-26 -26 -12|90 90 20 17|2.0 2252|14 4 0 32 -37
1537 廣隆|電機機械|3 14 -12|95 95 -5 9|0.6 17|21 -30 -0 11 11
1539 巨庭|電機機械|-4 -28 -19|69 69 -5 1|0.8 10|3 -9 0 8 -7
1540 喬福|電機機械|-10 -37 -53|77 77 -0 -9|4.4 94|1 -1 -0 21 7
1558 伸興|電機機械|12 8 0|94 94 6 4|0.9 9|7 1 0 -14 1
1560 中砂|電機機械|4 14 5|70 70 -12 -21|0.9 394|21 -10 -5 -0 -33
1563 巧新|汽車工業|-13 -15 na|na 100 7 1|1.2 47|2 10 0 -6 -24
1565 精華|生技醫療|-19 -2 -2|79 79 -18 8|0.5 25|17 -17 -4 -0 -2
1569 濱川|電腦及週|15 15 24|97 97 23 173|3.7 328|6 1 0 16 2
1570 力肯|電機機械|57 73 -45|70 88 8 -11|1.1 7|7 0 0 10 -7
1580 新麥|電機機械|-6 9 8|97 97 2 -0|1.9 7|6 5 0 5 -1
