# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-1 -12 -11|81 90 -6 -9|1.1 388|17 -7 1 1 12
1102 亞泥|水泥工業|35 -2 1|94 95 -4 -0|0.5 91|16 7 -4 -2 -11
1104 環泥|水泥工業|35 20 3|98 98 6 7|1.0 19|16 -3 -0 -2 -3
1108 幸福|水泥工業|55 31 1|89 98 6 6|1.3 6|2 -7 0 -5 -22
1201 味全|食品工業|15 17 7|91 97 -0 1|1.9 5|9 1 0 26 -9
1210 大成|食品工業|3 -4 -4|95 99 7 8|0.8 87|11 0 -2 -18 15
1215 卜蜂|食品工業|6 -4 -7|99 99 4 5|1.0 30|40 -1 7 -1 -6
1216 統一|食品工業|28 19 5|99 99 5 4|0.8 395|38 14 3 -10 83
1217 愛之味|食品工業|3 -1 -3|80 92 0 -8|0.9 10|8 15 -3 -6 -31
1218 泰山|食品工業|13 2 -0|65 86 -2 -13|1.1 11|2 -2 -0 -0 2
1227 佳格|食品工業|37 6 3|91 94 -4 -2|1.1 14|6 -21 -0 -2 2
1229 聯華|食品工業|30 38 22|95 95 -1 8|1.1 52|12 -9 -0 7 -6
1231 聯華食|食品工業|8 -2 -4|94 97 -3 1|1.3 11|2 -6 0 -3 -8
1232 大統益|食品工業|3 -11 -8|98 100 1 1|1.8 6|1 -4 0 8 -16
1268 漢來美食|觀光餐旅|-5 8 -30|82 93 1 6|1.2 11|1 -7 0 -22 0
1301 台塑|塑膠工業|22 2 16|79 86 -12 -11|1.0 377|31 -12 -1 -7 -1
1303 南亞|塑膠工業|1 -11 12|75 84 -14 -13|1.6 271|29 -13 2 13 9
1304 台聚|塑膠工業|11 -6 11|69 83 -8 -14|0.6 14|33 4 -2 0 -5
1305 華夏|塑膠工業|-16 -10 8|71 76 -14 -16|0.9 18|7 -9 -3 -7 15
1307 三芳|塑膠工業|26 9 12|98 98 2 11|1.2 9|13 -2 -0 1 -14
1308 亞聚|塑膠工業|28 -11 14|75 84 -8 -13|0.9 12|7 7 -4 3 -3
1309 台達化|塑膠工業|37 14 23|74 91 -2 -5|0.7 11|2 -0 0 10 -6
1310 台苯|塑膠工業|51 19 33|81 85 -14 -6|0.7 6|7 -1 0 -6 -14
1312 國喬|塑膠工業|-2 -4 7|70 82 -13 -14|0.5 26|11 -1 0 -19 -3
1313 聯成|塑膠工業|95 44 28|84 90 -7 -4|0.8 19|11 -2 0 11 -21
1316 上曜|建材營造|67 11 47|100 100 83 110|5.4 173|3 -2 0 53 98
1319 東陽|汽車工業|53 35 17|100 100 36 52|1.2 596|27 8 3 -42 12
1325 恆大|塑膠工業|30 -3 15|71 71 26 50|0.3 50|1 -1 0 -22 20
1326 台化|塑膠工業|10 6 15|79 85 -11 -9|1.0 183|34 6 0 9 -11
