# 2022-07-01 全池(977 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-21 -11 -9|78 80 -20 -16|0.9 699|22 -4 -2 -0 3
1102 亞泥|水泥工業|3 10 1|89 91 -9 0|0.9 252|17 7 -31 19 6
1103 嘉泥|水泥工業|-17 -6 -6|80 84 -14 -13|0.7 6|5 1 0 -9 -6
1104 環泥|水泥工業|1 8 -0|95 98 2 0|0.9 12|13 24 0 -23 -11
1201 味全|食品工業|0 0 -3|84 88 -6 -9|0.4 10|11 -1 0 -5 -1
1210 大成|食品工業|5 4 -14|85 85 -12 -9|0.4 35|11 -2 0 -10 -14
1215 卜蜂|食品工業|11 14 -2|93 93 -2 -1|0.8 23|39 7 -4 -17 -18
1216 統一|食品工業|9 10 4|93 97 3 -1|1.2 368|41 3 3 -16 5
1217 愛之味|食品工業|-13 1 -2|79 79 -12 -4|0.2 13|6 2 0 -9 -17
1218 泰山|食品工業|9 12 -3|96 96 10 14|0.2 14|3 12 0 -30 -6
1219 福壽|食品工業|23 25 8|71 71 0 0|0.2 33|6 9 0 -42 -9
1220 台榮|食品工業|15 5 -8|62 62 -11 -2|0.1 11|8 3 0 -25 11
1227 佳格|食品工業|-17 -3 4|86 86 -8 -13|0.6 40|7 20 -20 -3 -3
1229 聯華|食品工業|8 18 -3|78 78 -14 -10|0.5 62|11 15 -0 -6 -14
1231 聯華食|食品工業|13 15 7|96 96 7 25|1.0 24|3 3 0 2 -35
1232 大統益|食品工業|20 13 1|94 96 2 -0|0.9 19|1 5 37 -11 -18
1236 宏亞|食品工業|42 38 30|83 84 -1 -8|2.9 34|1 2 0 -0 -9
1301 台塑|塑膠工業|2 4 -27|92 99 1 3|1.3 933|36 -11 10 -61 77
1303 南亞|塑膠工業|-5 -4 -36|88 88 -12 -4|1.0 687|31 -32 10 -27 13
1304 台聚|塑膠工業|7 -2 -27|58 74 -20 -24|0.6 61|33 7 -0 -18 -2
1305 華夏|塑膠工業|17 11 -21|64 81 -16 -14|0.6 28|10 18 -0 -12 -21
1308 亞聚|塑膠工業|18 -2 -52|54 67 -27 -26|0.6 56|7 -2 -5 -15 4
1309 台達化|塑膠工業|-11 -11 -24|64 76 -21 -22|1.0 13|3 11 0 -20 -3
1310 台苯|塑膠工業|14 40 -3|61 79 -17 -19|3.6 13|7 14 0 -7 -7
1312 國喬|塑膠工業|-9 -8 -18|66 76 -18 -23|1.0 68|15 -0 -0 -7 -9
1313 聯成|塑膠工業|8 2 -29|53 71 -17 -26|0.8 21|10 10 0 -19 -9
1316 上曜|建材營造|99 152 73|54 54 -30 -28|0.5 38|2 1 0 -7 -0
1319 東陽|汽車工業|22 19 9|90 90 48 44|2.6 541|23 8 3 143 25
1325 恆大|塑膠工業|-60 -64 12|32 45 -43 -42|0.3 8|5 2 0 -15 -0
1326 台化|塑膠工業|9 11 -19|93 95 -2 -3|1.8 446|34 1 2 18 -10
1338 廣華-KY|汽車工業|15 -2 -9|84 92 -0 -1|1.7 30|11 16 1 -5 -2
1339 昭輝|汽車工業|6 2 12|89 89 11 11|1.9 16|2 4 0 22 25
1342 八貫|其他|38 40 -7|83 83 -0 -0|0.6 14|53 -7 0 31 47
1402 遠東新|紡織纖維|16 18 1|97 97 2 7|1.2 222|18 20 7 6 -5
1409 新纖|紡織纖維|9 10 -20|83 83 -14 -11|0.7 28|13 -20 0 -6 0
1432 大魯閣|運動休閒|56 25 36|59 59 -11 0|0.6 9|0 -1 0 0 na
1434 福懋|紡織纖維|5 4 -10|82 90 -6 -10|0.7 40|9 -16 -0 3 -13
1440 南紡|紡織纖維|24 4 -6|62 71 -24 -28|0.7 36|6 20 -0 -12 -21
1444 力麗|紡織纖維|31 49 3|74 88 -11 -10|0.7 14|6 -4 0 -4 -2
1451 年興|紡織纖維|51 26 9|94 94 13 9|1.1 13|8 6 0 8 17
1453 大將|建材營造|62495 67317 33157|51 51 62 105|0.4 78|4 -0 0 -13 -43
1454 台富|紡織纖維|45 38 -10|72 72 -14 -11|0.4 14|1 1 0 -0 -11
1455 集盛|紡織纖維|-21 7 -27|43 62 -38 -35|0.8 16|2 8 0 -18 -16
1457 宜進|紡織纖維|9 16 -30|90 90 -3 -6|1.0 12|2 -3 0 -3 1
1467 南緯|紡織纖維|7 6 26|84 90 -2 -3|1.3 15|21 4 0 -11 0
1476 儒鴻|紡織纖維|1 13 -4|61 63 -15 -36|1.4 316|40 10 1 -12 -45
1477 聚陽|紡織纖維|54 17 -1|54 57 -29 -41|1.6 205|24 -8 2 -12 17
1503 士電|電機機械|6 5 -1|96 96 16 12|1.7 25|32 6 0 23 -20
1504 東元|電機機械|11 12 -1|90 91 -3 -3|2.6 97|20 -10 -0 48 23
1506 正道|電機機械|22 23 -8|79 79 18 7|0.3 9|0 -1 0 na na
1513 中興電|電機機械|35 4 -11|96 96 3 24|3.3 391|12 1 2 2 20
1514 亞力|電機機械|28 41 17|91 91 4 13|1.7 115|15 1 0 2 52
1515 力山|電機機械|-84 -77 -72|33 49 -36 -51|0.9 33|10 -0 0 -26 -12
1516 川飛|其他|94 41 -37|66 66 -34 -10|0.6 11|3 -4 0 -27 11
1517 利奇|電機機械|16 9 -14|67 76 -9 -22|3.6 18|3 4 0 13 -6
1519 華城|電機機械|-14 -21 -19|73 76 -24 -9|1.2 20|7 -1 0 -0 -11
1522 堤維西|汽車工業|19 20 5|91 91 52 44|0.9 465|12 2 -0 -3 -10
1524 耿鼎|汽車工業|32 50 32|77 77 72 66|1.0 777|3 -0 0 -41 -3
1526 日馳|電機機械|29 32 -13|74 80 -7 -9|1.4 16|4 -2 0 7 -4
1527 鑽全|電機機械|-3 5 -10|85 91 1 -1|0.7 50|11 18 0 -33 -6
