# 2026-03-02 全池(1212 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|0 -11 -12|78 99 24 14|0.9 827|19 -4 -0 -25 31
1102 亞泥|水泥工業|2 -10 -5|80 92 -7 -5|1.1 346|17 -4 -13 -6 38
1104 環泥|水泥工業|4 0 -0|91 91 -4 -1|1.5 18|16 -4 0 -11 -6
1210 大成|食品工業|12 5 4|81 93 -0 -3|1.2 85|10 -8 -6 -7 -22
1215 卜蜂|食品工業|13 9 6|100 100 14 16|0.7 117|42 4 5 -23 13
1216 統一|食品工業|1 0 -1|88 91 -2 -4|1.4 658|33 -2 -9 1 11
1217 愛之味|食品工業|-2 -6 -5|88 95 1 -4|1.9 6|8 3 0 12 -4
1218 泰山|食品工業|6 3 6|85 93 0 -2|1.7 10|3 3 0 2 4
1227 佳格|食品工業|16 -2 -1|82 88 -3 -1|2.2 23|6 -5 0 6 5
1229 聯華|食品工業|15 14 7|86 89 -7 -9|1.7 79|10 -4 1 -5 37
1231 聯華食|食品工業|-1 -3 -7|49 62 -12 -38|2.9 34|3 -5 0 -31 13
1232 大統益|食品工業|21 7 6|97 100 5 3|2.2 11|2 16 0 -56 3
1256 鮮活果汁-KY|食品工業|36 45 34|88 88 19 34|1.0 9|4 -1 0 25 24
1295 生合|食品工業|14 8 -3|na 49 -16 -41|0.9 6|3 -3 0 24 4
1301 台塑|塑膠工業|-1 -13 -3|95 95 25 24|1.8 1891|30 7 1 4 -10
1303 南亞|塑膠工業|12 1 -1|94 94 63 102|1.1 9124|32 10 0 -23 -73
1304 台聚|塑膠工業|-3 -16 -4|96 96 21 12|1.1 69|29 3 0 2 -14
1305 華夏|塑膠工業|4 -15 -2|89 95 16 0|1.4 35|5 -2 0 -5 4
1307 三芳|塑膠工業|20 4 1|68 94 2 7|2.2 28|7 5 -0 32 -11
1308 亞聚|塑膠工業|2 -7 -6|92 94 11 9|1.1 27|6 2 0 4 14
1309 台達化|塑膠工業|-12 -30 -10|81 96 17 3|1.5 19|2 -2 0 28 13
1312 國喬|塑膠工業|84 69 15|91 91 25 27|1.2 103|7 3 0 -21 0
