# 2025-09-01 全池(1166 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-6 -14 -51|66 67 -15 -33|1.3 515|17 -20 0 27 97
1102 亞泥|水泥工業|-13 -9 -10|81 81 -9 -13|0.8 220|20 -19 -3 206 -11
1103 嘉泥|水泥工業|-3 -1 -5|75 81 -9 -17|0.9 5|4 -19 0 13 6
1104 環泥|水泥工業|-7 -9 -6|97 97 3 3|1.7 18|16 23 -0 3 -20
1210 大成|食品工業|-7 -5 -2|84 84 -9 -1|0.5 135|12 -11 0 17 -10
1215 卜蜂|食品工業|2 3 3|97 97 18 33|0.4 98|45 4 -3 -9 -30
1216 統一|食品工業|-4 1 -5|89 92 2 -3|0.7 666|36 -15 0 85 -21
1217 愛之味|食品工業|-6 -1 -5|91 93 2 -8|1.6 6|8 8 0 11 -6
1218 泰山|食品工業|-9 -3 4|88 88 -8 -4|0.5 9|3 -16 0 -26 24
1225 福懋油|食品工業|-5 -1 4|17 49 -18 -51|0.3 6|2 -13 0 -9 na
1227 佳格|食品工業|-10 -5 -6|80 83 -6 -14|0.9 15|6 -30 -0 12 38
1229 聯華|食品工業|3 2 12|79 96 8 -3|1.2 80|9 -0 -0 33 1
1231 聯華食|食品工業|3 8 -4|76 88 3 -7|0.9 56|3 -3 -0 -2 -7
1232 大統益|食品工業|-5 -7 -2|94 94 -5 1|0.4 7|2 -23 0 -8 1
1268 漢來美食|觀光餐旅|4 7 -4|100 100 6 7|1.4 8|1 3 0 -39 -44
1295 生合|食品工業|-19 4 na|na na 24 na|1.7 148|3 3 0 na 29
1301 台塑|塑膠工業|-18 -16 -13|74 91 11 1|1.0 954|27 -1 -1 -7 -9
1303 南亞|塑膠工業|-6 -5 -9|92 92 49 29|1.6 3912|27 -3 0 19 69
1304 台聚|塑膠工業|-22 -18 -10|65 87 9 -14|0.9 21|29 -2 0 -23 -7
1305 華夏|塑膠工業|-25 -19 1|67 87 12 -15|0.9 12|4 4 0 -13 -9
1307 三芳|塑膠工業|-12 -5 -11|62 67 -12 -35|0.4 31|7 -17 -0 1 32
1308 亞聚|塑膠工業|-18 -10 1|62 83 3 -19|1.0 16|5 0 0 -6 -6
1309 台達化|塑膠工業|-29 -27 -30|54 79 4 -25|1.1 9|2 -1 0 19 -7
1313 聯成|塑膠工業|-15 -19 -4|83 92 26 10|0.6 33|8 4 0 -18 -41
1316 上曜|建材營造|176 157 -30|61 66 -12 -14|0.9 43|3 -7 0 -20 8
1319 東陽|汽車工業|-18 -14 -19|77 77 -11 -11|0.6 213|17 -14 -3 17 -9
1321 大洋|塑膠工業|-13 -26 -16|83 95 1 -0|2.1 7|7 -4 0 35 -39
1325 恆大|塑膠工業|-20 -3 8|68 68 -23 -6|0.6 11|2 0 0 -12 1
1326 台化|塑膠工業|-22 -24 -12|69 98 26 5|0.8 483|32 2 2 -6 12
1336 台翰|電子零組|-16 -8 -19|63 66 -10 -28|0.8 6|5 -3 0 16 22
1342 八貫|其他|14 6 -4|81 86 -4 -16|2.7 10|28 -15 0 15 -22
1402 遠東新|紡織纖維|-11 -12 -9|73 81 -14 -15|1.0 174|18 -17 -0 17 -10
1409 新纖|紡織纖維|-25 -20 -19|86 86 22 -1|1.8 284|10 -8 -0 287 316
1414 東和|紡織纖維|-22 -16 -2|66 77 -13 -24|1.2 9|1 -7 0 28 5
1419 新紡|紡織纖維|25 16 -10|67 67 -23 27|0.2 15|1 -1 -0 15 4
1434 福懋|紡織纖維|-4 -8 -9|76 83 3 -16|0.7 19|7 3 -2 12 -11
