# 2026-01-02 全池(1043 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-20 -12 -25|68 93 -3 -6|1.1 499|18 1 -1 -4 -0
1102 亞泥|水泥工業|-18 -10 -7|84 92 1 -3|2.4 491|18 -47 39 -51 167
1104 環泥|水泥工業|-7 8 8|91 91 -2 9|0.6 16|16 -22 0 -13 -30
1210 大成|食品工業|-1 -1 1|81 84 0 -15|0.4 53|10 -25 -0 10 -4
1215 卜蜂|食品工業|2 1 0|90 90 -4 4|0.9 166|41 -38 31 -12 229
1216 統一|食品工業|-1 -0 -3|92 92 0 -4|1.2 655|33 -39 48 11 56
1227 佳格|食品工業|-5 0 0|83 89 0 -4|0.6 9|6 2 -0 1 -3
1229 聯華|食品工業|15 24 24|91 93 -3 6|0.7 47|10 5 -0 -4 -3
1231 聯華食|食品工業|0 6 -3|54 63 -21 -30|0.7 23|3 -13 0 -2 7
1232 大統益|食品工業|-3 0 3|92 95 -1 -4|0.8 6|2 -2 0 0 -10
1295 生合|食品工業|2 13 3|na 55 -25 -35|0.4 8|2 11 0 83 14
1301 台塑|塑膠工業|-26 -19 -9|88 88 5 14|0.6 587|27 -33 -0 -1 36
1303 南亞|塑膠工業|-4 -2 -5|84 84 48 113|0.7 3963|27 -7 -2 26 22
1304 台聚|塑膠工業|-28 -19 -8|85 87 8 17|0.7 38|28 -15 0 -17 25
1305 華夏|塑膠工業|-36 -29 -12|78 85 -1 11|0.8 12|4 -23 0 -7 20
1307 三芳|塑膠工業|-6 1 -2|63 88 3 -8|0.7 23|6 -13 -0 -8 5
1308 亞聚|塑膠工業|-12 8 11|86 88 12 17|0.5 19|5 -8 0 -8 -6
1309 台達化|塑膠工業|-45 -35 -19|72 87 2 10|0.7 11|2 -6 0 -3 7
1312 國喬|塑膠工業|59 84 41|89 93 24 23|1.2 52|6 -3 0 1 1
1316 上曜|建材營造|266 197 -19|77 91 2 12|0.8 44|5 6 -0 -3 -10
1319 東陽|汽車工業|-8 -7 -8|73 90 5 3|1.0 231|13 -1 -7 -1 25
1325 恆大|塑膠工業|-9 -11 -2|74 93 -1 5|0.4 10|3 -4 0 -4 3
