# 2025-08-01 全池(1005 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-26 -9 -52|71 71 -18 -20|0.6 468|18 -6 -0 18 1
1102 亞泥|水泥工業|-12 -1 -3|89 90 -6 4|0.4 506|21 -2 -14 31 -8
1104 環泥|水泥工業|-5 -6 -4|85 92 -2 0|0.9 9|15 9 1 34 -9
1210 大成|食品工業|-3 -2 1|92 92 -2 14|0.6 150|13 -8 11 25 -1
1215 卜蜂|食品工業|4 5 5|90 90 13 27|0.4 99|45 6 -4 24 -9
1216 統一|食品工業|1 5 -2|91 95 2 4|0.7 931|36 -19 8 7 26
1218 泰山|食品工業|-1 -4 4|88 88 -11 1|0.6 13|3 -8 0 34 21
1227 佳格|食品工業|1 -3 -4|83 87 -12 -5|0.7 13|6 -10 -2 2 3
1229 聯華|食品工業|23 1 11|66 87 1 -9|1.0 84|9 -3 0 -3 -9
1231 聯華食|食品工業|11 12 -1|78 78 0 -11|0.9 23|4 -15 -3 18 13
1232 大統益|食品工業|-5 -4 -0|94 94 -5 5|0.7 7|3 -15 1 23 -2
1301 台塑|塑膠工業|-16 -11 -10|69 95 16 23|2.7 1157|27 -1 0 58 1
1303 南亞|塑膠工業|-6 -1 -6|80 97 32 36|5.3 634|28 -5 2 86 24
1304 台聚|塑膠工業|-14 -14 -10|62 83 2 -4|2.0 25|29 9 0 -5 -14
1305 華夏|塑膠工業|-11 -14 4|63 83 -0 -3|2.1 17|4 3 0 37 -12
1307 三芳|塑膠工業|3 -1 -9|68 68 -7 -14|0.8 59|8 -14 0 6 27
1308 亞聚|塑膠工業|-18 -9 -0|61 80 -2 -10|2.1 17|5 8 0 30 -30
1309 台達化|塑膠工業|-24 -22 -32|54 75 -4 -10|2.1 10|2 1 0 -10 -22
1312 國喬|塑膠工業|-21 7 -19|65 80 -16 -8|1.9 33|6 -7 0 6 12
1313 聯成|塑膠工業|-15 -20 -7|82 100 24 24|2.4 49|7 7 0 95 -3
1316 上曜|建材營造|114 155 -29|61 72 -14 -2|0.4 32|4 8 0 -0 -9
1319 東陽|汽車工業|-9 -5 -11|78 78 -12 -6|0.8 377|18 5 -9 -15 -6
1325 恆大|塑膠工業|1 9 21|70 70 5 -17|0.1 9|2 10 0 -12 -9
1326 台化|塑膠工業|-21 -24 -15|56 93 12 9|3.2 473|32 -4 -1 36 -0
1342 八貫|其他|0 13 5|77 77 -11 -22|0.8 10|29 -11 0 -4 -4
1402 遠東新|紡織纖維|-10 -11 -10|78 86 -11 -4|0.7 375|19 -26 5 158 99
