# 2025-05-02 全池(1104 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-0 53 -3|85 85 -6 -7|0.5 437|17 -9 2 -1 1
1102 亞泥|水泥工業|2 3 3|94 94 10 -4|0.9 312|22 10 -6 -28 13
1104 環泥|水泥工業|-6 2 1|77 91 -1 -6|0.7 9|15 -6 -1 -11 -6
1110 東泥|水泥工業|24 29 -5|78 88 -2 -11|1.1 7|7 -4 0 -39 15
1210 大成|食品工業|2 2 6|99 99 13 17|1.7 134|11 18 9 -3 -14
1215 卜蜂|食品工業|-2 -3 1|89 97 8 5|0.6 29|39 8 1 -29 -4
1216 統一|食品工業|7 6 -4|87 87 -1 -12|0.9 1196|38 4 3 -14 31
1217 愛之味|食品工業|8 2 -3|88 94 -2 -2|0.8 11|8 -8 0 -39 8
1218 泰山|食品工業|-5 -8 -1|88 96 7 4|0.7 15|3 -7 0 -26 9
1227 佳格|食品工業|-3 5 3|83 92 1 -7|1.0 16|7 8 0 -2 5
1229 聯華|食品工業|-36 -18 -11|63 73 -13 -26|0.9 50|10 -2 0 12 -9
1231 聯華食|食品工業|10 7 -6|76 76 -10 21|0.3 39|4 1 2 -27 1
1232 大統益|食品工業|1 -3 1|97 99 5 0|1.2 15|2 0 -2 -8 4
1301 台塑|塑膠工業|-3 0 -2|51 71 1 -27|0.5 381|27 0 -5 -8 0
1303 南亞|塑膠工業|7 13 7|54 71 -1 -26|0.4 245|26 -6 1 -28 4
1304 台聚|塑膠工業|5 2 1|60 71 -8 -27|0.4 13|29 6 0 -28 0
1305 華夏|塑膠工業|-15 -14 2|60 69 -9 -31|0.4 7|5 7 0 -32 -3
1307 三芳|塑膠工業|9 16 5|75 75 5 -2|0.7 59|19 -8 -2 -50 -12
1308 亞聚|塑膠工業|16 -0 9|64 64 -11 -23|0.8 7|5 18 -6 -25 -3
1309 台達化|塑膠工業|11 13 -12|56 63 -8 -33|0.3 6|2 13 -5 -32 -3
1312 國喬|塑膠工業|189 85 52|76 95 5 -4|0.7 63|8 9 0 -7 -4
1316 上曜|建材營造|233 252 65|70 83 16 10|0.5 206|4 1 0 -33 16
1319 東陽|汽車工業|12 22 11|94 94 22 25|0.9 798|18 -2 5 20 32
1321 大洋|塑膠工業|-17 -6 -7|81 93 -0 4|0.4 6|7 1 0 -14 3
1325 恆大|塑膠工業|22 -9 12|71 71 -23 -0|0.9 6|2 8 0 -25 -1
1326 台化|塑膠工業|-8 -6 -10|44 64 -10 -36|0.4 177|32 0 0 -15 -2
1336 台翰|電子零組|16 15 -1|75 75 -6 -12|0.7 9|7 0 0 -11 -4
1342 八貫|其他|24 26 20|78 87 -9 0|0.8 26|29 6 0 -21 1
1402 遠東新|紡織纖維|-3 -2 -6|86 88 9 -12|0.6 181|19 -12 9 -14 25
1409 新纖|紡織纖維|-7 -3 -14|73 80 -14 -17|0.6 13|13 9 0 -27 1
1414 東和|紡織纖維|-3 -4 3|77 77 -20 -11|0.7 7|1 3 0 -18 -6
1434 福懋|紡織纖維|7 8 3|71 81 -10 -15|0.6 15|7 12 0 -22 -3
1436 華友聯|建材營造|3631 3283 795|63 83 1 -2|0.4 32|3 -1 -1 -42 7
1440 南紡|紡織纖維|-3 -0 5|66 85 -3 -13|1.4 9|7 11 0 -3 -3
1442 名軒|建材營造|-30 -4 -596|85 85 -12 15|0.7 60|11 2 1 -58 4
1446 宏和|紡織纖維|-31 25 -2386|45 46 -33 -36|0.3 9|4 13 0 -33 -5
1449 佳和|紡織纖維|-20 -17 -14|48 48 -28 -39|0.7 7|9 11 0 -14 -12
1463 強盛新|紡織纖維|-19 789 491|77 77 -2 1|0.5 12|11 4 0 -44 25
1464 得力|紡織纖維|21 43 10|75 75 -15 -12|0.4 13|6 -8 0 -7 5
1466 聚隆|紡織纖維|-1 19 -2|76 76 25 14|0.5 9|2 -1 0 -32 15
