# 2024-03 事件流(439 事件,按日排序)。欄位:日期|代碼 名稱|產業|事件|最新YoY 3月YoY|距52高% 距120高% 120日漲% 量能x
2024-03-27|1795 美時|生技醫療|創高|-3 1|91 102 29 3.9
2024-03-27|2010 春源|鋼鐵工業|創高|-15 15|100 101 8 2.3
2024-03-27|2105 正新|橡膠工業|創高|-21 6|100 101 17 2.3
2024-03-27|2354 鴻準|其他電子|創高|-65 -66|100 108 10 7.0
2024-03-27|2520 冠德|建材營造|創高|-33 -7|100 101 25 4.1
2024-03-27|2630 亞航|航運業|爆量急漲|12 27|61 98 -2 6.3
2024-03-27|2634 漢翔|航運業|爆量急漲|-14 8|83 94 -6 6.0
2024-03-27|3004 豐達科|鋼鐵工業|創高|9 23|91 103 17 4.3
2024-03-27|3045 台灣大|通信網路|創高|11 12|100 101 9 1.7
2024-03-27|3441 聯一光電|光電業|爆量急漲|-64 0|74 90 -9 11.5
2024-03-27|3498 陽程|其他電子|爆量急漲|-80 -79|89 100 24 6.4
2024-03-27|4127 天良|生技醫療|爆量急漲|-8 -3|100 110 142 9.3
2024-03-27|4541 晟田|其他|爆量急漲|-41 -3|65 89 -11 6.7
2024-03-27|4961 天鈺|半導體業|爆量急漲|-28 -12|97 97 10 5.1
2024-03-27|5222 全訊|半導體業|創高|9 14|92 101 15 3.8
2024-03-27|5309 系統電|電子零組|爆量急漲|-0 1|83 105 11 9.6
2024-03-27|5471 松翰|半導體業|爆量急漲|-8 20|92 92 21 10.7
2024-03-27|5515 建國|建材營造|爆量急漲|10 -3|100 105 55 7.0
2024-03-27|5603 陸海|航運業|創高|-31 -17|100 100 19 4.0
2024-03-27|6171 大城地產|建材營造|創高|-100 na|100 102 59 2.4
2024-03-27|8390 金益鼎|綠能環保|創高|2 23|93 101 6 3.8
2024-03-27|9904 寶成|運動休閒|創高|5 1|100 102 21 2.2
2024-03-28|1731 美吾華|生技醫療|爆量急漲|24 28|100 104 36 5.3
2024-03-28|2106 建大|橡膠工業|創高|-11 4|100 100 9 3.4
2024-03-28|2114 鑫永銓|橡膠工業|創高|-26 -2|99 100 3 2.6
2024-03-28|2382 廣達|電腦及週|創高|1 -10|100 105 26 2.6
2024-03-28|3171 炎洲流通|居家生活|爆量急漲|-20 -2|97 97 73 7.1
2024-03-28|3710 連展投控|電子零組|爆量急漲|13 35|82 98 9 6.4
2024-03-28|4958 臻鼎-KY|電子零組|爆量急漲|-13 -7|100 108 27 8.7
2024-03-28|5432 新門|綠能環保|創高|-34 29|100 103 167 2.3
2024-03-28|8121 越峰|電子零組|創高|-4 9|93 108 22 23.4
2024-03-28|8442 威宏-KY|其他|創高|-24 7|100 101 56 3.5
2024-03-29|1232 大統益|食品工業|創高|-23 -13|99 101 4 1.9
2024-03-29|2891 中信金|金融保險|創高|97 245|100 101 35 2.0
2024-03-29|5371 中光電|光電業|創高|-12 -1|95 102 3 9.0
2024-03-29|6213 聯茂|電子零組|創高+爆量急漲|-17 -2|100 103 10 8.7
2024-03-29|6578 達邦蛋白|農業科技|創高|-20 5|100 101 48 6.0
2024-03-29|8103 瀚荃|電子零組|創高|-24 2|100 101 22 5.5
2024-03-29|8390 金益鼎|綠能環保|爆量急漲|2 23|97 104 14 7.5
