# 2023-02 事件流(256 事件,按日排序)。欄位:日期|代碼 名稱|產業|事件|最新YoY 3月YoY|距52高% 距120高% 120日漲% 量能x
2023-02-01|1443 立益物流|其他|創高+爆量急漲|-19 -35|100 110 101 14.0
2023-02-01|1589 永冠-KY|電機機械|創高+爆量急漲|16 21|95 107 23 9.5
2023-02-01|1773 勝一|化學工業|爆量急漲|-21 -19|77 94 -4 5.5
2023-02-01|1809 中釉|玻璃陶瓷|創高|-9 4|97 101 24 7.6
2023-02-01|2065 世豐|鋼鐵工業|創高|-12 -8|100 101 19 2.7
2023-02-01|2351 順德|半導體業|爆量急漲|-13 -6|77 98 7 8.3
2023-02-01|2492 華新科|電子零組|爆量急漲|-19 -16|65 104 8 7.0
2023-02-01|2493 揚博|電子零組|創高|8 6|100 102 12 2.8
2023-02-01|2727 王品|觀光餐旅|爆量急漲|-5 -0|100 110 60 6.1
2023-02-01|2729 瓦城|觀光餐旅|創高|6 3|100 101 29 3.6
2023-02-01|3227 原相|半導體業|爆量急漲|-31 -37|83 107 22 6.2
2023-02-01|3526 凡甲|電子零組|爆量急漲|-29 -23|68 84 -8 5.2
2023-02-01|3591 艾笛森|光電業|創高+爆量急漲|-16 -11|94 108 20 10.6
2023-02-01|4113 聯上|建材營造|創高|-100 -100|91 102 12 1.9
2023-02-01|5285 界霖|半導體業|爆量急漲|-15 -15|72 82 -11 9.6
2023-02-01|5439 高技|電子零組|創高|43 13|100 104 37 5.8
2023-02-01|6173 信昌電|電子零組|爆量急漲|-36 -39|69 92 -0 5.6
2023-02-01|6188 廣明|電腦及週|創高|-3 10|100 100 7 1.8
2023-02-01|6462 神盾|半導體業|爆量急漲|-11 6|66 82 -13 5.6
2023-02-01|6612 奈米醫材|生技醫療|創高+爆量急漲|28 22|100 107 73 9.3
2023-02-02|1611 中電|電器電纜|爆量急漲|-13 -16|71 80 -20 6.7
2023-02-02|1785 光洋科|其他電子|爆量急漲|-34 -37|73 96 6 6.9
2023-02-02|2342 茂矽|半導體業|創高|-13 -6|94 101 17 2.3
2023-02-02|2344 華邦電|半導體業|爆量急漲|-25 -26|68 102 6 6.2
2023-02-02|2354 鴻準|其他電子|創高|40 13|90 102 17 3.9
2023-02-02|2363 矽統|半導體業|爆量急漲|75 -12|85 88 9 5.6
2023-02-02|2498 宏達電|通信網路|創高|-10 -13|95 102 6 1.6
2023-02-02|3029 零壹|資訊服務|創高|2 -2|93 100 9 2.5
2023-02-02|3041 揚智|半導體業|爆量急漲|-23 -24|58 90 -1 12.9
2023-02-02|3290 東浦|電子零組|創高|-9 1|100 100 20 2.2
2023-02-02|3594 磐儀|電腦及週|創高|29 34|100 105 14 1.9
2023-02-02|3701 大眾控|電腦及週|爆量急漲|23 26|63 87 11 6.4
2023-02-02|5283 禾聯碩|電器電纜|創高|4 -10|94 101 10 1.8
2023-02-02|6166 凌華|電腦及週|創高|-0 10|95 101 1 2.9
2023-02-02|6257 矽格|半導體業|創高|-12 -3|91 101 6 3.2
2023-02-02|6284 佳邦|電子零組|爆量急漲|-20 -8|88 106 27 8.6
2023-02-02|6411 晶焱|半導體業|爆量急漲|-63 -67|52 91 3 5.9
2023-02-02|6486 互動|通信網路|創高|43 11|93 100 5 1.6
2023-02-02|6799 來頡|半導體業|爆量急漲|-27 -20|na 83 5 12.6
2023-02-02|8038 長園科|電子零組|創高|977 962|97 100 21 5.1
2023-02-02|8215 明基材|光電業|爆量急漲|-17 -11|100 106 19 14.7
2023-02-02|8289 泰藝|電子零組|創高+爆量急漲|-36 -20|100 101 31 5.4
2023-02-03|1336 台翰|電子零組|創高|15 28|100 103 38 4.5
2023-02-03|1598 岱宇|運動休閒|創高|-21 -21|97 100 19 1.6
2023-02-03|1702 南僑|食品工業|創高|-6 4|97 101 6 2.9
2023-02-03|2231 為升|汽車工業|創高|9 13|96 101 35 5.0
2023-02-03|2449 京元電子|半導體業|創高|-10 -7|92 101 2 1.5
2023-02-03|2597 潤弘|建材營造|創高|3 18|95 102 53 2.1
