# 2025-04 事件流(160 事件,按日排序)。欄位:日期|代碼 名稱|產業|事件|最新YoY 3月YoY|距52高% 距120高% 120日漲% 量能x
2025-04-01|4173 久裕|生技醫療|創高+爆量急漲|103 39|100 103 27 7.3
2025-04-01|5201 凱衛|資訊服務|爆量急漲|-71 -2|100 108 47 6.4
2025-04-01|5315 光聯|光電業|創高|109 79|100 101 28 5.8
2025-04-01|6197 佳必琪|電子零組|爆量急漲|36 17|68 71 -24 5.3
2025-04-02|3709 鑫聯大投控|電腦及週|創高|80 63|100 100 48 9.4
2025-04-02|5251 天鉞電|光電業|爆量急漲|79 88|71 104 4 5.2
2025-04-08|2109 華豐|橡膠工業|爆量急漲|30 13|91 93 -4 5.7
2025-04-08|3546 宇峻|文化創意|爆量急漲|-35 -10|97 100 6 13.1
2025-04-08|4104 佳醫|生技醫療|爆量急漲|25 7|91 94 -4 5.9
2025-04-10|1101 台泥|水泥工業|營收爆發|-0 53|87 87 -8 2.3
2025-04-10|1316 上曜|建材營造|營收爆發|233 252|66 77 -9 0.5
2025-04-10|1436 華友聯|建材營造|營收爆發|3631 3283|54 71 -22 0.3
2025-04-10|1472 三洋實業|建材營造|營收爆發+爆量急漲|50 59|92 92 61 9.5
2025-04-10|1476 儒鴻|紡織纖維|爆量急漲|21 23|61 61 -35 6.7
2025-04-10|1582 信錦|電子零組|爆量急漲|-11 8|65 72 -26 5.0
2025-04-10|1603 華電|電器電纜|營收爆發|98 50|55 74 -26 0.3
2025-04-10|1604 聲寶|電器電纜|爆量急漲|-1 -1|93 97 -2 5.5
2025-04-10|1707 葡萄王|生技醫療|爆量急漲|-4 -3|88 88 -5 5.3
2025-04-10|1799 易威|生技醫療|營收爆發|58 154|25 45 -52 0.4
2025-04-10|1815 富喬|電子零組|營收爆發|76 82|70 70 3 0.2
2025-04-10|2059 川湖|電子零組|營收爆發|78 110|65 65 24 0.1
2025-04-10|2107 厚生|橡膠工業|營收爆發|18 48|90 95 -1 4.1
2025-04-10|2230 泰茂|居家生活|營收爆發|-17 58|56 58 -41 0.3
2025-04-10|2258 鴻華先進-創|汽車工業|營收爆發|-30 968|68 68 -25 0.1
2025-04-10|2342 茂矽|半導體業|營收爆發|45 58|62 62 -32 1.4
2025-04-10|2345 智邦|通信網路|營收爆發|127 127|62 62 -5 0.1
2025-04-10|2354 鴻準|其他電子|營收爆發|281 250|54 54 -20 0.1
2025-04-10|2383 台光電|電子零組|營收爆發|65 69|71 71 4 0.1
2025-04-10|2397 友通|電腦及週|營收爆發|33 37|63 66 -24 1.7
2025-04-10|2431 聯昌|電子零組|營收爆發|77 21|59 59 -14 1.9
2025-04-10|2438 翔耀|光電業|營收爆發|68 55|30 52 -45 0.2
2025-04-10|2442 新美齊|建材營造|營收爆發|236 53|56 75 -19 0.6
2025-04-10|2498 宏達電|通信網路|營收爆發|68 20|59 59 -32 0.1
2025-04-10|2536 宏普|建材營造|營收爆發|1952 802|74 90 -7 2.2
2025-04-10|2539 櫻花建|建材營造|營收爆發|835 328|71 86 18 0.7
2025-04-10|2548 華固|建材營造|營收爆發|-1 62|61 80 -20 0.6
2025-04-10|2888 新光金|金融保險|營收爆發|-113 -52|81 87 -9 4.4
2025-04-10|3017 奇鋐|電腦及週|營收爆發|68 55|47 52 -39 0.3
2025-04-10|3024 憶聲|光電業|營收爆發|77 78|56 62 -28 1.2
2025-04-10|3029 零壹|資訊服務|營收爆發|27 71|68 68 27 0.1
2025-04-10|3033 威健|電子通路|營收爆發|49 42|81 84 -13 1.4
2025-04-10|3045 台灣大|通信網路|創高|1 -0|100 100 6 4.3
2025-04-10|3052 夆典|建材營造|營收爆發|-19 17|80 88 -10 3.3
2025-04-10|3081 聯亞|通信網路|營收爆發|64 41|44 44 -32 1.6
2025-04-10|3141 晶宏|半導體業|爆量急漲|-8 -0|50 52 -44 5.4
2025-04-10|3162 精確|電機機械|營收爆發|129 198|69 69 18 0.1
2025-04-10|3209 全科|電子通路|營收爆發|134 47|76 76 -15 0.2
2025-04-10|3231 緯創|電腦及週|營收爆發|70 44|62 66 -20 0.2
2025-04-10|3312 弘憶股|電子通路|營收爆發|55 45|37 53 -47 0.4
2025-04-10|3324 雙鴻|其他電子|營收爆發|53 46|46 58 -38 0.4
2025-04-10|3362 先進光|光電業|爆量急漲|11 10|43 51 -46 8.3
2025-04-10|3363 上詮|通信網路|營收爆發|46 53|49 49 -19 0.6
2025-04-10|3379 彬台|電機機械|營收爆發|182 261|60 60 30 0.1
2025-04-10|3413 京鼎|半導體業|營收爆發|43 47|58 63 -33 0.2
2025-04-10|3447 展達|通信網路|營收爆發|103 82|47 47 11 0.0
2025-04-10|3491 昇達科|通信網路|營收爆發|31 50|71 71 8 0.2
2025-04-10|3515 華擎|電腦及週|營收爆發|98 108|58 58 -27 1.5
2025-04-10|3570 大塚|資訊服務|營收爆發|88 64|85 85 18 0.8
2025-04-10|3663 鑫科|其他電子|營收爆發|178 115|40 46 -51 2.2
2025-04-10|3709 鑫聯大投控|電腦及週|營收爆發|102 60|80 80 18 0.6
2025-04-10|3712 永崴投控|電腦及週|營收爆發|24 97|56 56 -21 0.2
2025-04-10|4164 承業醫|生技醫療|營收爆發|151 57|64 66 -17 0.1
2025-04-10|4417 金洲|紡織纖維|營收爆發|52 42|94 94 6 2.6
2025-04-10|4420 光明|紡織纖維|營收爆發|63 48|72 72 -5 0.7
2025-04-10|4526 東台|電機機械|營收爆發|21 21|54 61 -36 1.4
2025-04-10|4532 瑞智|電機機械|爆量急漲|22 36|86 86 -2 5.1
2025-04-10|4542 科嶠|電子零組|營收爆發|30 7|54 54 -38 3.2
2025-04-10|4714 永捷|化學工業|營收爆發|69 130|59 70 -28 0.6
2025-04-10|4726 永昕|生技醫療|營收爆發|28 75|48 58 -36 0.7
2025-04-10|4728 雙美|生技醫療|營收爆發|-1 41|94 94 43 2.3
2025-04-10|4907 富宇|建材營造|爆量急漲|-94 190|38 59 -31 6.2
2025-04-10|4945 陞達科技|半導體業|營收爆發|50 49|49 65 -28 1.2
2025-04-10|4967 十銓|半導體業|營收爆發|81 78|39 67 -33 0.1
2025-04-10|5251 天鉞電|光電業|營收爆發|52 79|71 101 9 1.2
2025-04-10|5274 信驊|半導體業|營收爆發|110 104|48 55 -43 0.1
2025-04-10|5410 國眾|資訊服務|營收爆發|-2 137|69 73 -17 0.2
2025-04-10|5439 高技|電子零組|營收爆發|83 54|78 78 61 0.3
2025-04-10|5530 龍巖|其他|爆量急漲|40 14|76 76 42 7.0
2025-04-10|5876 上海商銀|金融保險|創高|12 12|100 102 16 2.6
2025-04-10|6130 上亞科技|生技醫療|營收爆發|-41 80|72 72 -3 0.2
2025-04-10|6177 達麗|建材營造|營收爆發|186 59|59 80 -12 0.7
2025-04-10|6215 和椿|其他電子|營收爆發|86 68|48 48 4 0.1
2025-04-10|6219 富旺|建材營造|營收爆發|-101 107|51 63 -29 2.3
2025-04-10|6227 茂綸|電子通路|營收爆發|36 44|60 60 19 0.6
2025-04-10|6228 全譜|電腦及週|營收爆發|120 144|50 81 -19 0.7
2025-04-10|6230 尼得科超眾|電腦及週|爆量急漲|20 17|34 55 -43 8.5
2025-04-10|6274 台燿|電子零組|營收爆發|25 47|68 70 -26 2.3
2025-04-10|6431 光麗-KY|生技醫療|營收爆發|31 97|74 82 -13 0.2
2025-04-10|6499 益安|生技醫療|營收爆發|107 117|74 80 -14 1.4
2025-04-10|6591 動力-KY|電腦及週|營收爆發|63 55|65 71 -16 0.4
2025-04-10|6609 瀧澤科|電機機械|營收爆發|2 43|41 41 -44 1.9
2025-04-10|6617 共信-KY|生技醫療|營收爆發|19 43|na 67 -28 2.2
2025-04-10|6649 台生材|生技醫療|營收爆發|221 287|76 76 -6 0.4
2025-04-10|6654 天正國際|其他電子|營收爆發|144 82|90 90 42 1.8
2025-04-10|6658 聯策|其他電子|營收爆發|-8 102|52 52 -32 0.7
2025-04-10|6667 信紘科|其他電子|營收爆發|96 122|69 69 -25 0.2
2025-04-10|6669 緯穎|電腦及週|營收爆發|227 139|60 64 4 0.2
2025-04-10|6679 鈺太|半導體業|爆量急漲|-8 5|45 56 -37 7.9
2025-04-10|6684 安格|半導體業|爆量急漲|-0 -12|40 52 -41 5.0
2025-04-10|6691 洋基工程|其他電子|營收爆發|39 46|83 83 36 1.6
2025-04-10|6692 進能服|綠能環保|營收爆發|157 195|67 79 -13 0.9
2025-04-10|6728 上洋|居家生活|爆量急漲|54 55|98 98 26 6.0
2025-04-10|6739 竹陞科技|其他電子|營收爆發|68 109|na 53 -4 0.1
2025-04-10|6788 華景電|半導體業|營收爆發|39 64|52 55 -41 0.2
2025-04-10|6877 鏵友益|其他電子|營收爆發|61 61|67 67 3 0.1
2025-04-10|6919 康霈*|生技醫療|爆量急漲|na na|na 61 18 7.6
2025-04-10|8072 陞泰|電子通路|營收爆發|14 26|95 98 14 4.8
2025-04-10|8085 福華|其他電子|爆量急漲|23 18|20 48 -52 7.1
2025-04-10|8104 錸寶|光電業|營收爆發|107 41|50 50 -36 0.9
2025-04-10|8109 博大|電子零組|爆量急漲|12 3|90 93 -0 5.8
2025-04-10|8176 智捷|通信網路|營收爆發|3 71|55 55 -24 1.3
2025-04-10|8210 勤誠|電腦及週|營收爆發|63 61|60 65 -23 0.5
2025-04-10|8227 巨有科技|半導體業|營收爆發|95 31|40 58 -37 1.8
2025-04-10|8926 台汽電|油電燃氣|爆量急漲|1 -3|84 89 -11 5.4
2025-04-10|9958 世紀鋼|鋼鐵工業|營收爆發|19 29|40 62 -35 0.7
2025-04-11|3297 杭特|光電業|爆量急漲|24 17|78 110 14 10.9
2025-04-11|3705 永信|生技醫療|創高|52 24|98 103 4 6.6
2025-04-11|3708 上緯投控|綠能環保|爆量急漲|9 14|42 55 -45 5.1
2025-04-11|5314 世紀*|其他|爆量急漲|213 182|79 79 421 24.7
2025-04-11|6228 全譜|電腦及週|爆量急漲|120 144|55 89 -11 10.6
2025-04-15|2466 冠西電|光電業|創高|145 66|100 102 168 2.7
2025-04-15|2613 中櫃|航運業|爆量急漲|1 1|68 89 3 13.5
2025-04-15|2615 萬海|航運業|爆量急漲|24 34|80 90 4 6.6
2025-04-15|6933 AMAX-KY|電腦及週|爆量急漲|62 53|44 59 -33 7.2
2025-04-16|1515 力山|電機機械|爆量急漲|-44 -54|64 89 -6 8.5
2025-04-16|6189 豐藝|電子通路|爆量急漲|-44 -27|67 81 -14 7.4
2025-04-17|3287 廣寰科|電腦及週|爆量急漲|7 -2|72 96 12 7.8
2025-04-17|3466 德晉|通信網路|爆量急漲|-2 -64|42 49 -44 6.2
2025-04-17|6165 浪凡|數位雲端|創高+爆量急漲|11 11|100 104 36 5.9
2025-04-17|6550 北極星藥業-KY|生技醫療|爆量急漲|-19 -59|54 73 -20 10.5
2025-04-17|6629 泰金-KY|居家生活|爆量急漲|7 -5|72 78 -14 7.8
2025-04-17|9908 大台北|油電燃氣|創高|-1 2|100 103 6 2.5
2025-04-18|5489 彩富|其他電子|爆量急漲|-7 0|99 99 18 6.3
2025-04-21|2832 台產|金融保險|爆量急漲|-2 0|95 95 18 5.0
2025-04-21|3147 大綜|資訊服務|創高|329 248|100 100 42 3.2
2025-04-21|5489 彩富|其他電子|創高|-7 0|100 109 32 39.1
2025-04-23|2406 國碩|光電業|爆量急漲|-37 -38|45 66 -34 6.8
2025-04-23|5251 天鉞電|光電業|創高|52 79|100 105 55 4.0
2025-04-23|6443 元晶|光電業|爆量急漲|-54 -35|49 70 -30 5.4
2025-04-23|6865 偉康科技|數位雲端|創高|7 -8|100 107 80 4.6
2025-04-23|9933 中鼎|其他|爆量急漲|-24 -24|52 62 -38 34.9
