company_code,start,start_close,end,end_close,adv60,rows,cagr
2383,2005-01-03,3.8812092940676424,2026-05-22,5005.0,11714049605.583334,5254,0.39792647028072947
2345,2005-01-03,6.757015345713203,2026-05-22,2470.0,9827219235.866667,5254,0.3178815294434345
2540,2005-01-03,0.19351793498678324,2026-05-22,55.8,63034242.333333336,3914,0.30333901904689964
2360,2005-01-03,9.122544729334335,2026-05-22,2270.0,7629430294.933333,5254,0.2943859259621524
3017,2005-01-03,10.652670696600813,2026-05-22,2545.0,12492620836.766666,5254,0.2919235342553208
1519,2005-01-03,4.1299178011929385,2026-05-22,826.0,3133207192.733333,5254,0.28122786401615874
2404,2005-01-03,6.955076765854861,2026-05-22,1155.0,4428459620.566667,5247,0.2701325840262818
2467,2005-01-03,4.160175587073976,2026-05-22,603.0,1549581389.9833333,5254,0.2620773512080412
2368,2005-01-03,10.10346885162379,2026-05-22,1330.0,8357310213.25,5247,0.2564051760124
2455,2005-01-03,3.4423176853923554,2026-05-22,425.0,4234588382.7,5248,0.2526432728050163
2330,2005-01-03,21.513768434070542,2026-05-22,2255.0,89442093323.48334,5254,0.24308687968833964
2308,2005-01-03,20.491078280021192,2026-05-22,2095.0,22119160318.8,5254,0.24164037890242573
2327,2005-01-03,6.581402780946538,2026-05-22,629.0,14851432868.416666,5202,0.2377301961552547
3004,2005-01-11,1.4056175185821416,2026-05-22,130.5,57505290.55,5006,0.23632187846538577
3037,2005-01-03,10.518177433582983,2026-05-22,970.0,17345828081.4,5253,0.2356656154243093
3036,2005-01-03,3.369283431758123,2026-05-22,289.0,2895991139.116667,5249,0.23148456455832078
1476,2005-01-03,4.092031012871533,2026-05-22,342.5,596640130.8333334,5254,0.2300743776434655
3030,2005-01-03,5.16506184122333,2026-05-22,419.5,1985505398.7166667,5254,0.2283447481940799
2454,2005-01-03,59.82248720100278,2026-05-22,3860.0,26760342145.433334,5253,0.21519530694919808
2379,2005-01-03,10.09234838250355,2026-05-22,578.0,2090353297.3166666,5246,0.20843652032415005
1215,2005-01-03,2.566420047358227,2026-05-22,143.0,179023439.85,5254,0.20688521316449293
6139,2005-01-03,14.665783306941114,2026-05-22,769.0,3220670406.2,5254,0.20346027151740076
2449,2005-01-03,5.858593737003792,2026-05-22,296.0,8287434604.733334,5253,0.2013723973920809
3044,2005-01-03,10.000693260546747,2026-05-22,490.5,2053203636.8833334,5254,0.19970584020494275
3231,2005-01-03,2.9493317341847165,2026-05-22,144.5,5631256369.65,5254,0.19964580171150415
