name,full_days,oos_days,cagr,log_cagr,sortino,sharpe,mdd,calmar,ulcer_index,upi,cdar_95,tail_ratio,k_ratio,oos_cagr,oos_log_cagr,oos_sortino,oos_sharpe,oos_mdd,oos_calmar,oos_ulcer_index,oos_upi,oos_cdar_95,oos_tail_ratio,oos_k_ratio,lo_p,boot_cagr_lb,boot_cagr_ub,boot_sortino_lb,boot_sortino_ub,dsr,pbo,recent_1y_start,recent_1y_end,recent_1y_cagr,robust_growth_score,start,end,b0050_final_relative_nav,b0050_first_outperform_date,b0050_first_permanent_outperform_date,b0050_pct_days_ahead,b0050_longest_below_start_days,b0050_max_relative_drawdown,b0050_start_3y_win_rate,b0050_start_5y_win_rate,b0050_rolling_1y_win_rate,b0050_rolling_1y_median_excess,b0050_rolling_1y_min_excess,b0050_rolling_3y_win_rate,b0050_rolling_3y_median_excess,b0050_rolling_3y_min_excess,b0050_rolling_5y_win_rate,b0050_rolling_5y_median_excess,b0050_rolling_5y_min_excess,b2330_final_relative_nav,b2330_first_outperform_date,b2330_first_permanent_outperform_date,b2330_pct_days_ahead,b2330_longest_below_start_days,b2330_max_relative_drawdown,b2330_start_3y_win_rate,b2330_start_5y_win_rate,b2330_rolling_1y_win_rate,b2330_rolling_1y_median_excess,b2330_rolling_1y_min_excess,b2330_rolling_3y_win_rate,b2330_rolling_3y_median_excess,b2330_rolling_3y_min_excess,b2330_rolling_5y_win_rate,b2330_rolling_5y_median_excess,b2330_rolling_5y_min_excess,max_active,trade_days,avg_turnover_trade_day,requested_notional,filled_notional,fill_ratio,total_commission,total_tax,total_slippage_cost,blocked_orders,partial_orders,exit_orders,exit_notional,exit_notional_ratio,score_kind,schedule,topn,min_adv,min_listed_days,trend_mode,risk_mode,quality_floor,weight_mode,max_weight,target_rebalance_days,candidate_codes,exit_config,search_stage,data_cutoff,robust_alpha_objective
Iter95 execution-ready champion,5254,3922,0.34705430602459986,0.2979202128921623,2.1787086083052754,1.5268073862006524,-0.3310634958635796,1.0483013390507105,0.10223696859106213,3.296794796144476,0.246072405958078,1.2257076335931902,189.66083986758204,0.3913818985389177,0.33029742489203157,2.471756148108577,1.6826673589489158,-0.22087283356504123,1.7719784376455063,0.08361888094529174,4.560954347002557,0.16986923470775483,1.2378370048517375,237.79599393471162,9.139600187779706e-11,0.2172277458995921,0.6384540455433261,1.4399505903237735,3.9522236905716213,0.9929467506077102,0.032,2025-05-22,2026-05-22,3.1263924602178585,0.30915838969894155,2005-01-03,2026-05-22,36.59927946099752,2005-01-04,2011-08-05,0.7248999809487522,713,-0.4382089607152547,0.853577738515901,0.8980702622464126,0.7232553489302139,0.1338567548062195,-0.7248283830303048,0.8530847758544163,0.1523437075485321,-0.0847211947145059,0.8974038941587619,0.1527948862615255,-0.05383201193634046,5.579754628168825,2005-01-04,2021-03-22,0.24571754853444994,2974,-0.5424511003105487,0.5611749116607774,0.5460168233547749,0.549540551338394,0.026804245904103685,-0.7992977837908146,0.5595211704721791,0.03610662821808919,-0.19806584550345696,0.5452505609573672,0.039278471822176586,-0.1473136356625444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iter96_structural_leader_weekly_top3_adv50_ma200_quality_equal,5249,3917,0.19960325256436562,0.18199087926313726,0.4958817692466667,0.4068618598720518,-0.714646044151724,0.2793036555618134,0.27937560047799215,0.6786679017064041,0.5945816582646161,1.0947234936163417,283.66004591262504,0.20480921903186156,0.18632122995309205,0.5328115595216949,0.38715520444507584,-0.7146460441517246,0.2865883337743335,0.3204841048196939,0.6078592232880388,0.6116470172836962,1.0536127709528726,186.66225200098486,0.006198106037071938,-0.01735862014646022,0.4631874583782579,-0.06601705060268473,1.3912770158867585,0.003761209662502118,0.298,2025-05-22,2026-05-22,1.6288193543017178,0.00013999745813996495,2005-01-03,2026-05-22,3.063672006504302,2005-01-04,2011-02-10,0.7711945132406173,724,-0.7490331686075503,0.719743816254417,0.7664522513607125,0.5252949410117976,0.03383070326322857,-0.9087210518214722,0.7199289835774523,0.0857930294981043,-0.3158332155705944,0.7690963554667998,0.09285132594923623,-0.14928056148412594,0.46707307655334185,2005-01-04,,0.3248237759573252,1499,-0.8798322016494261,0.4785777385159011,0.5032162295893122,0.4537092581483703,-0.05851152450198893,-1.0484947464400438,0.47758544163337774,-0.008333911333678445,-0.47318708774727214,0.5044932601098352,0.001212276354174091,-0.25522825464907606,6.0,868.0,0.5699869028830841,7437161318.167844,6654721679.404358,0.8947932409571235,3739147.5906347614,10001195.456963247,3858248.415845113,102.0,1093.0,21.0,9082266.439832421,0.0013647853174597897,structural_leader,weekly,3,50000000.0,252,ma200,none,quality,equal,1.0,862,330,time70_r-1,focused_exit,2026-05-22,0.0019084694504424658
iter97_structural_leader_weekly_top3_riskhalf_quality_equal,5249,3917,0.20793299266931875,0.1889106283295219,0.5665064037091436,0.46145043492280724,-0.6067634948065574,0.34269199523219496,0.24793304307826558,0.7983324457758412,0.5396269742965958,1.1137118141996463,289.9557394399932,0.21516259888694123,0.19487789408297485,0.623798539482027,0.4483243297302706,-0.6067634948065574,0.354607026837594,0.28552520277993315,0.7185446219438256,0.5497740204084987,1.0835248231926398,197.04578024161938,0.004022353280011437,0.020247876803190297,0.4511281249042252,0.030437312062571168,1.448298810201497,0.007747430373624108,0.316,2025-05-22,2026-05-22,1.6124483888692995,0.0002556316365843014,2005-01-03,2026-05-22,3.5521660813238247,2005-01-04,2013-01-28,0.742427128976948,722,-0.6867206266367556,0.6925795053003534,0.7545769421078674,0.5186962607478505,0.033692755285034126,-0.9086779873510287,0.6910785619174434,0.06735997487293194,-0.3475911909501054,0.7543684473290065,0.07424603585052858,-0.12646320458881166,0.5415465939271451,2005-01-04,,0.19660887788150125,2067,-0.8292226945173811,0.45097173144876324,0.44705591291439883,0.46330733853229356,-0.038684630157453714,-1.0431974865483076,0.45472703062583225,-0.02086244838224449,-0.5418376402214802,0.44608087868197704,-0.015401360314377777,-0.3076138810756528,5.0,865.0,0.5324699462598894,6002729151.0229,5545924647.644986,0.9239005305944761,3107749.9422587114,8334554.953103716,3104694.2406422887,73.0,817.0,6.0,3229586.636819513,0.0005823351094737503,structural_leader,weekly,3,50000000.0,252,ma200,half,quality,equal,1.0,862,330,time70_r-1,realistic_final,2026-05-22,0.0017335779615290214
0050 TR,,,0.14035044574074518,0.13133562371059196,0.8633646466860628,0.6470019581298919,-0.5575276934582171,0.25173717357461367,0.13446922875592499,0.9693700703626714,0.40332048250796926,1.0058064516129066,223.17398201813015,,,,,,,,,,,,,,,,,,,2025-05-22,2026-05-22,1.1259098611168619,,2004-12-14,2026-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330 TR,,,0.24579400836719012,0.21977308436028875,1.354260797717453,0.861132665340379,-0.4584211261317535,0.5361751332039335,0.11782779856696894,2.0011746908194468,0.32848588001782025,1.168655778357634,383.23296318654917,,,,,,,,,,,,,,,,,,,2025-05-22,2026-05-22,1.331950377002236,,2004-12-14,2026-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383 TR hindsight top,,,0.3991577133507247,0.33587042224635316,1.4032309426584673,0.9025543877009027,-0.735140740632915,0.542967749287126,0.23554322953700838,1.652171086028098,0.5796677812369473,1.2152584080190878,306.04309202882143,,,,,,,,,,,,,,,,,,,2025-05-22,2026-05-22,6.111310678539622,,2004-12-14,2026-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
