"109年04月20日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,078.31","-","2.63","-0.02","",
"發行量加權股價指數","10,586.71","-","10.33","-0.10","",
"臺灣公司治理100指數","6,082.18","-","30.76","-0.50","",
"臺灣50指數","8,275.93","-","36.72","-0.44","",
"臺灣50權重上限30%指數","8,102.04","-","29.87","-0.37","",
"臺灣中型100指數","7,757.43","+","43.46","0.56","",
"臺灣資訊科技指數","12,235.20","-","74.87","-0.61","",
"臺灣發達指數","7,488.96","+","26.74","0.36","",
"臺灣高股息指數","6,227.22","+","64.30","1.04","",
"臺灣就業99指數","6,004.92","-","16.07","-0.27","",
"臺灣高薪100指數","5,701.08","-","15.64","-0.27","",
"未含金融指數","8,978.03","-","0.94","-0.01","",
"未含電子指數","13,078.30","-","3.97","-0.03","",
"未含金融電子指數","10,704.82","+","28.79","0.27","",
"小型股300指數","5,968.80","+","35.48","0.60","",
"水泥窯製類指數","570.45","+","1.76","0.31","",
"塑膠化工類指數","703.89","-","2.43","-0.34","",
"機電類指數","2,651.86","-","3.05","-0.11","",
"水泥類指數","161.81","+","0.51","0.32","",
"食品類指數","1,687.98","+","11.44","0.68","",
"塑膠類指數","213.49","-","1.88","-0.87","",
"紡織纖維類指數","434.34","+","3.05","0.71","",
"電機機械類指數","170.26","+","1.68","1.00","",
"電器電纜類指數","43.33","+","0.03","0.07","",
"化學生技醫療類指數","88.06","+","0.95","1.09","",
"化學類指數","91.43","+","0.22","0.24","",
"生技醫療類指數","58.34","+","1.11","1.94","",
"玻璃陶瓷類指數","24.18","+","0.05","0.21","",
"造紙類指數","188.21","+","2.34","1.26","",
"鋼鐵類指數","85.97","-","0.05","-0.06","",
"橡膠類指數","213.66","+","0.45","0.21","",
"汽車類指數","269.50","+","2.09","0.78","",
"電子工業類指數","473.94","-","0.69","-0.15","",
"半導體類指數","203.33","-","1.03","-0.50","",
"電腦及週邊設備類指數","97.38","-","0.09","-0.09","",
