"109年04月17日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,080.94","+","231.41","1.95","",
"發行量加權股價指數","10,597.04","+","221.56","2.14","",
"臺灣公司治理100指數","6,112.94","+","171.57","2.89","",
"臺灣50指數","8,312.65","+","271.88","3.38","",
"臺灣50權重上限30%指數","8,131.91","+","213.29","2.69","",
"臺灣中型100指數","7,713.97","+","46.81","0.61","",
"臺灣資訊科技指數","12,310.07","+","618.80","5.29","",
"臺灣發達指數","7,462.22","+","57.93","0.78","",
"臺灣高股息指數","6,162.92","+","1.79","0.03","",
"臺灣就業99指數","6,020.99","+","63.42","1.06","",
"臺灣高薪100指數","5,716.72","+","84.73","1.50","",
"未含金融指數","8,978.97","+","209.50","2.39","",
"未含電子指數","13,082.27","+","52.89","0.41","",
"未含金融電子指數","10,676.03","+","35.45","0.33","",
"小型股300指數","5,933.32","-","6.15","-0.10","",
"水泥窯製類指數","568.69","+","2.26","0.40","",
"塑膠化工類指數","706.32","+","2.95","0.42","",
"機電類指數","2,654.91","+","85.74","3.34","",
"水泥類指數","161.30","+","0.63","0.39","",
"食品類指數","1,676.54","+","2.45","0.15","",
"塑膠類指數","215.37","+","1.40","0.65","",
"紡織纖維類指數","431.29","-","0.19","-0.04","",
"電機機械類指數","168.58","+","2.19","1.32","",
"電器電纜類指數","43.30","+","0.08","0.19","",
"化學生技醫療類指數","87.11","-","0.12","-0.14","",
"化學類指數","91.21","+","0.31","0.34","",
"生技醫療類指數","57.23","-","0.34","-0.59","",
"玻璃陶瓷類指數","24.13","+","0.11","0.46","",
"造紙類指數","185.87","+","0.52","0.28","",
"鋼鐵類指數","86.02","","--","--","",
"橡膠類指數","213.21","+","0.03","0.01","",
"汽車類指數","267.41","","--","--","",
"電子工業類指數","474.63","+","15.65","3.41","",
"半導體類指數","204.36","+","10.83","5.60","",
"電腦及週邊設備類指數","97.47","+","0.28","0.29","",
"光電類指數","33.33","+","0.51","1.55","",
"通信網路類指數","121.10","+","1.02","0.85","",
"電子零組件類指數","103.90","-","0.23","-0.22","",
"電子通路類指數","114.18","+","0.94","0.83","",
"資訊服務類指數","116.03","+","0.03","0.03","",
"其他電子類指數","74.88","+","1.29","1.75","",
"建材營造類指數","275.98","+","1.59","0.58","",
"航運類指數","54.82","+","0.04","0.07","",
"觀光類指數","76.36","-","0.14","-0.18","",
"金融保險類指數","1,204.60","+","6.66","0.56","",
"貿易百貨類指數","245.16","-","1.22","-0.50","",
"油電燃氣類指數","107.53","+","0.66","0.62","",
"其他類指數","224.96","+","1.15","0.51","",
"臺指日報酬兩倍指數","15,265.90","+","625.28","4.27","",
"臺指反向一倍指數","7,018.30","-","153.14","-2.14","",
"電子類兩倍槓桿指數","13,919.57","+","888.64","6.82","",
"電子類反向指數","6,801.11","-","240.09","-3.41","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,735.86","-","6.12","-0.16","",
"臺灣中小型公司治理指數","5,268.25","+","58.31","1.12","",
"臺灣IPO指數","4,859.26","+","30.40","0.63","",
"智慧中立指數","4,931.45","-","46.73","-0.94","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","17,188.72","+","189.02","1.11","",
