"109年04月09日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,540.07","-","21.70","-0.19","",
"發行量加權股價指數","10,119.43","-","18.04","-0.18","",
"臺灣公司治理100指數","5,816.00","-","2.96","-0.05","",
"臺灣50指數","7,881.45","-","23.88","-0.30","",
"臺灣50權重上限30%指數","7,750.21","-","17.45","-0.22","",
"臺灣中型100指數","7,419.60","-","1.29","-0.02","",
"臺灣資訊科技指數","11,497.74","-","64.72","-0.56","",
"臺灣發達指數","7,256.17","-","29.51","-0.41","",
"臺灣高股息指數","5,973.40","-","40.41","-0.67","",
"臺灣就業99指數","5,765.82","+","25.78","0.45","",
"臺灣高薪100指數","5,495.50","+","3.28","0.06","",
"未含金融指數","8,575.72","-","30.86","-0.36","",
"未含電子指數","12,652.93","+","63.36","0.50","",
"未含金融電子指數","10,394.34","+","28.55","0.28","",
"小型股300指數","5,690.41","+","2.63","0.05","",
"水泥窯製類指數","548.88","-","2.54","-0.46","",
"塑膠化工類指數","686.99","+","1.30","0.19","",
"機電類指數","2,511.43","-","16.73","-0.66","",
"水泥類指數","155.76","-","0.86","-0.55","",
"食品類指數","1,678.74","-","8.36","-0.50","",
"塑膠類指數","209.82","+","0.12","0.06","",
"紡織纖維類指數","419.19","+","3.83","0.92","",
"電機機械類指數","158.28","-","0.89","-0.56","",
"電器電纜類指數","40.81","+","0.15","0.37","",
"化學生技醫療類指數","84.13","+","0.68","0.81","",
"化學類指數","87.43","-","0.17","-0.19","",
"生技醫療類指數","55.68","+","1.01","1.85","",
"玻璃陶瓷類指數","23.13","+","0.15","0.65","",
"造紙類指數","180.90","+","1.21","0.67","",
"鋼鐵類指數","84.83","+","0.10","0.12","",
"橡膠類指數","208.16","-","0.39","-0.19","",
"汽車類指數","260.33","+","1.28","0.49","",
"電子工業類指數","449.08","-","3.03","-0.67","",
"半導體類指數","190.43","-","1.00","-0.52","",
"電腦及週邊設備類指數","94.35","-","0.48","-0.51","",
"光電類指數","32.33","-","0.76","-2.30","",
"通信網路類指數","117.70","-","0.88","-0.74","",
"電子零組件類指數","98.04","-","0.72","-0.73","",
"電子通路類指數","109.62","+","0.36","0.33","",
"資訊服務類指數","111.24","+","0.87","0.79","",
"其他電子類指數","72.63","-","0.50","-0.68","",
"建材營造類指數","263.26","+","1.22","0.47","",
"航運類指數","53.86","+","1.90","3.66","",
"觀光類指數","73.54","+","0.33","0.45","",
"金融保險類指數","1,149.08","+","11.22","0.99","",
"貿易百貨類指數","242.29","+","1.46","0.61","",
"油電燃氣類指數","106.03","-","0.83","-0.78","",
"其他類指數","217.01","+","1.38","0.64","",
"臺指日報酬兩倍指數","13,937.04","-","49.78","-0.36","",
"臺指反向一倍指數","7,358.43","+","13.07","0.18","",
"電子類兩倍槓桿指數","12,483.85","-","169.60","-1.34","",
"電子類反向指數","7,201.84","+","47.94","0.67","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,556.33","+","42.56","1.21","",
"臺灣中小型公司治理指數","5,008.77","+","0.17","--","",
"臺灣IPO指數","4,748.33","-","32.70","-0.68","",
"智慧中立指數","5,008.58","+","3.55","0.07","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","15,669.68","+","303.05","1.97","",
"金融類日報酬反向一倍指數","7,135.60","-","71.06","-0.99","",
"漲升股利150指數","5,539.86","-","7.93","-0.14","",
"漲升股利100指數","5,552.11","-","23.73","-0.43","",
"藍籌30指數","5,325.86","-","17.20","-0.32","",
"工業菁英30指數","5,585.41","-","25.73","-0.46","",
"電子菁英30指數","5,802.59","-","40.94","-0.70","",
"低波動股利精選30指數","5,356.91","+","20.59","0.39","",
"低貝塔100指數","5,345.06","+","25.79","0.48","",
"藍籌30反向一倍指數","8,680.21","+","27.85","0.32","",
"中小型精選50指數","5,086.95","-","11.87","-0.23","",
"中小型A級動能50指數","6,495.35","-","13.90","-0.21","",
"特選高息低波指數","4,823.38","+","11.68","0.24","",
"臺灣永續指數","5,049.10","-","5.57","-0.11","",
"工業菁英30反向一倍指數","9,517.58","+","43.44","0.46","",
"特選內需高收益指數","5,265.61","-","9.05","-0.17","",
"價值投資指數","5,390.37","-","33.40","-0.62","",
"中小型300指數","5,219.88","+","8.85","0.17","",
"臺灣勞工權益指數","4,878.11","+","3.20","0.07","",
"智慧投資多因子30指數","4,539.92","-","8.09","-0.18","",
"臺股期貨指數","4,400.06","-","12.92","-0.29","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,537.78","-","24.75","-0.17","",
"發行量加權股價報酬指數","18,922.57","-","30.09","-0.16","",
"臺灣公司治理100報酬指數","7,183.01","-","1.72","-0.02","",
"臺灣50報酬指數","14,944.46","-","45.29","-0.30","",
"臺灣50權重上限30%報酬指數","14,679.51","-","33.05","-0.22","",
"臺灣中型100報酬指數","12,946.19","+","10.83","0.08","",
"臺灣資訊科技股報酬指數","20,756.33","-","109.29","-0.52","",
"臺灣發達報酬指數","12,328.77","-","50.14","-0.41","",
"臺灣高股息報酬指數","13,480.19","-","62.18","-0.46","",
"臺灣就業99報酬指數","7,977.52","+","35.66","0.45","",
"臺灣高薪100報酬指數","6,904.12","+","6.27","0.09","",
"未含金融電子報酬指數","19,590.87","+","54.31","0.28","",
"小型股300報酬指數","6,713.28","+","5.51","0.08","",
"水泥類報酬指數","260.82","-","1.43","-0.55","",
"食品類報酬指數","2,339.76","-","11.65","-0.50","",
"塑膠類報酬指數","330.75","+","0.19","0.06","",
"紡織纖維類報酬指數","614.02","+","5.83","0.96","",
"電機機械類報酬指數","223.12","-","1.24","-0.55","",
"電器電纜類報酬指數","55.56","+","0.20","0.36","",
"化學生技醫療類報酬指數","121.11","+","0.98","0.82","",
"化學類報酬指數","132.86","-","0.27","-0.20","",
"生技醫療類報酬指數","73.44","+","1.33","1.84","",
"玻璃陶瓷類報酬指數","26.47","+","0.17","0.65","",
"造紙類報酬指數","252.03","+","1.69","0.68","",
"鋼鐵類報酬指數","126.38","+","0.16","0.13","",
"橡膠類報酬指數","303.56","-","0.56","-0.18","",
"汽車類報酬指數","377.91","+","1.91","0.51","",
"電子工業類報酬指數","769.60","-","4.95","-0.64","",
"半導體類報酬指數","312.13","-","1.64","-0.52","",
"電腦及週邊設備類報酬指數","175.94","-","0.91","-0.51","",
"光電類報酬指數","43.42","-","1.01","-2.27","",
"通信網路類報酬指數","222.39","-","1.66","-0.74","",
"電子零組件類報酬指數","166.29","-","0.63","-0.38","",
"電子通路類報酬指數","217.69","+","0.71","0.33","",
"資訊服務類報酬指數","220.14","+","1.74","0.80","",
"其他電子類報酬指數","102.93","-","0.71","-0.69","",
"建材營造類報酬指數","455.44","+","2.12","0.47","",
"航運類報酬指數","72.77","+","2.57","3.66","",
"觀光類報酬指數","94.60","+","0.43","0.46","",
"金融保險類報酬指數","1,753.91","+","17.13","0.99","",
"貿易百貨類報酬指數","346.32","+","2.09","0.61","",
"油電燃氣類報酬指數","154.36","-","1.22","-0.78","",
"其他類報酬指數","334.20","+","2.13","0.64","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,738.79","+","44.74","1.21","",
"臺灣中小型公司治理報酬指數","5,755.91","+","0.19","--","",
"臺灣IPO報酬指數","5,052.69","-","34.80","-0.68","",
"智慧中立報酬指數","5,030.16","+","15.74","0.31","",
"加權指數掩護性臺指買權價外5%報酬指數","4,286.85","+","12.30","0.29","",
"臺灣5G報酬指數","4,535.50","-","7.20","-0.16","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,570.25","-","6.29","-0.10","",
"漲升股利100報酬指數","6,604.13","-","24.22","-0.37","",
"藍籌30報酬指數","6,067.71","-","19.60","-0.32","",
"工業菁英30報酬指數","6,371.29","-","29.36","-0.46","",
"電子菁英30報酬指數","6,557.97","-","46.27","-0.70","",
"低波動股利精選30報酬指數","6,122.89","+","23.53","0.39","",
"低貝塔100報酬指數","6,097.91","+","30.40","0.50","",
"中小型精選50報酬指數","5,938.93","+","23.63","0.40","",
"中小型A級動能50報酬指數","7,066.51","-","15.12","-0.21","",
"特選高息低波報酬指數","5,615.12","+","23.83","0.43","",
"臺灣永續報酬指數","5,745.78","-","4.84","-0.08","",
"特選內需高收益報酬指數","5,861.91","-","10.08","-0.17","",
"價值投資報酬指數","6,113.66","-","37.89","-0.62","",
"存股雙十等權重報酬指數","4,913.08","-","22.26","-0.45","",
"特選大蘋果報酬指數","5,470.44","-","47.58","-0.86","",
"中小型300報酬指數","5,449.54","+","13.63","0.25","",
"特股高息20報酬指數","5,225.07","+","2.30","0.04","",
"臺灣500報酬指數","5,445.81","-","8.43","-0.15","",
"特選外資豐擁50報酬指數","5,479.70","-","14.15","-0.26","",
"臺灣勞工權益報酬指數","5,115.97","+","3.36","0.07","",
"微波高息精選20報酬指數","4,566.32","-","3.58","-0.08","",
"特選世代行動通訊報酬指數","4,322.05","-","37.98","-0.87","",
"智慧投資多因子30報酬指數","4,558.29","+","2.13","0.05","",
"特選大蘋果報酬正向兩倍指數","6,783.06","-","119.03","-1.72","",
"特選大蘋果報酬反向一倍指數","11,478.47","+","98.13","0.86","",
"特選價值成長報酬指數","4,232.65","+","6.10","0.14","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

