"109年04月13日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,525.02","-","63.19","-0.55","",
"發行量加權股價指數","10,099.22","-","58.39","-0.57","",
"臺灣公司治理100指數","5,797.56","-","35.94","-0.62","",
"臺灣50指數","7,844.32","-","44.41","-0.56","",
"臺灣50權重上限30%指數","7,730.43","-","46.81","-0.60","",
"臺灣中型100指數","7,404.90","-","50.50","-0.68","",
"臺灣資訊科技指數","11,367.37","-","30.52","-0.27","",
"臺灣發達指數","7,228.04","-","58.86","-0.81","",
"臺灣高股息指數","5,971.79","-","35.86","-0.60","",
"臺灣就業99指數","5,797.45","-","22.43","-0.39","",
"臺灣高薪100指數","5,508.67","-","33.08","-0.60","",
"未含金融指數","8,534.16","-","43.68","-0.51","",
"未含電子指數","12,740.01","-","106.68","-0.83","",
"未含金融電子指數","10,420.35","-","79.57","-0.76","",
"小型股300指數","5,732.13","-","15.54","-0.27","",
"水泥窯製類指數","551.63","-","2.08","-0.38","",
"塑膠化工類指數","688.45","-","6.12","-0.88","",
"機電類指數","2,492.65","-","9.26","-0.37","",
"水泥類指數","156.45","-","0.57","-0.36","",
"食品類指數","1,660.23","-","12.10","-0.72","",
"塑膠類指數","209.58","-","2.37","-1.12","",
"紡織纖維類指數","424.38","+","0.43","0.10","",
"電機機械類指數","161.06","-","1.05","-0.65","",
"電器電纜類指數","43.13","+","1.49","3.58","",
"化學生技醫療類指數","84.73","-","0.07","-0.08","",
"化學類指數","88.33","-","0.39","-0.44","",
"生技醫療類指數","55.91","+","0.17","0.30","",
"玻璃陶瓷類指數","23.43","-","0.13","-0.55","",
"造紙類指數","178.88","-","1.99","-1.10","",
"鋼鐵類指數","85.00","-","0.75","-0.87","",
"橡膠類指數","210.87","-","2.00","-0.94","",
"汽車類指數","259.75","-","4.76","-1.80","",
"電子工業類指數","445.27","-","1.72","-0.38","",
"半導體類指數","187.69","-","0.71","-0.38","",
"電腦及週邊設備類指數","94.68","-","0.03","-0.03","",
"光電類指數","31.92","-","0.04","-0.13","",
"通信網路類指數","118.68","-","0.05","-0.04","",
"電子零組件類指數","97.99","-","0.98","-0.99","",
"電子通路類指數","110.40","-","0.35","-0.32","",
"資訊服務類指數","112.25","+","0.36","0.32","",
"其他電子類指數","71.78","-","0.59","-0.82","",
"建材營造類指數","267.24","-","1.10","-0.41","",
"航運類指數","53.31","-","0.59","-1.09","",
"觀光類指數","73.17","-","0.41","-0.56","",
"金融保險類指數","1,167.59","-","11.56","-0.98","",
"貿易百貨類指數","243.37","+","0.42","0.17","",
"油電燃氣類指數","105.57","-","1.39","-1.30","",
"其他類指數","217.83","-","2.02","-0.92","",
"臺指日報酬兩倍指數","13,880.77","-","161.44","-1.15","",
"臺指反向一倍指數","7,372.81","+","42.14","0.57","",
"電子類兩倍槓桿指數","12,272.47","-","95.18","-0.77","",
"電子類反向指數","7,263.20","+","27.84","0.38","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,607.55","+","44.09","1.24","",
"臺灣中小型公司治理指數","5,021.44","-","25.31","-0.50","",
"臺灣IPO指數","4,722.64","-","33.67","-0.71","",
"智慧中立指數","4,998.74","+","4.86","0.10","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","16,166.47","-","323.32","-1.96","",
"金融類日報酬反向一倍指數","7,016.99","+","68.12","0.98","",
"漲升股利150指數","5,525.95","-","29.10","-0.52","",
"漲升股利100指數","5,520.26","-","39.59","-0.71","",
"藍籌30指數","5,305.83","-","37.07","-0.69","",
"工業菁英30指數","5,512.19","-","41.81","-0.75","",
"電子菁英30指數","5,735.92","-","40.49","-0.70","",
"低波動股利精選30指數","5,406.80","-","38.26","-0.70","",
"低貝塔100指數","5,374.70","-","43.07","-0.79","",
