"109年04月13日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"藍籌30反向一倍指數","8,712.47","+","60.03","0.69","",
"中小型精選50指數","5,117.34","-","19.54","-0.38","",
"中小型A級動能50指數","6,520.79","-","7.89","-0.12","",
"特選高息低波指數","4,847.39","-","20.73","-0.43","",
"臺灣永續指數","5,040.13","-","28.75","-0.57","",
"工業菁英30反向一倍指數","9,643.15","+","72.05","0.75","",
"特選內需高收益指數","5,281.26","-","18.39","-0.35","",
"價值投資指數","5,369.74","-","74.02","-1.36","",
"中小型300指數","5,234.90","-","27.17","-0.52","",
"臺灣勞工權益指數","4,875.28","-","31.65","-0.65","",
"智慧投資多因子30指數","4,508.45","-","28.56","-0.63","",
"臺股期貨指數","4,372.95","-","38.11","-0.86","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,518.85","-","79.58","-0.55","",
"發行量加權股價報酬指數","18,884.77","-","109.18","-0.57","",
"臺灣公司治理100報酬指數","7,160.24","-","44.40","-0.62","",
"臺灣50報酬指數","14,874.06","-","84.22","-0.56","",
"臺灣50權重上限30%報酬指數","14,642.03","-","88.67","-0.60","",
"臺灣中型100報酬指數","12,920.53","-","88.13","-0.68","",
"臺灣資訊科技股報酬指數","20,520.97","-","55.09","-0.27","",
"臺灣發達報酬指數","12,280.98","-","100.01","-0.81","",
"臺灣高股息報酬指數","13,476.55","-","80.95","-0.60","",
"臺灣就業99報酬指數","8,021.29","-","31.03","-0.39","",
"臺灣高薪100報酬指數","6,920.67","-","41.56","-0.60","",
"未含金融電子報酬指數","19,639.88","-","149.97","-0.76","",
"小型股300報酬指數","6,762.51","-","18.33","-0.27","",
"水泥類報酬指數","261.96","-","0.95","-0.36","",
"食品類報酬指數","2,313.97","-","16.86","-0.72","",
"塑膠類報酬指數","330.38","-","3.74","-1.12","",
"紡織纖維類報酬指數","621.61","+","0.62","0.10","",
"電機機械類報酬指數","227.03","-","1.48","-0.65","",
"電器電纜類報酬指數","58.72","+","2.02","3.56","",
"化學生技醫療類報酬指數","121.98","-","0.10","-0.08","",
"化學類報酬指數","134.23","-","0.60","-0.45","",
"生技醫療類報酬指數","73.75","+","0.22","0.30","",
"玻璃陶瓷類報酬指數","26.80","-","0.15","-0.56","",
"造紙類報酬指數","249.21","-","2.77","-1.10","",
"鋼鐵類報酬指數","126.63","-","1.12","-0.88","",
"橡膠類報酬指數","307.50","-","2.93","-0.94","",
"汽車類報酬指數","377.07","-","6.92","-1.80","",
"電子工業類報酬指數","763.07","-","2.94","-0.38","",
"半導體類報酬指數","307.65","-","1.15","-0.37","",
"電腦及週邊設備類報酬指數","176.56","-","0.06","-0.03","",
"光電類報酬指數","42.86","-","0.05","-0.12","",
"通信網路類報酬指數","224.24","-","0.10","-0.04","",
"電子零組件類報酬指數","166.21","-","1.66","-0.99","",
"電子通路類報酬指數","219.24","-","0.70","-0.32","",
"資訊服務類報酬指數","222.13","+","0.71","0.32","",
"其他電子類報酬指數","101.73","-","0.83","-0.81","",
"建材營造類報酬指數","462.32","-","1.90","-0.41","",
"航運類報酬指數","72.02","-","0.79","-1.09","",
"觀光類報酬指數","94.11","-","0.53","-0.56","",
"金融保險類報酬指數","1,782.15","-","17.66","-0.98","",
"貿易百貨類報酬指數","347.86","+","0.59","0.17","",
"油電燃氣類報酬指數","153.70","-","2.01","-1.29","",
"其他類報酬指數","335.45","-","3.11","-0.92","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,792.64","+","46.36","1.24","",
"臺灣中小型公司治理報酬指數","5,770.48","-","29.07","-0.50","",
"臺灣IPO報酬指數","5,025.35","-","35.83","-0.71","",
"智慧中立報酬指數","5,020.17","+","4.74","0.09","",
"加權指數掩護性臺指買權價外5%報酬指數","4,293.79","-","0.68","-0.02","",
"臺灣5G報酬指數","4,514.86","-","15.17","-0.33","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,553.75","-","34.51","-0.52","",
"漲升股利100報酬指數","6,566.25","-","47.09","-0.71","",
"藍籌30報酬指數","6,044.90","-","42.22","-0.69","",
"工業菁英30報酬指數","6,287.77","-","47.70","-0.75","",
"電子菁英30報酬指數","6,482.62","-","45.76","-0.70","",
"低波動股利精選30報酬指數","6,179.92","-","43.73","-0.70","",
"低貝塔100報酬指數","6,131.72","-","49.14","-0.80","",
"中小型精選50報酬指數","5,974.42","-","22.81","-0.38","",
"中小型A級動能50報酬指數","7,094.18","-","8.60","-0.12","",
"特選高息低波報酬指數","5,643.06","-","24.13","-0.43","",
"臺灣永續報酬指數","5,735.57","-","32.72","-0.57","",
"特選內需高收益報酬指數","5,879.33","-","20.47","-0.35","",
"價值投資報酬指數","6,090.27","-","83.95","-1.36","",
"存股雙十等權重報酬指數","4,890.01","-","56.20","-1.14","",
"特選大蘋果報酬指數","5,424.91","-","30.49","-0.56","",
"中小型300報酬指數","5,465.21","-","28.36","-0.52","",
"特股高息20報酬指數","5,260.55","-","4.79","-0.09","",
"臺灣500報酬指數","5,432.80","-","32.42","-0.59","",
"特選外資豐擁50報酬指數","5,459.21","-","37.45","-0.68","",
"臺灣勞工權益報酬指數","5,113.00","-","33.19","-0.64","",
"微波高息精選20報酬指數","4,589.59","-","27.44","-0.59","",
"特選世代行動通訊報酬指數","4,365.54","-","9.53","-0.22","",
"智慧投資多因子30報酬指數","4,526.68","-","28.68","-0.63","",
"特選大蘋果報酬正向兩倍指數","6,670.36","-","75.40","-1.12","",
"特選大蘋果報酬反向一倍指數","11,574.36","+","64.33","0.56","",
"特選價值成長報酬指數","4,264.41","+","6.86","0.16","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

